Franco-Provençal	Franco-Provençal	probability
ˈɑː	ˈa	1.0
ˈy	ˈu_p	1.0
ˈe_t	ˈɛ_s	1.0
ˈaː	ˈa	1.0
ʦ	t	1.0
ɛ̃	ˈi_ŋ	1.0
ɛː	ɛ_z	1.0
ɛ	i	1.0
ɔ	ɔ	1.0
ɑ̃	a_n	1.0
ɑː	a_s	1.0
y	z_j	1.0
w_ˈɛː	ˈu	1.0
w_ˈe	ˈɔ	1.0
u	-	1.0
t	t	1.0
s_a	i	1.0
p_l	p_ɾ	1.0
p	p	1.0
n	n	1.0
m	m	1.0
k	k	1.0
j_ˈø	ˈe	1.0
j_ˈe	ɾ_ɛ	1.0
ĩ	i_m	1.0
<#_ˈo	<#_ˈo	1.0
<#_ð	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
f	f	0.923
b	b	0.875
a	a	0.872
e	i_s	0.75
ʁ	ɾ	0.74
j	-	0.7
ˈĩ	ˈi_n	0.667
ˈi	ˈi	0.667
ɡ	ɡ	0.667
d	d	0.667
ʃ	k	0.654
ˈo	ˈu	0.625
ˈu	ˈu	0.6
ʁ_o	ɾ_u	0.6
i	a	0.6
ˈa	ˈa	0.591
v	b	0.581
o	u	0.571
<#_ʁ	<#_r	0.571
ˈoː	ˈɔ	0.545
ˈɔ̃	ˈɔ_n	0.5
ˈɔ̃	n	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	-	0.5
ˈɑ̃	ˈa_n	0.5
ˈø	ˈu	0.5
ˈø	-	0.5
ʒ	d	0.5
ʒ	-	0.5
ɲ	n_ʣ	0.5
ɲ	n	0.5
ə	a	0.5
l	l	0.5
#>	ɛ_#>	0.473
ʎ	ʣ	0.455
s	k	0.444
#>	u_#>	0.443
o	-	0.429
<#_ʁ	<#_ɾ	0.429
ˈɛː	ˈi	0.409
ˈu	-	0.4
ʁ_o	u	0.4
i	-	0.4
s	s	0.389
ˈo	ˈɔ_j	0.375
ə	ɛ	0.375
ˈɛ̃	ˈɛ_n	0.333
ˈɛ̃	ˈe_n	0.333
ˈɛ̃	n	0.333
ˈĩ	n	0.333
ɡ	-	0.333
d	-	0.333
w	ˈu	0.312
ð	ɛ_ɾ	0.304
j	ɾ	0.3
ˈe	ˈɛ	0.29
ˈoː	ˈa	0.273
ʎ	ɾ	0.273
ʎ	k_ɾ	0.273
ð	ɾ	0.261
ˈe	ˈa	0.258
ˈɛ	ˈi	0.25
ˈɛ	ˈe	0.25
ˈɑ̃	ˈa_m	0.25
ˈɑ̃	ˈa	0.25
w	ˈo	0.25
w	-	0.25
l	ɖː	0.25
e	-	0.25
ˈɛː	ˈɛ	0.227
ˈa	ˈa_ɾ	0.227
v	β	0.226
ˈi	ˈɛ	0.222
ˈe	ˈi	0.194
ˈɛ	ˈɛ	0.188
ˈɛ	-	0.188
w	ˈɔ	0.188
ˈɛː	ˈe	0.182
ˈɛː	-	0.182
ˈoː	ˈu	0.182
s	ʦ	0.167
ˈe	ˈe	0.161
ʃ	k_ˈa	0.154
l	ɾ	0.143
ʁ	-	0.14
ð	ɡ	0.13
ð	t	0.13
v	p	0.129
ˈɛ	ˈi_k	0.125
b	-	0.125
ʃ	z	0.115
ˈi	-	0.111
l	-	0.107
ˈe	u	0.097
ˈa	k_u	0.091
ˈa	a	0.091
ð	ŋ_ɡ	0.087
ð	-	0.087
a	t_a	0.085
ʁ	r	0.08
ʃ	-	0.077
f	β_ɛ	0.077
v	s_k	0.065
ə	e	0.062
ə	-	0.062
