Proto-Slavic	Bulgarian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ɲ	n	1.0
ɨˀ	ˈi	1.0
ɡ_ŭ	k	1.0
ɡ	ɡ	1.0
ɛ̌	ˈa	1.0
ɛ̂ː	ˈa	1.0
ɛː	ɛ	1.0
ɛˀ	ˈa	1.0
z	z	1.0
x	x	1.0
v_ŭ	f	1.0
ŭ̂	-	1.0
ŭ_t	ɐ_t	1.0
ŭ_#>	#>	1.0
s	s	1.0
p	p	1.0
õː	ɐ	1.0
ôː_l	ɫ_ˈa	1.0
ôː	ˈɔ	1.0
oˀ_r	r_ˈa	1.0
o_l	ɫ_ɐ	1.0
o_#>	ˈɔ_#>	1.0
o	o	1.0
n_ŭ	ɛ_n	1.0
n	n	1.0
m_ĭ	ɛ_m	1.0
m	m	1.0
l_ŭ_#>	ɫ_#>	1.0
l_k	ˈa_k	1.0
j_e_#>	ɛ_#>	1.0
ǐ	ˈi	1.0
ĭ̂	ˈɤ	1.0
ĭˀ	ˈɤ	1.0
ĭ_#>	#>	1.0
i	ˈi	1.0
ě	ˈɛ	1.0
ê	ˈɛ	1.0
e_#>	ˈɛ_#>	1.0
e	ɛ	1.0
d_ŭ	t	1.0
d_l	ɫ	1.0
ǎ_#>	ˈa_#>	1.0
aˀ	ˈa	1.0
a_#>	ɐ_#>	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_s	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
t	t	0.913
d	d	0.9
r	r	0.846
k	k	0.846
v	v	0.8
ǒ	ˈɔ	0.778
ô	ˈɔ	0.75
ʒ	ʒ	0.714
ẽ	ɛ	0.667
b	b	0.625
ĭ	ɐ	0.6
ŭ	ɫ	0.5
ŭ	-	0.5
t_i	ɐ	0.5
t_i	j_ɐ	0.5
l	ɫ	0.478
ĭ	-	0.4
b	p	0.375
ẽ	ˈɛ	0.333
ʒ	ʃ	0.286
l	l	0.261
ô	o	0.25
ǒ	o	0.222
v	vʲ	0.2
l	lʲ	0.174
k	ʦ	0.154
d	-	0.1
t	t_ɐ	0.087
l	ɐ	0.087
r	ˈɤ	0.077
r	r_ˈa	0.077
