Czech	Macedonian	probability
ˈɪ	ˈi	1.0
ˈuː	ˈo	1.0
ˈr̩	ˈr̩	1.0
ˈo	ˈo	1.0
ˈl̩	ˈo_ɫ	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɲ	n	1.0
ɪ	i	1.0
ɟ	d	1.0
z	z	1.0
v_iː	f	1.0
v	v	1.0
t_#>	#>	1.0
t	t	1.0
s	s	1.0
r̝̊	r	1.0
r̝	r	1.0
r	r	1.0
p	p	1.0
o	o	1.0
n	n	1.0
m̩	u_m	1.0
m	m	1.0
l_ˈɛː	l_ˈɛ	1.0
l_ˈu	ˈo	1.0
k_iː	o_k	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
j_ɛ	ɛ	1.0
j	j	1.0
iː_#>	#>	1.0
f	f	1.0
d_l	ɫ	1.0
d	d	1.0
c	t	1.0
b	b	1.0
a	a	1.0
ɦ	ɡ	0.857
ˈɛ	ˈɛ	0.81
ɛ	ɛ	0.8
l	ɫ	0.75
ˈaː	ˈa	0.667
ˈu	ˈa	0.6
ˈiː	ˈɛ	0.6
x	k	0.429
ˈu	ˈu	0.4
ˈiː	ˈi	0.4
ˈaː	ˈɛ	0.333
x	f	0.286
x	-	0.286
l	l	0.25
ɛ	a	0.2
ɦ	-	0.143
ˈɛ	ˈr̩	0.095
ˈɛ	ˈo	0.095
