Czech	Old Prussian	probability
ˈɛː	e	1.0
ˈɛ_n	aː	1.0
ˈuː	a	1.0
ˈu	au̯	1.0
ˈr̩	i_r	1.0
ˈou̯	-	1.0
ˈl̩	i_l	1.0
ˈaː	-	1.0
ʒ	ɡ	1.0
ɲ_ɛ	eː	1.0
ɪ	u_v	1.0
ɛː	i	1.0
z̥	-	1.0
z	z	1.0
x	s	1.0
t	t	1.0
s	s	1.0
r̩	r_u	1.0
r̝̊	r	1.0
r̝	e_r	1.0
r	r	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l̩	l	1.0
iː	a	1.0
d̥	d	1.0
c	n_t	1.0
b	b	1.0
a	o	1.0
v	v	0.871
ˈo	a	0.787
l	l	0.728
k	k	0.684
o	-	0.667
d	d	0.647
ɦ	ɡ	0.644
ʦ	-	0.628
ˈɪ	-	0.58
ˈa	-	0.577
ˈiː	u	0.529
j	iː	0.522
ˈa	i_n	0.423
ˈɪ	u	0.42
ˈɛ	e	0.397
ʦ	k	0.372
ɛ	a	0.367
ˈiː	-	0.36
ɦ	z	0.356
d	n	0.353
o	o	0.333
k	-	0.316
ˈɛ	a	0.312
ˈɛ	-	0.292
l	-	0.272
j	aːi̯	0.255
ɛ	-	0.248
j	ai̯	0.224
ˈo	o	0.213
ɛ	l	0.208
ɛ	e	0.176
v	w	0.129
ˈiː	oːu̯	0.111
