Swedish	Icelandic	probability
ˈœː	ˈɛːi̯	1.0
ˈiː	ˈiː	1.0
ʊ	j_ʏ	1.0
ʈː	r̥_t	1.0
ʈ	t_ɪ	1.0
ʂ	r̥_s	1.0
ɵ	ɑu̯	1.0
ɳ	t͡n̥	1.0
ɡ_ɛ	ɡ̊	1.0
ɡ_a	a	1.0
ɖ	r_ð	1.0
ɔ	aːu̯	1.0
ŋː	ŋ	1.0
ŋ	ŋ_ɡ̊	1.0
tː_ɛ	ʰt͡n̥	1.0
t	t	1.0
sː	sː	1.0
s	s	1.0
rː	r̥	1.0
r_a	r_a	1.0
pː	ʰp	1.0
pʰ	pʰ	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
lː	t͡l̥	1.0
jː	j	1.0
f	f	1.0
d_a	ð_a	1.0
b	b̥	1.0
h	h	0.9
a	a	0.89
v	v	0.888
ˈœ	-	0.877
ɕ	cʰ	0.811
kː	ʰk	0.799
nː	nː	0.771
k	k	0.713
ˈuː	ˈoːu̯	0.689
ˈʏ	ˈɪ	0.661
n	n	0.655
l	l	0.643
ɡ	ɣ	0.624
ˈa	ˈa	0.623
ˈyː	-	0.621
kʰ	kʰ	0.617
ˈʉː	ˈuː	0.605
ˈʊ	-	0.6
ɡː	ɡ̊ː	0.596
ˈɵ	ˈʏ	0.592
ˈɑː	ˈaː	0.588
ˈɛː	-	0.578
tʰ	θ	0.568
r	r	0.563
ˈæː	-	0.562
ˈɔ	-	0.561
d	d̥	0.549
tː	ʰt	0.54
ɪ	ɛ	0.525
ɧ	s_c	0.484
ɪ	i	0.475
tː	t	0.46
ˈeː	-	0.459
d	ð	0.451
ɛ	ɪ	0.443
ˈøː	ˈœːy̯	0.442
ˈæː	ˈɛː	0.438
tʰ	tʰ	0.432
ˈɛː	ˈɛː	0.422
r	r̥	0.417
ˈɪ	ˈɪ	0.412
ɡː	ɟ̊ː	0.404
ˈeː	ˈɛːi̯	0.402
ˈʊ	ˈu	0.4
ˈoː	ˈɑːu̯	0.4
ˈyː	j_ˈoːu̯	0.379
ɛ	ʏ	0.351
j	j	0.347
ˈʏ	-	0.339
ˈɛ	ˈɛ	0.339
ˈɪ	-	0.323
ˈɔ	ˈɔ	0.308
k	c	0.287
ɧ	s_j	0.283
ˈøː	ˈaːi̯	0.28
ˈøː	-	0.278
ˈɪ	ˈi	0.265
ˈʉː	ˈoːu̯	0.245
l	l̥	0.234
j	ɟ̊	0.234
ɧ	s	0.233
nː	-	0.229
ˈoː	-	0.226
kʰ	-	0.216
ˈɑː	-	0.21
ɡ	ɡ̊	0.21
j	ç	0.206
ˈɑː	ˈa_r	0.202
ˈuː	ˈɔ_r	0.201
kː	ʰc	0.201
ˈɛ	-	0.197
ˈoː	ˈaːu̯	0.192
ɕ	θ	0.189
ˈa	ˈœ	0.185
kʰ	cʰ	0.167
ɡ	-	0.166
ˈoː	ˈɔː	0.154
ˈɛ	ˈɪː	0.148
ˈeː	ˈɪː	0.139
ˈɵ	-	0.136
j	l_j	0.134
n	n̥	0.133
ˈɔ	ˈou̯	0.131
n	-	0.124
ˈœ	j	0.123
l	t͡l̥	0.123
ˈa	-	0.117
ˈuː	ˈiː_r̥	0.111
a	-	0.11
ɛ	-	0.108
ˈɵ	ˈɔ	0.105
ˈɵ	ˈu	0.103
h	ç	0.1
ɛ	ɡ̊_ʏ	0.098
ˈʉː	ˈʏː	0.093
n	t͡n̥	0.089
ˈɛ	ˈai̯	0.086
ˈɛ	ˈɛi̯	0.085
ˈɛ	ˈau̯	0.085
j	ɡ̊	0.078
ˈa	ˈɑu̯	0.076
v	kʰ_v	0.069
ˈɵ	ɲ	0.064
ˈɛ	j_ˈɛ	0.06
ˈʉː	ˈœː	0.057
