Westphalian	Westphalian	probability
ˈɪɛ̯_l	l	1.0
ˈɪə̯	-	1.0
ˈɛː	-	1.0
ˈɒː	ˈaː	1.0
ˈœː	-	1.0
ˈø	-	1.0
ˈyːœ̯	ˈi	1.0
ˈyː	ˈəi̯	1.0
ˈuə̯	-	1.0
ˈiɛ̯	-	1.0
ˈa_n	ˈaː	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
z̥	s	1.0
x_t	x_d	1.0
v̥	-	1.0
t_ə	s	1.0
t_n	s_a	1.0
s_t	ʃ_d	1.0
r	ʁ	1.0
n_#>	#>	1.0
l	l	1.0
k_ə_#>	x_#>	1.0
k_n	ɡ_a	1.0
k_#>	#>	1.0
j	j	1.0
h	h	1.0
d	d	1.0
aɪ̯	eə̯	1.0
<#_ˈa	<#_ˈɛ	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
#>	a_#>	1.0
d̥	d	0.923
m	m	0.909
f	f	0.909
b	b	0.905
ˈa	ˈa	0.9
s	s	0.882
x	ɡ	0.875
ə	-	0.867
ŋ	ŋ	0.833
ˈeː	ˈɔe̯	0.818
p	f	0.8
ˈʊ	ˈo	0.769
ˈuː	ˈao̯	0.75
ʋ	ʋ	0.714
ç	ɡ	0.714
ɐ	ʌ	0.706
ˈiː	ˈəi̯	0.692
ˈaː	ˈa	0.667
z	s	0.667
v	ʋ	0.667
ˈɪɛ̯	ˈɛ	0.625
ˈoː	ˈuə̯	0.625
ˈʏ	-	0.6
ˈɔ	ˈa	0.6
ˈuːə̯	-	0.6
ˈøː	-	0.5
k	kʰ	0.474
ˈɛ	ˈɛ	0.462
ˈɔː	ˈɔː	0.462
ˈaʊ̯	ˈoː	0.462
t	s	0.435
ˈaɪ̯	ˈiə̯	0.417
ˈʏ	ˈu	0.4
ˈɔ	ˈɔ	0.4
ˈuːə̯	ˈoː	0.4
n	a	0.4
ˈaʊ̯	ˈao̯	0.385
ˈɪ	ˈi	0.375
ˈaː	ˈaː	0.333
ˈaɪ̯	-	0.333
z	-	0.333
n	n	0.327
k	ç	0.316
ˈɔː	-	0.308
ˈiː	-	0.308
ɐ	ʕ	0.294
ʋ	b	0.286
ç	ç_d	0.286
t	d	0.261
v	b	0.259
ˈɪɛ̯	-	0.25
ˈøː	ˈuə̯	0.25
ˈøː	ˈiə̯	0.25
ˈuː	-	0.25
ˈoː	-	0.25
ˈaɪ̯	ˈae̯	0.25
ˈʊ	ˈao̯	0.231
ˈɛ	-	0.231
ˈɔː	ˈoː	0.231
ˈɪ	-	0.208
p	b̥͡f	0.2
ˈeː	ˈae̯	0.182
t	ʦ	0.174
ˈɪ	ˈɪ	0.167
ˈɪ	ˈe	0.167
ŋ	-	0.167
ˈɛ	ˈe	0.154
ˈɛ	ˈa	0.154
ˈaʊ̯	-	0.154
ə	e	0.133
ˈɪɛ̯	ˈʌ	0.125
ˈoː	ˈɔə̯	0.125
x	x	0.125
s	ɡ_s	0.118
k	ɡ	0.105
k	x	0.105
ˈa	-	0.1
b	-	0.095
n	n_d	0.091
m	-	0.091
f	f_ˈi	0.091
t	ʕ_ʦ	0.087
ˈɪ	ˈəi̯	0.083
d̥	t	0.077
v	f	0.074
n	ˈeː	0.073
