Lower Sorbian	Lower Sorbian	probability
ʦ	k	1.0
ʒ	ɡ_iː	1.0
ʐ̊	ɡ	1.0
ʐ	ɡ	1.0
ʂ	r_au̯	1.0
ɲ	-	1.0
z̥	zʲ	1.0
x	ʃ	1.0
vʲ	w	1.0
t	t	1.0
r	r	1.0
pʲ	p_e	1.0
p	p	1.0
nʲ	n	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
l	l	1.0
kʲ	-	1.0
j	-	1.0
b̥	m_b	1.0
bʲ	b_a	1.0
b	b	1.0
<#_v	<#_a	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
z	zʲ	0.889
ɡ	ɡ	0.818
k	k	0.75
v	w	0.727
d	d	0.714
#>	s_#>	0.705
ʑ	d	0.667
w	l	0.643
ɔ_#>	a_#>	0.625
d̥	d_u	0.6
ɪ	-	0.556
rʲ	́_r	0.5
rʲ	r	0.5
i	s	0.5
i	e	0.5
e	i	0.5
ɪ	ai̯	0.444
s	sʲ	0.429
s	s	0.429
ɛ	-	0.4
ɕ	t_ei̯	0.4
d̥	d_a	0.4
ɨ	a_s	0.389
ɔ_#>	#>	0.375
w	́_l	0.357
ʑ	ɛ	0.333
ɛ	a	0.333
ɔ	a_́	0.318
a	aː	0.306
e	-	0.3
d	ˀ_t	0.286
a	aː_́ˀ	0.278
ɔ	-	0.273
v	ˀ_w	0.273
k	k_a	0.25
#>	ˀ_#>	0.25
ɨ	a_́_s	0.222
ɕ	t_i	0.2
ɕ	i	0.2
ɕ	-	0.2
e	e_́	0.2
ɡ	zʲ	0.182
u	au̯_́	0.176
ɨ	uː_́ˀ	0.167
s	k	0.143
a	oː	0.139
a	-	0.139
ɔ	e_́	0.136
ɔ	e	0.136
ɔ	a	0.136
ɛ	eː	0.133
ɛ	ai̯	0.133
u	́_ŋ	0.118
u	ŋ	0.118
u	n	0.118
u	au̯	0.118
u	a_n	0.118
u	a	0.118
u	-	0.118
ɨ	s	0.111
ɨ	-	0.111
z	z	0.111
a	e_́	0.083
a	i	0.056
