Bellunese	Friulian	probability
a	e	0.746
a	a	0.182
a	-	0.057
b	b	1.0
d	d	0.955
e	e	0.319
e	i	0.283
e	-	0.254
e	ˈiː	0.076
e	a	0.052
f	f	0.815
f	f_j	0.185
i	i	0.384
i	-	0.315
i	j	0.152
i	u	0.149
j	j	0.359
j	ˈiː	0.311
j	l	0.288
k	c	0.598
k	k	0.352
k	-	0.05
l	l	0.875
l	-	0.125
m	m	0.995
n	n	0.93
o	-	0.273
o	i	0.185
o	o	0.148
o	u	0.142
o	w	0.101
o	ˈo	0.081
o	ˈoː	0.055
p	p	1.0
r	r	0.855
r	-	0.083
r	ˈi	0.062
s	s	0.986
t	t	0.869
t	t_j	0.062
u	u	0.94
u	o	0.06
v	v	0.765
v	f	0.1
v	-	0.055
v	v_j	0.055
w	-	0.553
w	w	0.217
w	ɡ	0.143
w	l	0.087
z	z	0.378
z	s	0.307
z	ʧ	0.304
ð	ʤ	0.648
ð	-	0.315
ŋ	n	0.743
ŋ	ŋ	0.237
ɡ	ɡ	0.444
ɡ	-	0.419
ɡ	k	0.07
ɡ	ɟ	0.066
ɲ	ɲ	0.794
ɲ	ɟ	0.206
ʤ	ɡ	1.0
ʧ	l	1.0
ˈa	ˈa	0.776
ˈa	ˈaː	0.125
ˈa	a	0.055
ˈe	ˈe	0.466
ˈe	-	0.137
ˈe	ˈɛ	0.122
ˈe	ˈi	0.091
ˈe	i	0.071
ˈe	ˈeː	0.062
ˈi	ˈi	0.915
ˈo	ˈo	0.311
ˈo	ˈoː	0.145
ˈo	ˈɔ	0.134
ˈo	w_ˈi	0.128
ˈo	ˈuː	0.12
ˈo	w	0.059
ˈu	ˈu	0.691
ˈu	ˈuː	0.256
ˈu	ˈoː	0.053
ˈɔ	w	0.545
ˈɔ	ˈɔ	0.247
ˈɔ	w_ˈɛ	0.093
ˈɔ	aː	0.08
ˈɛ	j_ˈɛ	0.343
ˈɛ	ˈɛ	0.25
ˈɛ	-	0.164
ˈɛ	ˈɛː	0.133
θ	ʧ	0.8
θ	s	0.101
θ	c	0.06
