Ladin	Ladin	probability
ˈɛ_ʃ	w	1.0
ˈɛ_r	ˈæ_r	1.0
ˈɛ_n	ˈe_n	1.0
ˈɛ_f	w	1.0
ˈɔ	ˈɒ	1.0
ˈi_n_#>	ˈi_#>	1.0
ˈe_j	ˈæ	1.0
ˈe_#>	ˈa_r_#>	1.0
ˈa_n_#>	ˈa_#>	1.0
ʨ_ˈɛ	k_ˈa	1.0
ʧ	s	1.0
ʥ	ʤ	1.0
ʤ	-	1.0
ʒ_ɡ	v	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ʃ	w	1.0
w_t	l_t	1.0
u	o	1.0
s_e	s_e	1.0
r_t	r_t	1.0
r_n	r_n	1.0
p_#>	s_#>	1.0
p	p	1.0
n_#>	#>	1.0
m_#>	m_#>	1.0
m	m	1.0
l_j	ʎ_e	1.0
l_#>	l_#>	1.0
k_#>	k_#>	1.0
j_ˈɛ	ˈi	1.0
j_#>	r_#>	1.0
f_#>	#>	1.0
e_m	mː	1.0
e_#>	#>	1.0
d_l	ʎ	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
<#	<#_ɡ	1.0
ˈi	ˈi	0.913
k	k	0.913
f	f	0.913
ˈa	ˈa	0.886
s	s	0.867
ˈu	ˈu	0.846
ʦ	-	0.833
t	t	0.833
n	n	0.833
b	b	0.812
o	o	0.786
v	v	0.762
ʨ	k	0.727
ʒ	ʤ	0.643
ʃ	e_s	0.615
ɡ	ɡ	0.615
ˈo	ˈo	0.607
l	l	0.588
e_r	ɾ_ɜ	0.571
e	e	0.571
w_ˈɛ	ˈɒ	0.556
r	ɾ	0.548
d	ð	0.533
i	i	0.5
i	-	0.5
w	ˈɒ	0.467
ˈe	ˈæ	0.464
ˈɛ	ˈe	0.455
w_ˈɛ	ˈu	0.444
e_r	ɾ_e	0.429
a	ɐ	0.427
l	ʎ	0.412
ɡ	ɣ	0.385
r	r	0.381
ʒ	-	0.357
j	-	0.333
ˈɛ	ˈa	0.303
#>	r_#>	0.3
ʨ	s	0.273
w	-	0.267
ˈe	ˈe	0.25
ʃ	ʃ	0.231
a	ɜ	0.227
o	-	0.214
j	ˈe	0.2
j	ʎ	0.2
d	-	0.2
a	a	0.2
b	β	0.188
ˈɛ	ˈæ	0.182
ʦ	ʧ	0.167
ˈu	ˈo	0.154
ʃ	s	0.154
#>	ɞ_#>	0.15
#>	ɐ_#>	0.15
#>	w_#>	0.15
#>	s_#>	0.15
a	ɞ	0.147
v	β	0.143
e	ɞ	0.143
w	β	0.133
w	l	0.133
s	ʃ	0.133
j	ˈæ	0.133
d	z	0.133
d	d	0.133
ˈo	ˈɒ	0.107
ˈo	ˈu	0.107
ˈo	-	0.107
ˈe	ˈe_j	0.107
ˈe	-	0.107
n	-	0.1
#>	ɜ_#>	0.1
v	w_ɾ	0.095
e	r	0.095
e	i	0.095
e	-	0.095
ˈi	-	0.087
k	k_w	0.087
f	w	0.087
ˈo	ˈæ	0.071
ˈe	ɾ	0.071
r	-	0.071
n	ɲ	0.067
j	ɫː	0.067
j	u	0.067
ˈɛ	ˈi	0.061
ˈa	ˈe	0.057
ˈa	-	0.057
t	ˈi_t	0.056
t	ð	0.056
t	-	0.056
