Italian	Gascon	probability
bː	-	1.0
f	h	1.0
s	s	1.0
z	z	1.0
ŋ	ŋ	1.0
ɲː	ɲ	1.0
ʃː	j_ʃ	1.0
ʤː	ʒ	1.0
ʧː	s	1.0
b	b	0.761
d	ð	0.161
k	-	0.071
n	ŋ	0.101
o	w	0.181
o	-	0.361
r	-	0.21
t	t	0.601
ʤ	-	0.421
ˈɔ	w_ˈe	0.101
i	-	0.332
i	e	0.52
j	l	0.692
k	k	0.822
lː	-	0.482
r	r	0.242
t	ð	0.362
tː	t	0.62
ʎː	ʎ	0.572
ˈu	ˈu	0.142
ˈɔ	ˈu	0.082
a	e	0.053
d	d	0.493
j	j	0.153
p	p	0.83
w	-	0.423
ʤ	ʒ	0.53
ˈi	ˈi	0.963
ˈɛ	ˈɛ	0.393
d	-	0.324
l	w	0.094
o	u	0.104
o	j	0.124
p	β	0.124
r	s_#>	0.064
u	e	0.254
ˈe	-	0.074
ˈɔ	ˈa_w	0.314
a	-	0.055
e	-	0.375
j	-	0.155
m	m_j	0.105
m	m	0.895
n	-	0.095
r	ɾ	0.425
ɡ	-	0.075
ʧ	-	0.145
ˈa	ˈa	0.925
ˈo	ˈu	0.795
b	β	0.206
e	i	0.076
e	e	0.286
kː	k	0.96
l	l	0.696
o	i	0.056
o	e	0.136
ɡ	k	0.336
ʧ	s	0.516
ˈe	ˈi	0.056
a	a	0.227
e	w	0.107
l	-	0.117
n	n	0.77
u	y	0.357
v	β	0.327
v	b	0.557
w	w	0.577
ˈe	ˈe	0.87
ˈo	ˈɔ	0.057
ˈo	-	0.07
ˈɛ	ˈe	0.607
i	i	0.148
k	ɣ	0.108
lː	l	0.518
tː	j_t	0.38
ɡ	ɡ	0.48
ʎː	-	0.428
ˈu	ˈy	0.858
a	ɔ	0.659
e	a_s	0.099
r	a_r	0.059
u	a	0.389
v	-	0.069
ɡ	ɣ	0.109
ʧ	z	0.339
ˈɔ	ˈɔ	0.459
