Gascon	Gascon	probability
ˈo	o̯ˈa_r	1.0
ˈi	ˈi	1.0
ˈa_w	w	1.0
ʦ	ʦ	1.0
ʒ_u	ʤ	1.0
ɾ	r	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ɔ	ə	1.0
ŋ_#>	n_#>	1.0
u	u	1.0
t_#>	l_#>	1.0
s_#>	j_#>	1.0
n_#>	n_t_#>	1.0
n	n	1.0
mː	a_p	1.0
m	m	1.0
j_t	p_t	1.0
j_r	t	1.0
j	-	1.0
i	-	1.0
h	f	1.0
e_s	s	1.0
b	v	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#_b	<#_b	1.0
<#_a	<#	1.0
<#	<#_w	1.0
r	r	0.833
ˈɔ	ˈo	0.8
k_#>	k_#>	0.8
p	p	0.714
d	d	0.714
#>	ə_#>	0.706
ˈa	ˈa	0.692
s	s	0.682
ˈy	ˈu	0.625
ˈu	ˈu	0.625
a	ə	0.6
ʎ	ʎ_u	0.545
t	t	0.529
ˈɛ	ˈa	0.5
ŋ	n	0.5
ð	t	0.5
ð	-	0.5
w	-	0.467
ʒ	z	0.429
e	i	0.429
a	-	0.4
β	b	0.375
β	-	0.375
ˈy	ˈo	0.375
ˈe	ˈi	0.346
l	ʎ	0.333
k	ʦ	0.333
k	l_b	0.333
k	k	0.333
ˈa	ˈɔ	0.308
ʒ	ʒ	0.286
ʒ	j	0.286
e	u	0.286
d	-	0.286
ʎ	ʎ	0.273
ˈe	e̯ˈa	0.269
w	w	0.267
w	r	0.267
β	r	0.25
ˈɛ	ˈe	0.25
l	r	0.25
l	l	0.25
t	ʦ	0.235
s	ʦ	0.227
ˈɔ	o̯ˈa	0.2
k_#>	#>	0.2
ˈe	ˈe	0.192
ˈu	ˈu_k	0.188
ˈu	o̯ˈa	0.188
ʎ	n	0.182
#>	r_#>	0.176
ŋ	ŋ	0.167
ŋ	j_n	0.167
ŋ	-	0.167
r	r_n	0.167
l	-	0.167
ˈɛ	ˈo	0.15
p	kʲ	0.143
p	-	0.143
e	r_u	0.143
e	-	0.143
t	p_t	0.118
t	l	0.118
#>	n_#>	0.118
ˈe	ˈu	0.115
ˈɛ	-	0.1
s	ʃ	0.091
ˈe	ˈo	0.077
