Bulgarian	Kashubian	probability
ˈɛ_#>	ɛ_#>	1.0
ˈɔ_#>	u̯ɛ_#>	1.0
ˈa_t	ˈa_t	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɫ_ˈa	w_ˈɔ	1.0
ɫ_#>	l_#>	1.0
ɫ	w	1.0
ɡ	ɡ	1.0
ɛ_n	n_i	1.0
ɛ_m	m_ə	1.0
ɐ_k	i	1.0
ɐ_#>	#>	1.0
z	z	1.0
x	x	1.0
vʲ	j	1.0
v	v	1.0
u	w_ˈʉ	1.0
s_#>	s_#>	1.0
s	s	1.0
r_ˈa	ˈa_r	1.0
p	p	1.0
mʲ	m_j	1.0
m	m	1.0
lʲ	l	1.0
l	l	1.0
j	ʦ	1.0
i	ˈə	1.0
f	f	1.0
b	b	1.0
<#_ˈɔ	<#_u̯ˈɛ	1.0
<#_r	<#_r	1.0
<#	<#_j	1.0
#>	i_#>	1.0
k	k	0.909
d	d	0.75
n	n	0.692
ˈɔ	ˈu	0.667
r	r	0.6
ɐ	-	0.583
t	t	0.48
ˈa	a	0.467
ˈɤ	ˈɛ	0.417
ɐ	a	0.417
t	ʦ	0.4
ˈɛ	ˈɛ	0.364
ˈi	ˈə	0.364
o	ɔ	0.353
o	u̯ˈɛ	0.353
ˈɔ	u̯ˈɛ	0.333
n	ɲ	0.308
r	ʐ	0.3
ˈɛ	ˈa_ŋ	0.273
ˈi	ˈi	0.273
ɛ	j	0.267
ˈɤ	ˈɞ	0.25
d	ʣ	0.25
ˈa	ˈa	0.2
ɛ	ɛ	0.2
ˈɛ	ˈe	0.182
ˈɛ	-	0.182
ˈi	ə	0.182
ˈi	-	0.182
o	ˈɔ	0.176
ˈɤ	ˈõ	0.167
ˈɤ	-	0.167
ˈa	ˈɞ	0.133
ɛ	ˈɔ	0.133
ɛ	j_ˈɞ	0.133
ɛ	e	0.133
ɛ	a_ŋ	0.133
t	ʧ	0.12
o	u̯ɛ	0.118
ˈa	ˈɛ	0.1
ˈa	ˈe	0.1
r	ʂ	0.1
k	ʤ	0.091
