Insular North Frisian	Insular North Frisian	probability
ˈœ_n	n	1.0
ˈøː	-	1.0
ˈiː_n	ˈeː_n	1.0
ˈiː_#>	ˈæːɪ̯_#>	1.0
ˈaː	-	1.0
ˈaʊ̯	-	1.0
ˈaɪ̯_#>	ˈeː_#>	1.0
ˈaɪ̯	-	1.0
ɪ	ə	1.0
ɐ_n_#>	ʀ_#>	1.0
z	z	1.0
x_t	d̥	1.0
tʲ	d	1.0
t_#>	ʦ_#>	1.0
s_k	ʃ	1.0
r_ə	ˈaː	1.0
pʰ	pʰ	1.0
n_#>	ŋ_#>	1.0
n	n	1.0
m	m	1.0
lʲ	-	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
f_#>	v̥_#>	1.0
f	f	1.0
e	-	1.0
b	b	1.0
aɪ̯	e	1.0
<#_ˈɔː	<#_ˈaː	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#	<#_ˈaː	1.0
h	h	0.889
ɐ	ɐ	0.857
r	ʀ	0.857
ɡ	ɡ	0.846
ŋ	ŋ	0.846
s_#>	z̥_#>	0.833
#>	ə_n_#>	0.833
d	d	0.792
v	v	0.76
ˈyː	ˈɑɪ̯	0.667
ə	ə	0.65
t	t	0.59
ç	ɕ	0.583
x	-	0.562
s	ʃ	0.559
ˈa	ˈaː	0.533
tʰ	ʦ	0.529
ɾ	d̥	0.526
ˈɛː	ˈɛː	0.5
ˈɛː	-	0.5
ˈɔ	-	0.5
ˈœ	-	0.5
ˈoː	ˈaː	0.5
nʲ	n_d̥	0.5
nʲ	n	0.5
ˈʏ	-	0.476
tʰ	d	0.471
ˈɔː	-	0.455
ˈɔa̯	ˈəʊ̯	0.455
ˈuː	ˈaː	0.417
ˈeː	-	0.412
p	f	0.4
ˈɛ	ˈə	0.385
s	z	0.382
ˈɔa̯	-	0.364
ˈiː	ˈɜɪ̯	0.357
k	ɕ	0.357
k	k	0.357
ˈɪ	ˈæːɪ̯	0.333
ˈɔ	ˈo	0.333
ˈyː	ˈɑʊ̯	0.333
ˈa	-	0.333
ˈʊ	ˈɑ	0.316
x	ɕ	0.312
t	s	0.308
ˈœ	ˈɑ	0.3
p	p	0.3
p	f_ə	0.3
k	χ	0.286
ˈɔː	ˈoː	0.273
ˈɔː	ˈaː	0.273
ˈʊ	ˈo	0.263
ɾ	d	0.263
ˈuː	-	0.25
ˈoː	ˈu	0.25
ˈoː	-	0.25
v	w	0.24
ˈiː	ˈɑɪ̯	0.214
ˈiː	ˈoː	0.214
ˈiː	-	0.214
ˈʊ	-	0.211
ˈɪ	ˈə	0.208
ˈɪ	ˈɑ	0.208
ˈœ	ˈʊ	0.2
ə	ɐ	0.2
ˈʏ	ˈæːʊ̯	0.19
ˈɔa̯	ˈɑ	0.182
ˈeː	ˈiː	0.176
ˈeː	ˈeː	0.176
ˈɪ	-	0.167
ˈɔ	ˈu	0.167
ˈuː	ˈəʊ̯	0.167
ˈuː	n	0.167
ç	k	0.167
ç	-	0.167
s_#>	#>	0.167
#>	ɐ_#>	0.167
ˈɛ	ˈɜɪ̯	0.154
ˈɛ	-	0.154
ɡ	-	0.154
ŋ	-	0.154
ə	-	0.15
ˈʏ	ˈo	0.143
r	-	0.143
ˈa	ˈuə̯	0.133
x	χ	0.125
d	s	0.125
ˈeː	ˈæ	0.118
ˈeː	ˈaː	0.118
ˈɛ	ˈiə̯	0.115
ˈɛ	ˈeː	0.115
h	h_ˈu	0.111
ˈʊ	ˈʊ	0.105
ˈʊ	ˈəʊ̯	0.105
ɾ	t	0.105
ɾ	-	0.105
ˈʏ	ˈɑʊ̯	0.095
ˈʏ	ˈu	0.095
ɐ	ʀ	0.086
ˈɪ	ˈe	0.083
ç	ʑ	0.083
d	-	0.083
ˈɛ	ˈe	0.077
s	-	0.059
ɐ	-	0.057
t	ʦ	0.051
t	d̥	0.051
