Emilian	Eastern Lombard	probability
b	b	1.0
f	f	1.0
k	k	1.0
l	l	1.0
p	p	1.0
s	s	1.0
w	w	1.0
ɲ	ɲ	1.0
ʤ	ʤ	1.0
ˈi	ˈi	1.0
ˈæ	ˈɛ	1.0
ˈɛː	ˈe	1.0
ˈʌ	ˈo	1.0
ˈʌu̯	ˈu	1.0
θ	s	1.0
d	t	0.061
e	-	0.291
t	t	0.941
u	u	0.091
ð	z	0.921
a	a	0.992
ɡ	ɡ	0.752
ˈa	ˈɛ	0.402
ˈaː	ˈa	0.92
ˈɔ	ˈɔ	0.852
ˈɔː	ˈo	0.282
i	i	0.223
j	-	0.133
v	f	0.233
v	-	0.363
ʧ	ʧ	0.953
ˈe	ˈi	0.703
ˈo	ˈy	0.153
ˈo	ˈø	0.403
d	d	0.894
u	ø	0.154
v	ʋ	0.404
z	z	0.304
ð	s	0.054
ŋ	n	0.654
ˈiː	ˈe	0.514
ˈuː	ˈø	0.294
u	o	0.755
ˈe	ˈɛ	0.05
ˈɔː	ˈø	0.405
ˈɛ	ˈa	0.565
z	s	0.696
ŋ	ŋ	0.346
ˈiː	ˈi	0.486
ˈo	ˈɔ	0.286
ˈuː	ˈy	0.706
i	e	0.777
j	j	0.867
n	n	0.987
ˈe	ˈe	0.247
ˈo	ˈo	0.157
r	r	0.98
ɡ	k	0.248
ˈa	ˈe	0.138
ˈaː	ˈɛ	0.08
ˈɔ	ˈø	0.148
ˈɛ	ˈɛ	0.388
e	e	0.709
m	m	0.989
t	ʧ	0.059
ˈa	ˈa	0.39
ˈɔː	ˈɔ	0.29
