Icelandic	Icelandic	probability
θ	d	1.0
ˈɛː	-	1.0
ˈɛi̯	ˈɛɪ̯	1.0
ˈɔu̯	-	1.0
ˈɑu̯	ˈa	1.0
ˈœːy̯	ˈeo̯	1.0
ˈœː	-	1.0
ˈuː_a	ŋ	1.0
ˈuː	ˈuː	1.0
ˈu	ˈʊ	1.0
ˈaːu̯	-	1.0
ˈau̯	-	1.0
ˈai̯	-	1.0
ʰt͡n̥	t_ɐ	1.0
ʰp	p	1.0
ʰc	k	1.0
ʏ_r̥_#>	#>	1.0
ɲ	ŋ	1.0
ɣ_ʏ	ɣ̊	1.0
ɣ	-	1.0
ɡ̊ː	-	1.0
ɡ̊_ʏ	ɐ	1.0
ɡ̊_a	ə	1.0
ɟ̊ː	ɡ	1.0
ɛ	-	1.0
ɑu̯	ɪ	1.0
ç	h	1.0
v_ˈɪː	v	1.0
v_ʏ	f	1.0
t͡l̥	l	1.0
t	t	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
s_#>	z̥_#>	1.0
r̥_t	ɐ_t	1.0
r̥_#>	#>	1.0
r_ɪ	ɐ	1.0
p_n̥	m	1.0
p	p	1.0
nː	n	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ	k	1.0
k_ʏ	k	1.0
k	k	1.0
j_ˈɛː	ˈiː	1.0
j_ˈuː	ˈɛɪ̯	1.0
j_ˈoːu̯	ˈɛɪ̯	1.0
j_a	n	1.0
h	h	1.0
f	f	1.0
d̥_ʏ	d̥	1.0
d̥	d̥	1.0
cʰ	k	1.0
c	k	1.0
b̥	b	1.0
aːu̯	ɒː	1.0
a_r̥	ɐ	1.0
a_#>	#>	1.0
<#_ɡ̊	<#_ɣ	1.0
<#_tʰ	<#_t	1.0
<#_r̥	<#_r	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#	1.0
<#_d̥	<#_d	1.0
<#	<#_v	1.0
n	n	0.905
ŋ	ŋ	0.8
r̥	ɐ	0.8
v	v	0.773
ʰt	t	0.75
t͡n̥	n	0.714
ˈʏː	-	0.667
ˈi	ˈɪ	0.667
a	n	0.649
ɡ̊	-	0.615
r	r	0.607
ˈɔ	ˈoː	0.6
ˈoːu̯	ˈaʊ̯	0.6
ˈiː	ˈiː	0.588
ˈa	ˈa	0.579
ˈɑːu̯	ˈɒː	0.571
ˈaːi̯	ˈɔʏ̯	0.571
ʏ	ə	0.571
#>	ə_#>	0.55
ɪ	-	0.529
ð	d̥	0.52
s	z	0.515
ˈɪː	ˈɪ	0.5
ˈɪː	-	0.5
ˈɪ	ˈɪ	0.5
ˈɛːi̯	-	0.5
ˈɔː	ˈoː	0.5
ˈɔː	-	0.5
ʰk	ŋ_k	0.5
ʰk	k	0.5
ɟ̊	ɣ	0.5
ɟ̊	-	0.5
n̥	n	0.5
n̥	k_n	0.5
s	s	0.485
ɪ	ɐ	0.471
ˈɑːu̯	-	0.429
ˈœ	ˈɛː	0.429
ˈaːi̯	-	0.429
ˈɛ	-	0.417
ˈɔ	-	0.4
ˈɛːi̯	ˈɛɪ̯	0.375
ð	-	0.36
j	-	0.353
a	ə	0.351
#>	n_#>	0.35
ˈʏː	ˈɔ	0.333
ˈi	-	0.333
ˈaː	ˈɒː	0.333
ˈaː	ˈa	0.333
r	ɐ	0.321
ˈɪ	-	0.312
ˈʏ	ˈʊ	0.308
j	ˈeː	0.294
ˈœ	ˈa	0.286
ˈœ	-	0.286
t͡n̥	-	0.286
ˈɛ	ˈɪ	0.25
ʰt	x	0.25
ʏ	-	0.238
ˈiː	-	0.235
j	ˈɛɪ̯	0.235
ˈʏ	ˈuː	0.231
ɡ̊	j	0.231
ˈaː	ˈaː	0.222
ˈa	-	0.211
ˈoːu̯	ˈʊ	0.2
ˈoːu̯	-	0.2
ŋ	-	0.2
r̥	-	0.2
ʏ	ɐ	0.19
ˈɪ	ˈʏ	0.188
ˈiː	ˈɛɪ̯	0.176
ˈɛ	ˈa	0.167
ˈɛ	ç	0.167
ˈʏ	ˈʏ	0.154
ˈʏ	v_ˈʊ	0.154
ˈʏ	-	0.154
ɡ̊	ɣ	0.154
v	w	0.136
ˈɛːi̯	ˈaɪ̯	0.125
ð	d	0.12
j	ˈɪ	0.118
ˈaː	ˈɛə̯	0.111
ˈa	ˈɔ	0.105
ˈa	ˈɒː	0.105
#>	t_#>	0.1
n	-	0.095
v	-	0.091
r	ˈoː	0.071
