Elfdalian	Elfdalian	probability
ˈʉːə̯_r	ʀ	1.0
ˈɛː	ˈeː	1.0
ˈɔ̃ː	-	1.0
ˈœ	ˈɛː	1.0
ˈæː	-	1.0
ˈyœ̯	-	1.0
ˈiːe̯	ˈɛː	1.0
ʨː	k	1.0
ʥː	k	1.0
ʥ	ɣ	1.0
ʏ	ə	1.0
ʉ_#>	#>	1.0
ɽ	l	1.0
ɪ	-	1.0
ɡː	k	1.0
ɡ_#>	k_#>	1.0
ɡ	ɣ	1.0
ɛ_ɽ	ə_l	1.0
ɔ̃	i	1.0
ɔ	ə	1.0
ɑ̃	ˈøː_j	1.0
ɑ_#>	#>	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
w	β	1.0
tʰ	d	1.0
t	t	1.0
sː	s	1.0
s_ʨ	ʃ	1.0
s_t	s	1.0
s_k	ʃ	1.0
s_j	z	1.0
s_#>	z̥_#>	1.0
rː	-	1.0
r_ˈɛ	ʀ	1.0
r_#>	#>	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
l̥	s_l	1.0
kʰ	k	1.0
k_t	x	1.0
k_#>	#>	1.0
j_ˈʉːə̯	ˈeː	1.0
f	v	1.0
d_#>	d̥_#>	1.0
d	d	1.0
b	b	1.0
a	ˈyː	1.0
<#_ˈɛ	<#	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_ʀ	1.0
r	ʀ	0.963
ɑ	ə	0.929
n	n	0.81
lː	l	0.8
ˈʉː	-	0.778
<#	<#_ɦ	0.727
ˈɑːu̯	ˈuː	0.7
ɛ	ə	0.688
ˈo	-	0.667
ʨ	-	0.667
ʉ	-	0.667
ˈɑː	ˈaː	0.636
nː	n	0.636
k	k	0.636
ˈɑːi̯	ˈiː	0.625
ð	d̥	0.619
v	v̥	0.615
ˈʏː	-	0.6
ˈʏ	ˈœ	0.6
ˈyːœ̯	ˈøː	0.6
s	z	0.588
ˈɪ	ˈɪː	0.562
tː	t	0.556
ɣ	ɣ̊	0.538
ˈɛ	-	0.5
ˈɔ	ɦ	0.5
ˈɔ	-	0.5
l	j	0.5
l	-	0.5
kː	ŋ_k	0.5
kː	k	0.5
ˈœː	ˈu	0.444
tː	x	0.444
ˈʉə̯	ˈʊː	0.429
ˈæ	ˈeː	0.429
ˈoː	-	0.429
j	ˈeː	0.417
s	s	0.412
ˈʏː	ˈøː	0.4
ˈʏ	-	0.4
ˈyːœ̯	-	0.4
#>	n_#>	0.389
ˈʉːə̯	ˈʊː	0.385
ˈɑːi̯	-	0.375
ˈʉ	ˈʊː	0.353
ˈɪː	ˈiː	0.333
ˈɪː	ˈi	0.333
ˈɪː	ˈeː	0.333
ˈɔː	ˈɒː	0.333
ˈœː	ˈɔː	0.333
ˈo	ˈaː	0.333
ʨ	k	0.333
ʉ	ɪ	0.333
j	-	0.333
ɛ	-	0.312
ɣ	ɣ	0.308
ˈɑːu̯	-	0.3
ˈʉə̯	ʀ	0.286
ˈʉə̯	-	0.286
ˈɑ	ˈɑː	0.286
ˈæ	ˈɑ	0.286
ˈæ	-	0.286
ˈoː	ˈu	0.286
ˈoː	ɦ	0.286
ð	j	0.286
<#	<#_β	0.273
ˈɛ	ˈɛː	0.25
ˈɛ	ˈæ	0.25
j	ˈæː	0.25
ˈʉ	-	0.235
ˈʉːə̯	ˈeː	0.231
ˈʉːə̯	-	0.231
v	v	0.231
ˈʉː	ˈuː	0.222
ˈɔː	ˈʊː	0.222
ˈɔː	ˈi	0.222
ˈɔː	ˈaː	0.222
ˈœː	-	0.222
#>	d̥_#>	0.222
ˈɑ	ˈɑ	0.214
ˈɑ	ˈaː	0.214
lː	w	0.2
ˈɪ	ˈɛ	0.188
ˈɑː	ˈɑː	0.182
ˈɑː	-	0.182
nː	ʀ_ə	0.182
nː	ʀ	0.182
k	ˈɛː_k	0.182
k	ə_k	0.182
ˈʉ	ˈɔː	0.176
ˈʉ	ˈɔ	0.176
#>	ə_#>	0.167
ˈʉːə̯	ˈoː	0.154
ɣ	x	0.154
v	ˈœ	0.154
ˈɑ	ˈæː	0.143
ˈɑ	ˈæ	0.143
ˈɪ	ˈi	0.125
ˈɪ	-	0.125
n	-	0.119
#>	ɣ̊_#>	0.111
#>	ɣ_ə_#>	0.111
ð	-	0.095
ɑ	d_ə	0.071
n	ə	0.071
ˈʉ	ˈʊ	0.059
