Auvergnat	Auvergnat	probability
ˈɪ̃	ˈe	1.0
ˈɪ_j	e_ʝ	1.0
ˈɔ̃	ˈe	1.0
ˈɔ_k	ˈe_ɣ	1.0
ˈi	ˈi	1.0
ˈẽ	j_ˈe	1.0
ˈã	ˈa	1.0
ˈa_l	ˈe_l	1.0
ʎ_#>	ʎ_o_#>	1.0
ʎ	ʎ	1.0
ʃ	θ	1.0
ʀ_ˈɪ	ɾ_ˈe	1.0
ɲ	ɲ	1.0
ɥ	m_a_t	1.0
ə_#>	#>	1.0
ɔ_#>	#>	1.0
w_ˈẽ	ˈu	1.0
w_ʀ	β_ɾ	1.0
w_t	ˈa_t	1.0
vʲ	b	1.0
v_ə	b_e	1.0
ũ	o	1.0
u_ʀ	o_ɾ	1.0
t	t	1.0
s_ə	s_e	1.0
s_#>	θ_#>	1.0
pʲ	p	1.0
p	p	1.0
mʲ	m	1.0
m	m	1.0
lː	z_l	1.0
j_ʀ	j	1.0
ĩ	i	1.0
i	-	1.0
fʲ	f	1.0
f	f	1.0
e	ɾ	1.0
dʲ	d	1.0
ã	a	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_r	1.0
<#_ɒ	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ˈa_#>	ˈa_ɾ_#>	0.889
ɔ	a	0.852
n	n	0.842
ˈɪ	ˈe	0.833
ʧ	k	0.826
ˈa	ˈa	0.812
ʀ	ɾ	0.8
k	k	0.793
ˈy	ˈu	0.778
ˈœ	w	0.75
ɪ	e_s	0.75
v	b	0.727
ʀ_ɔ	ɾ_a	0.714
u	o	0.714
l	l	0.7
ɒ	a	0.692
ˈu	ˈo	0.667
ˈĩ	ˈi	0.667
w	w	0.625
ˈɔ	ˈe	0.619
j_#>	j_#>	0.6
#>	o_#>	0.569
ɡ	ɡ	0.556
w_#>	o_#>	0.556
ˈũ	ˈo	0.5
ˈũ	-	0.5
ˈe	ˈe	0.5
ʤ	ʧ	0.5
z	θ	0.5
z	-	0.5
s	θ	0.476
d	ð	0.476
b	β	0.476
ə	e	0.458
w_#>	w_#>	0.444
b	b	0.429
ʀ_ə	ɾ_o	0.417
ˈe	j_ˈe	0.406
j_#>	o_#>	0.4
ŋ	n	0.389
j	j	0.385
d	d	0.381
ˈu	ˈu	0.333
ˈĩ	-	0.333
ʀ_ə	ɾ	0.333
<#	<#_ˈu	0.333
<#	<#_ɡ	0.333
<#	<#_a	0.333
w	ˈo	0.312
ɒ	e	0.308
j	-	0.308
ʀ_ɔ	a	0.286
u	u	0.286
v	β	0.273
ˈœ	-	0.25
ʤ	-	0.25
ʀ_ə	ˈe_ɾ	0.25
ɪ	e	0.25
s	ʃ	0.238
l	ʎ	0.233
ˈy	ˈu_j	0.222
ɡ	ɣ_w	0.222
ɡ	ɣ	0.222
ŋ	n_o	0.194
ˈɔ	-	0.19
#>	e_#>	0.172
ˈɪ	-	0.167
ə	ɾ_o	0.167
ə	i	0.167
ŋ	ŋ	0.167
n	-	0.158
j	ˈe_j	0.154
j	ˈe	0.154
d	-	0.143
k	ɡ	0.138
ʤ	β_j	0.125
ʤ	ɣ	0.125
ə	o	0.125
#>	ɾ_#>	0.121
ˈa_#>	#>	0.111
ŋ	n_t	0.111
ˈɔ	ˈu	0.095
ˈɔ	ɣ	0.095
s	s_o	0.095
s	s	0.095
s	-	0.095
b	-	0.095
ˈe	ˈa	0.094
ʧ	t	0.087
ʧ	s_t	0.087
ə	ˈe	0.083
ŋ	o	0.083
ɔ	o	0.082
k	k_w	0.069
ʀ	ɾ_o	0.067
ʀ	ɾ_n	0.067
ʀ	r	0.067
l	-	0.067
ˈa	ˈo	0.062
ˈa	ˈa_l	0.062
ˈa	u_s	0.062
w	o	0.062
ŋ	ˈe_n	0.056
#>	θ_#>	0.052
#>	t_#>	0.052
