Belarusian	Slovak	probability
b	b	1.0
bʲ	b	1.0
d	d	1.0
j	j	1.0
k	k	1.0
kʲ	k	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
nʲ	ɲ	1.0
pʲ	p	1.0
s	s	1.0
sʲ	s	1.0
t	t	1.0
u	ˈu	1.0
vʲ	ʋ	1.0
w	ʋ	1.0
x	x	1.0
xʲ	x	1.0
z	z	1.0
zʲ	z	1.0
ɣ	ɦ	1.0
ʂ	ʃ	1.0
ʐ	ʒ	1.0
ʣʲ	ɟ	1.0
ʦ	ʦ	1.0
ˈu	ˈu	1.0
ˈɛ	ˈɛ	1.0
ˈɨ	ˈi	1.0
a	ɔ	0.291
i	-	0.191
ɫ	d_ɫ	0.081
ʧ	ʃ	0.292
ˈo	ʊ̯ˈɔ	0.102
a	ɪ̯ˈɛ	0.053
e	ɔ	0.153
lʲ	ʎ	0.463
p	p	0.933
ʦʲ	c	0.943
ʧ	ʧ	0.453
ˈa	ˈa	0.3
ˈi	-	0.23
ˈo	ɔ	0.073
ˈo	ˈɔ	0.493
r	ˈr̩	0.124
v	v	0.314
ɨ	i	0.314
ˈo	ˈa	0.274
ˈæ	ˈæ	0.714
a	-	0.05
a	ɛ	0.145
a	ˈɔ	0.195
æ	ɪ̯ˈɛ	0.155
æ	ˈɛ	0.845
ʧ	ʦ	0.255
ˈɵ	ˈɛ	0.225
ˈɵ	-	0.775
a	a	0.166
e	ɪ̯ɛ	0.06
r	r	0.876
v	ʋ	0.686
ɨ	iː	0.686
ˈe	-	0.086
ˈe	ˈɛ	0.656
ˈæ	ˈa	0.286
e	ɛ	0.787
lʲ	l	0.537
p	f	0.067
ʦʲ	t	0.057
ˈa	a	0.7
ˈi	ˈi	0.77
ˈe	ɛ	0.088
ˈo	ˈaː	0.058
a	ˈa	0.069
i	iː	0.809
ɫ	l	0.229
ɫ	ɫ	0.69
ˈe	ɪ̯ˈɛ	0.169
