East Franconian	Ripuarian	probability
β	v	1.0
ˈɛː	-	1.0
ˈɘ	ˈy	1.0
ˈɔ_ɐ	ˈoː	1.0
ˈɒː	ˈa	1.0
ˈa	ˈɛ	1.0
ʦ	ʦ	1.0
ɾ	d	1.0
ɪ	ə	1.0
ɣ	ˈɛː	1.0
ə	ˈyː_ɕ	1.0
ɐ_ʦ	ʦ	1.0
ɐ_n	ʀ_ə	1.0
ɐ_m	ʀ_m	1.0
ɐ_d̥	d̥	1.0
ç	ɕ	1.0
z̥_n	s_ə	1.0
x_d̥	x	1.0
v̥	f	1.0
v_ˈɔ	ʋ	1.0
v	ʋ	1.0
n_s	n_z̥	1.0
n_d̥	ŋ_ɡ̊	1.0
m_ˈʊ	m	1.0
l_n	ɫ	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
f_a	ə_f	1.0
eː	e	1.0
d̥_ˈiː	d_ˈeː	1.0
b̥͡v̥	p	1.0
b̥	b	1.0
ʃ	ʃ	0.926
m	m	0.882
r	ʀ	0.876
f	f	0.87
z̥	z̥	0.756
ˈɒ	ˈa	0.753
ˈʊ	ˈo	0.739
ˈaʊ̯	ˈuː	0.695
n	n	0.67
ˈɔ	ˈo	0.667
l	l	0.627
ɣ̊	-	0.599
s	z	0.585
ŋ	ŋ	0.575
x	x	0.564
ˈuː	ˈoː	0.558
ɐ	ɐ	0.543
ˈɪ	ˈe	0.511
a	ə	0.507
a	-	0.493
ɡ̊	k	0.482
d̥	d	0.461
ɡ̊	j	0.452
ˈiː	ˈeː	0.436
x	-	0.436
ˈeː	ˈɛ	0.431
ˈeː	-	0.416
s	s	0.415
ˈoː	ˈɔː	0.413
ɣ̊	ɣ̊	0.401
ɐ	ʀ	0.393
ˈaɪ̯	ˈiː	0.377
l	ɫ	0.373
ˈɛ	ˈɛ	0.342
ˈɔ	ˈɔ	0.333
ˈuː	ˈuː	0.313
ˈaː	ˈeː	0.312
ˈaʊ̯	ˈɔʊ̯	0.305
ˈoː	ˈaː	0.276
ˈaː	ˈɔʊ̯	0.27
ˈɛ	ˈɛː	0.26
ˈɒ	ˈaː	0.247
z̥	s	0.244
d̥	d̥	0.243
ŋ	j_ə	0.227
ˈɪ	ˈœ	0.221
ˈɛ	-	0.221
ˈaː	ˈeɪ̯	0.213
ˈaː	ˈoː	0.205
ˈaɪ̯	-	0.182
ˈɛ	ˈe	0.176
ˈaɪ̯	ˈyː	0.175
n	ə	0.175
ˈoː	-	0.169
ˈiː	ˈøː	0.165
ˈʊ	ˈʊ	0.16
ˈeː	ˈeː	0.153
ˈaɪ̯	ˈɪ	0.148
ˈiː	ˈiː	0.147
ˈɪ	ˈɪ	0.142
ˈoː	ˈa	0.142
d̥	t	0.138
n	ŋ	0.134
ˈuː	-	0.13
f	p	0.13
ˈiː	ˈɪ	0.129
ˈɪ	-	0.126
r	ʀ_ˈøː	0.124
m	v_ə	0.118
ˈʊ	ˈu	0.101
d̥	-	0.101
ŋ	ɣ_ə	0.099
ŋ	-	0.099
ˈaɪ̯	ˈeɪ̯	0.084
ʃ	s	0.074
ɡ̊	-	0.066
ɐ	ˈɔː	0.065
ˈiː	ˈe	0.064
ˈiː	ˈi	0.06
d̥	ɡ̊	0.057
