Provençal	Provençal	probability
ˈɛ_w	ˈɛ_o	1.0
ˈɛ_j	e	1.0
ˈɔ	-	1.0
ˈỹ	ˈu	1.0
ˈu_#>	ˈo_r_#>	1.0
ˈĩ	ˈi	1.0
ˈi_#>	ˈi_r_#>	1.0
ˈi	ˈi	1.0
ˈe_ʀ	r_t	1.0
ˈe_#>	ˈe_r_#>	1.0
ˈã	ˈa	1.0
ˈa_w	ˈɔ	1.0
ˈa_n	ˈa_n	1.0
ˈa_j	ˈa	1.0
ˈa_#>	ˈa_r_#>	1.0
ʧ	-	1.0
ʀ_s	r_s	1.0
ɾ_ˈe	r_ˈɛ	1.0
ɲ	ɲ	1.0
ɥ_ˈe	ˈɔ	1.0
ɥ	-	1.0
ŋ_d	n	1.0
y	-	1.0
w_ˈẽ	ˈo	1.0
w_#>	o_#>	1.0
v	v	1.0
ũ	-	1.0
u_l	o_ɰ	1.0
u_d	o_d	1.0
t	t	1.0
s_e	s_e	1.0
p	p	1.0
mː	e	1.0
k_l	ʧ	1.0
j_ɾ	r	1.0
ĩ	-	1.0
f	f	1.0
ẽ	-	1.0
e_s	s	1.0
e_#>	#>	1.0
ã	a	1.0
a_s	a_s	1.0
a_b	a_v	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_z	1.0
<#_ʀ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#	<#_z	1.0
ˈa	ˈa	0.939
k	k	0.92
#>	o_#>	0.907
b	b	0.905
ɔ	a	0.894
s	s	0.886
m	m	0.882
n	n	0.875
ˈẽ	ˈe	0.833
ˈe	ˈe	0.833
ˈy	ˈu	0.818
ŋ	ŋ	0.804
ʀ	r	0.75
ɡ	ɡ	0.75
u	o	0.75
<#_l	<#_ɰ	0.75
ɾ	r	0.731
ˈũ	ˈo	0.727
s_#>	z_e_#>	0.714
ˈu	ˈo	0.696
w_ˈe	ˈɔ	0.652
z	z	0.625
ɾ_e	r_o	0.6
j_ɔ	a	0.6
<#_a	<#_a	0.6
ˈɛ	ˈɛ	0.577
d	-	0.545
ʤ	z	0.5
ʤ	-	0.5
j_ˈe	ˈɛ	0.5
j_ˈe	ˈi	0.5
j_#>	i_#>	0.5
j_#>	#>	0.5
e	e	0.455
d	d	0.455
i	j	0.429
l	j	0.423
ɾ_e	e_r	0.4
j_ɔ	j_a	0.4
<#_a	<#	0.4
z	-	0.375
w	l	0.375
w_ˈe	ˈo	0.348
s_#>	#>	0.286
i	i	0.286
i	-	0.286
j	-	0.278
ˈũ	-	0.273
ɾ	a_r	0.269
l	-	0.269
ɡ	ʤ	0.25
u	-	0.25
<#_l	<#	0.25
ˈɛ	ˈe	0.231
j	ʧ_o	0.222
ˈu	ˈu	0.217
e	o	0.212
w	ɰ_o	0.208
l	ɰ	0.192
ˈy	-	0.182
ˈẽ	ˈɛ	0.167
j	j	0.167
ʀ	r_n	0.15
ŋ	n	0.13
w	ˈɔ	0.125
w	v_e	0.125
n	ɲ	0.125
e	i	0.121
e	-	0.121
m	-	0.118
ˈɛ	e	0.115
l	l	0.115
j	ˈɛ	0.111
j	ˈi	0.111
j	o	0.111
ʀ	n	0.1
b	v	0.095
e	e_r	0.091
ˈu	-	0.087
ˈe	ˈo	0.083
ˈe	r	0.083
w	v_o	0.083
w	v	0.083
k	ɡ_o	0.08
ˈɛ	j_ˈe	0.077
s	z	0.068
ŋ	-	0.065
ˈa	w_ˈa	0.061
#>	a_#>	0.056
