Franco-Provençal	Franco-Provençal	probability
ˈɛ̃_#>	ɲ_#>	1.0
ˈɛː_ʁ_#>	ˈe_#>	1.0
ˈɛː_#>	ˈe_#>	1.0
ˈɛ_t	ˈe_k	1.0
ˈɑː	ˈa	1.0
ˈø_ʁ	ˈu	1.0
ˈy	ˈy_b	1.0
ˈa_#>	ˈa_#>	1.0
ʦ	s	1.0
ʒ	ʤ	1.0
ʎ_ə	j_ɔ	1.0
ʎ_#>	j_#>	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ̃	ẽ	1.0
ɛ	e	1.0
ɔ̃	ũ	1.0
ɔ	u	1.0
ɑ̃	ã_ŋ	1.0
ɑː	a_s	1.0
z	z	1.0
y	-	1.0
w_ˈɛː	ˈu	1.0
w_ˈe	ˈa_w	1.0
u	u	1.0
p	p	1.0
l_#>	w_#>	1.0
k_ʁ	k_ɾ	1.0
ĩ	ĩ	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ˈo	<#_w	1.0
<#_ʁ	<#_ʀ	1.0
<#_ð	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_a	<#_a	1.0
<#	<#_ˈa	1.0
m	m	0.962
l	l	0.949
n	n	0.933
s	s	0.925
t	t	0.9
ˈa	ˈa	0.895
ˈɑ̃	ˈã_ŋ	0.846
k	k	0.842
ʃ	k	0.818
a	ɔ	0.792
ʃ_#>	s_#>	0.778
ˈo	ˈu	0.75
e	e_s	0.75
ˈɛ̃	ˈẽ_ŋ	0.727
v	v	0.727
ʁ_#>	ʀ_#>	0.667
ð	ɾ	0.667
i	ɔ	0.667
ˈi	ˈi	0.643
ˈĩ	ˈĩ_ŋ	0.625
ˈoː	w_ˈe	0.6
ˈi_#>	ˈi_#>	0.6
ʎ	l	0.6
ʁ	ɾ	0.6
f_#>	w_#>	0.6
o	e	0.591
ə	e	0.556
j	-	0.556
ˈɔ	ˈu	0.5
ˈɔ	w_ˈe	0.5
ˈu	ˈu	0.5
o_#>	i_#>	0.5
o_#>	#>	0.5
j_ˈe	ˈɛ	0.5
j_ˈe	ˈa	0.5
ˈø	ˈe	0.429
ˈɛː	ˈe	0.412
ˈɛ	ˈe	0.412
ˈi_#>	#>	0.4
ˈaː	ˈa_j	0.4
ʎ	j	0.4
f_#>	#>	0.4
ˈĩ	ŋ	0.375
w	-	0.375
ˈɔ̃	ˈũ_ŋ	0.364
ˈɔ̃	w_ˈẽ	0.364
ˈɛ	ˈɛ	0.353
ʁ_#>	#>	0.333
ə	ɔ	0.333
i	i	0.333
ˈu	ˈy	0.3
ˈaː	ˈa	0.3
ˈaː	w	0.3
ˈe	ˈɛ	0.294
ˈø	ˈu	0.286
ˈø	-	0.286
ˈɛ̃	ŋ	0.273
ˈɔ̃	ŋ	0.273
o	u	0.273
ʁ	ʀ	0.267
ˈo	ɥ	0.25
w	w	0.25
e	e	0.25
ð	ʤ	0.238
ˈɛː	ˈɛ_j	0.235
ˈɛː	ˈɛ	0.235
ˈɛ	-	0.235
ˈe	ˈi	0.235
ˈe	ˈe	0.235
ʃ_#>	#>	0.222
j	j	0.222
ˈi	j_ˈe	0.214
#>	w_#>	0.214
v	b	0.212
w	ɥ	0.208
ˈu	w_ˈe	0.2
ˈoː	ˈu	0.2
ˈoː	ˈa_w	0.2
#>	k_#>	0.179
a	a	0.17
k	k_w	0.158
ˈɑ̃	ˈã	0.154
ˈi	ˈe	0.143
#>	ɔ_#>	0.143
o	-	0.136
ˈɛː	-	0.118
ˈe	ˈa	0.118
ə	-	0.111
j	ˈɛ	0.111
j	ˈũ	0.111
#>	ŋ_#>	0.107
#>	m_#>	0.107
#>	j_#>	0.107
ˈa	k	0.105
t	-	0.1
ð	ʀ	0.095
ʃ	s	0.091
ʃ	k_ˈa	0.091
ʁ	-	0.089
w	ˈũ	0.083
w	ˈu	0.083
s	-	0.075
#>	ʀ_#>	0.071
#>	s_#>	0.071
n	-	0.067
v	-	0.061
ˈe	ˈɛ_s	0.059
ˈe	j	0.059
l	lː	0.051
