Gascon	Gascon	probability
ˈɛ_t	j_ˈa	1.0
ˈɛ_s	j	1.0
ˈy_ɲ	ˈœ̃	1.0
ˈy_n	ˈɔ̃	1.0
ˈu_ʦ	w_ˈɛ	1.0
ˈu_ŋ	ˈɔ̃	1.0
ˈu_t	ˈɔ	1.0
ˈu_n	ˈɔ̃	1.0
ˈi_ŋ	ˈẽ	1.0
ˈi_z	ˈiː	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_ʎ	j	1.0
ˈe_ŋ	ˈɛ̃	1.0
ˈe_n	ˈɛ̃	1.0
ˈe_j	ˈiː	1.0
ˈa_ɣ	ˈɔː	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_ð	ˈɛː	1.0
ˈa_w	ˈoː	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_j	ˈɛ	1.0
ˈa_#>	ˈe_#>	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɔ_#>	#>	1.0
ð	-	1.0
u_n	ɔ̃	1.0
t_ɔ	ˈɛ_s	1.0
t_e_s_#>	t_#>	1.0
t_#>	#>	1.0
t	t	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_t	ˈa_ʀ	1.0
r_#>	#>	1.0
p	p	1.0
nː	m	1.0
n_ˈa	n	1.0
mː	a_m	1.0
m_ɔ_#>	m_#>	1.0
lː	-	1.0
l_ɔ	j	1.0
l	l	1.0
k_a	ʧ	1.0
k_#>	#>	1.0
h	f	1.0
e_ð	j	1.0
a_w	ɔ	1.0
<#_ˈy_ŋ	<#_ˈɔ̃	1.0
<#_ˈa	<#_ˈɔː	1.0
<#_w	<#_ˈuː	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a_r	<#_ʀ	1.0
<#_a	<#_a	1.0
s	s	0.921
r	ʀ	0.875
w_#>	#>	0.818
d	d	0.786
m	m	0.783
ʎ	-	0.778
ɡ	ɡ	0.75
u	ɔ	0.714
j	-	0.706
ʦ	-	0.667
ʒ	ʤ	0.636
<#_e	<#	0.636
e_#>	#>	0.632
ɾ	ʀ	0.629
k	k	0.575
b	v	0.571
w	-	0.533
e	-	0.529
ˈy	ˈu	0.5
ˈy	-	0.5
ɣ	ɡ	0.5
ɣ	-	0.5
n_ɔ	ˈɛ̃_n	0.5
n_ɔ	n	0.5
n	n	0.5
ɔ	j	0.462
b	b	0.429
ˈɔ	-	0.412
i	i	0.4
i	-	0.4
β	f	0.385
a	a	0.385
z	ʒ	0.375
z	-	0.375
ˈi	ˈɛ	0.368
e_#>	ʀ_#>	0.368
<#_e	<#_ɛ	0.364
ˈe	-	0.355
ˈa	ˈa	0.351
k	ʧ	0.35
ˈu	ˈɔ	0.333
ˈu	ˈuː	0.333
ʦ	ʃ	0.333
ˈɛ	ˈiː	0.316
β	v	0.308
β	-	0.308
a	ɛ	0.308
ŋ	ˈɛ̃	0.3
ŋ	ˈẽ	0.3
#>	ʀ_#>	0.3
ˈɔ	ˈɔ	0.294
ˈɔ	w	0.294
ˈe	ˈɛ	0.29
u	-	0.286
ʒ	-	0.273
w	w	0.267
ˈɛ	-	0.263
ˈe	w	0.258
ɾ	-	0.257
ɡ	-	0.25
z	z	0.25
n	ˈɛ̃	0.25
n	-	0.25
#>	ˈe_#>	0.25
ˈu	ˈøː	0.238
e	ɛ	0.235
ɔ	-	0.231
ʎ	j	0.222
m	-	0.217
d	-	0.214
ˈɛ	ˈɛ	0.211
ˈi	ˈiː	0.211
ˈi	ˈi	0.211
ŋ	ˈɔ̃	0.2
ŋ	-	0.2
w	ˈuː	0.2
i	ẽ	0.2
w_#>	l_#>	0.182
j	ɛ	0.176
ɔ	w	0.154
ɔ	n	0.154
a	ɔː	0.154
a	-	0.154
#>	f_#>	0.15
ˈa	ˈɔː	0.135
ˈa	ˈiː	0.135
ˈa	ˈe	0.135
ˈa	-	0.135
r	-	0.125
j	ˈɛ	0.118
e	ˈi	0.118
e	j	0.118
ˈɛ	j_ˈɛ	0.105
ˈɛ	j	0.105
ˈi	j	0.105
ˈi	-	0.105
#>	ˈi_#>	0.1
#>	t_#>	0.1
#>	j_#>	0.1
ˈe	ˈeː	0.097
ˈu	ˈu	0.095
ʒ	ɲː	0.091
s	ʃ	0.079
k	-	0.075
ɾ	ʀ_w	0.057
ɾ	l	0.057
ˈa	ˈɛ	0.054
ˈa	w	0.054
