Gothic	Gothic	probability
θ_s	d	1.0
θ_iː	d	1.0
ˈu_lː	ˈuː	1.0
ˈiː_s	ˈiː	1.0
ˈi_ɡ	ˈɛː	1.0
ˈi_n	ˈɪ_n	1.0
ˈi_m	ˈaːɪ̯	1.0
ˈi_l	ˈɛ_l	1.0
ʍ	ʍ	1.0
ɡʷː	ˈu	1.0
ɡʷ	-	1.0
ɡ_l	l	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
z	-	1.0
x	-	1.0
t_s	t	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_u	ə	1.0
p	p	1.0
oː	-	1.0
nː	n	1.0
n_ˈiu̯	n	1.0
n_s	n	1.0
n_#>	#>	1.0
m_ˈeː	m	1.0
m	m	1.0
l_b	f	1.0
k_iː	ʧ	1.0
k	k	1.0
iː	-	1.0
i	-	1.0
e	-	1.0
d	d	1.0
b	b	1.0
aː	-	1.0
a_n_#>	#>	1.0
<#_θ	<#_θ	1.0
<#_t	<#_tʰ	1.0
<#_s	<#_s	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
#>	r_#>	1.0
r	r	0.943
t	t	0.905
n	n	0.9
l	l	0.889
f	f	0.833
u	-	0.8
w	w	0.762
ɡ	ɡ	0.75
ˈɛ	-	0.714
ˈi	ˈɪ	0.632
h	h	0.625
β	-	0.6
θ	d	0.571
ˈoː	ˈø	0.571
ˈiː	ˈəi̯	0.571
ˈɛː	ˈe	0.556
j	-	0.556
ˈiu̯	ˈiː	0.5
ˈiu̯	ˈi	0.5
ˈeː	ˈiː	0.5
ˈeː	ˈi	0.5
ŋ	ŋ	0.5
ŋ	-	0.5
a	-	0.5
ˈɛː	-	0.444
ˈɔː	ˈi	0.444
j	j	0.444
a	ə	0.438
β	v	0.4
s	s	0.4
ˈɔː	-	0.333
ˈɔ	ˈɪ	0.333
ˈɔ	ˈo	0.333
ˈɔ	ˈi	0.333
ˈuː	ˈuː	0.333
ˈuː	ˈu	0.333
ˈuː	-	0.333
ˈu	ˈʌ	0.333
s	r	0.333
ˈɛ	ˈɛ	0.286
ˈoː	ˈɪ	0.286
ˈiː	-	0.286
ˈu	ˈu	0.267
ˈu	-	0.267
ɡ	-	0.25
ˈa	ˈɑː	0.242
ˈa	ˈeː	0.242
w	-	0.238
ˈɔː	ˈo	0.222
θ	θ	0.214
θ	ð	0.214
ˈi	ˈi	0.211
u	ə	0.2
s	ˈiː	0.2
ˈa	ˈa	0.182
h	ç	0.167
f	-	0.167
ˈi	-	0.158
ˈoː	ˈøː	0.143
ˈiː	ˈaɪ̯	0.143
ˈu	ˈʌu̯	0.133
h	-	0.125
ˈa	ˈɛ	0.121
ˈa	ˈe	0.121
l	-	0.111
n	-	0.1
t	d	0.095
ˈa	ˈɪ	0.091
h	x	0.083
s	z	0.067
a	ɛ	0.062
r	r_ˈɪ	0.057
