West Frisian	Elfdalian	probability
χ_t	tː	1.0
ˈɪə̯_l	ˈɔː_v	1.0
ˈɪ_n	n	1.0
ˈɔu̯	ˈʉ	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈy	ˈʏ	1.0
ˈu̯o	ˈʉːə̯	1.0
ˈuː_ɣ̥	rː	1.0
ˈuə̯_r	r	1.0
ˈu	ˈʉ	1.0
ˈoə̯_n	n	1.0
ˈi_l	ˈœ	1.0
ˈai̯	ˈæː	1.0
ʦ	tʰ	1.0
ɪ	ʉ	1.0
ə_n	ɑ̃	1.0
ɕ	-	1.0
ŋ	ŋ_ɡ	1.0
s_ˈɪ	s	1.0
s_v	s	1.0
l_ˈuə̯	ɽ_ˈʉːə̯	1.0
j_ə	ɑ	1.0
f	f	1.0
b	b	1.0
s	s	0.974
r	r	0.953
m	m	0.875
p	p	0.804
ˈuə̯	ˈʉːə̯	0.781
ɡ	ɡ	0.765
d	d	0.739
ʋ	w	0.714
t	t	0.702
d̥	ð	0.702
ˈɛ	-	0.589
v	w	0.588
ˈɔː	ˈɑ	0.587
ɣ̥	ɣ	0.565
z	-	0.564
k	k	0.554
l	ɽ	0.532
ˈeː	ˈʉː	0.529
ɣ	ɣ	0.514
ˈiː	-	0.512
χ	-	0.504
ˈɛː	ˈʏ	0.5
ˈɛː	ˈɑː	0.5
χ	k	0.496
ˈuː	ˈɑːu̯	0.483
ˈoə̯	ˈʉə̯	0.48
ˈeː	-	0.471
n	n	0.47
ˈɔ	ˈʉ	0.459
ə	ɑ	0.436
z	s	0.436
ɣ̥	ɡː	0.435
ˈɔ	-	0.427
ˈaː	ˈɑː	0.425
ˈi	-	0.422
ˈɔː	-	0.413
ˈɪ	ˈɪ	0.406
ˈa	ˈɑ	0.401
ˈɛi̯	-	0.362
ˈaː	-	0.356
ə	ɛ	0.355
j	-	0.35
ˈuː	ˈʉ	0.34
ˈa	-	0.337
ɣ	-	0.324
k	ʨ	0.319
ˈi	ˈɪː	0.311
ˈiə̯	ˈiːe̯	0.307
ˈoə̯	-	0.303
ʋ	ˈɛː	0.286
ˈɪə̯	ˈœː	0.279
ˈɪə̯	-	0.276
ˈɛi̯	ɣ	0.269
ˈi	ˈɑːi̯	0.267
d	ð	0.261
ˈɪə̯	ˈæː	0.252
ˈɪ	-	0.251
l	lː	0.249
ˈɛ	ˈɛ	0.241
ɡ	ʥ	0.235
v	v	0.23
ˈiə̯	ˈɔː	0.227
ˈuə̯	ʏ	0.219
ˈaː	ˈɔː	0.219
ˈoə̯	ˈɛ	0.217
n	nː	0.216
ˈiː	ˈɑːi̯	0.206
n	-	0.202
ˈɪə̯	ˈoː	0.193
ˈiə̯	j_ˈʉːə̯	0.189
ˈɛi̯	ˈɛ	0.185
ˈɛi̯	ˈɑː_ɣ	0.185
v	-	0.181
t	tː	0.178
j	j	0.178
ˈuː	ˈʉː	0.177
d̥	r_d	0.176
ˈɛ	j	0.169
j	ˈʏː	0.169
ɣ	ʥː	0.162
ˈiə̯	ˈyːœ̯	0.161
ˈɪ	ˈɪː	0.153
ˈa	ˈɔ	0.153
ˈiː	ˈɪː	0.141
ˈiː	j_ˈʉːə̯	0.141
j	ʨ	0.139
p	pʰ	0.137
k	kː	0.127
m	mː	0.125
l	ˈʉːə̯	0.123
d̥	l_d	0.122
t	-	0.12
ˈiə̯	j	0.116
ˈɔ	ˈo	0.113
n	n_d	0.112
ˈa	ˈɑː	0.109
ˈɪ	ˈʉ	0.105
ə	ɔ	0.099
l	-	0.096
j	ˈœː	0.088
ˈɪ	ˈɛ	0.084
j	ˈɑːi̯	0.076
ə	-	0.066
p	pː	0.06
