Ripuarian	West Flemish	probability
#>	#>	0.81
#>	ə_#>	0.147
<#	<#	1.0
<#_h	<#	1.0
<#_m	<#	0.512
b	b	1.0
d	d	0.892
d	-	0.102
f	v	0.729
f	p	0.134
f	f	0.127
h	z	0.388
h	k	0.102
j	ɦ	0.832
j	j	0.158
k	k	0.483
k	t	0.253
k	ɦ	0.11
k	-	0.104
l	l	0.902
l	w	0.096
l_t	t	0.512
m	m	0.986
n	n	0.856
n	-	0.114
p	p	0.822
p	f	0.121
s	s	0.596
s	t	0.395
t	t	0.865
t	-	0.079
t	ɾ_t	0.052
v	v	0.786
v	ʋ	0.211
x	h	0.513
x	k	0.224
x	h_t	0.148
x	ɦ	0.066
z	z	0.942
z	s	0.064
ŋ	ŋ	0.566
ŋ	n	0.428
ɐ	ɾ	0.823
ɐ	ɾ_ə	0.119
ɕ	h	0.413
ɕ	k	0.369
ɕ	ç	0.081
ɕ	-	0.066
ɕ	ɦ	0.066
ə	n	0.718
ə	ə	0.164
ə	-	0.106
ə_f	v	1.0
ɣ	ɦ	1.0
ɪ	ə	0.5
ɪ	ɪ	0.5
ʀ	ɾ	0.889
ʀ	-	0.11
ʃ	s	0.68
ʃ	ʃ_h	0.171
ʃ	z	0.146
ʋ	ʋ	1.0
ʦ	t	0.861
ʦ	ɾ_t	0.133
ˈa	ˈɑ	0.659
ˈa	ˈiə̯	0.095
ˈa	ˈɒː	0.095
ˈa	ˈɪ	0.077
ˈa	ˈɔ	0.076
ˈa_l	ˈu	1.0
ˈaʊ̯	ˈu	0.37
ˈaʊ̯	ˈyː	0.151
ˈaʊ̯	ˈoː	0.147
ˈaʊ̯	ˈɔ	0.082
ˈaː	ˈɑ	0.534
ˈaː	ˈɒː	0.314
ˈaː	ˈøː	0.088
ˈaː	ˈɛ	0.061
ˈe	ˈɪ	0.457
ˈe	ˈɛ	0.389
ˈe	ˈæ	0.131
ˈeɪ̯	ˈi	0.37
ˈeɪ̯	ˈɛː	0.37
ˈeɪ̯	ˈiə̯	0.147
ˈeː	ˈiə̯	0.525
ˈeː	ˈɛː	0.351
ˈeː	ˈœ	0.065
ˈeː	ˈeː	0.056
ˈiː	ˈi	0.295
ˈiː	ˈiə̯	0.257
ˈiː	ˈɛː	0.116
ˈiː	ˈyː	0.101
ˈiː	ˈæ	0.078
ˈiː	ˈɒː	0.066
ˈiː	ˈɛ	0.066
ˈo	ˈu	0.639
ˈo	ˈɔ	0.206
ˈo	ˈœ	0.131
ˈoː	ˈuə̯	0.452
ˈoː	ˈɒː	0.312
ˈoː	ˈoː_ɾ	0.157
ˈoː	ˈoː	0.068
ˈu	ˈɛː	0.312
ˈu	ˈøː	0.271
ˈu	ˈɔ	0.094
ˈuː	ˈoː	0.634
ˈuː	ˈyː	0.356
ˈyː	ˈoː	0.582
ˈyː	ˈyː	0.247
ˈyː	ˈiə̯	0.116
ˈøː	ˈuə̯	0.805
ˈøː	ˈiə̯	0.162
ˈœ	ˈœ	0.457
ˈœ	ˈiə̯	0.171
ˈœ	ˈɪ	0.155
ˈœ	ˈʏ	0.105
ˈɔ	ˈɔ	0.496
ˈɔ	ˈœ	0.158
ˈɔ	ˈoː	0.157
ˈɔ	ˈu	0.085
ˈɔ	ˈɒː	0.069
ˈɔʏ̯	ˈiə̯	0.263
ˈɛ	ˈeː	0.254
ˈɛ	ˈɛ	0.239
ˈɛ	ˈæ	0.131
ˈɛ	ˈɑ	0.122
ˈɛ	ˈɔ	0.087
ˈɛ	ˈi	0.073
ˈɛ	ˈœ	0.07
ˈɛː	ˈæ	0.431
ˈɛː	ˈɒː	0.327
ˈɛː	ˈeː	0.223
ˈɪ	ˈɪ	0.415
ˈɪ	ə	0.126
ˈɪ	ˈæ	0.126
ˈɪ	ˈɛ	0.126
ˈɪ	ˈi	0.098
ˈɪ	ˈeː	0.074
ˈʏ	ˈoː	0.561
ˈʏ	ˈeː	0.19
ˈʏ	ˈyː	0.121
