Alsatian	Faroese	probability
ˈʊː_t	ˈɔːu̯_w	1.0
ˈɛ	j_ˈøː	1.0
ˈɒː_ʁ	ˈa_ɹ	1.0
ˈɒ_t	ˈɛːa̯	1.0
ˈɒ_n	ˈɛːa̯_v	1.0
ˈœ	ˈɛːi̯	1.0
ˈøi̯	ˈʉːu̯	1.0
ˈø	ˈʊ	1.0
ˈæː	-	1.0
ˈyː	ˈʉːu̯	1.0
ˈiː_ʁ	ɹ	1.0
ˈiː_t	ˈʊ̯iː	1.0
ˈeː_ʁ	ɹ	1.0
ˈei̯	-	1.0
ˈaː	-	1.0
ˈai̯	ˈɔːi̯	1.0
ʃ_t	s_t	1.0
ʁ_n	t͡n̥	1.0
ɡ̊	ʤ̊	1.0
ə_ʁ	ɪ_ɹ	1.0
x	-	1.0
w	v	1.0
t_ʁ	d̥_ɹ	1.0
s_ə	ʰt͡n̥	1.0
j	ɡ̊_v̥	1.0
i_ʃ	ʧ	1.0
i	-	1.0
h	h	1.0
eː	a	1.0
e	m	1.0
b̥	b̥	0.847
m	m	0.822
f	f	0.761
ʁ	ɹ	0.759
ˈo	ˈɔ	0.73
ŋ	ŋ	0.69
ˈæ	ˈeː	0.686
ˈi	ˈɪ	0.668
l	l	0.621
kʰ	kʰ	0.62
d̥	d̥	0.61
ˈoː	ˈɔ̯aː	0.608
d̥_ə	w	0.608
ˈɒ	ˈa	0.605
ə	a	0.588
ˈəi̯	ˈaːi̯	0.587
ˈu	ˈʊ	0.562
n	n	0.547
s	s	0.539
t	-	0.509
k	-	0.507
ʦ	tʰ	0.506
ˈiː	ˈʊ̯iː	0.483
ˈɒː	ˈɛːa̯	0.434
ˈəi̯	ˈai̯	0.413
ˈʊː	ˈɔːu̯	0.41
s	t	0.396
d̥_ə	a	0.392
d̥	tʰ	0.39
ˈeː	ˈɛːa̯	0.384
kʰ	ʧʰ	0.38
ˈe	ˈɛ	0.372
ʋ	v	0.37
ˈeː	ˈɛ	0.353
ʋ	-	0.349
ʃ	ʃ	0.348
k	ɡ̊ː	0.348
ˈʊː	-	0.346
ˈæ	-	0.314
ˈɒː	ˈɔ	0.309
ʃ	k	0.282
ʋ	kʰ_v	0.281
ʦ	ʰt	0.28
ˈo	ˈʊ	0.27
ˈeː	-	0.263
ˈɒː	-	0.257
ˈe	-	0.254
ˈʊː	ˈɛːi̯	0.244
ˈiː	-	0.241
ˈoː	ˈɛːi̯	0.235
ˈu	ˈɔ	0.2
l	t͡l̥	0.199
ə	ʊ	0.196
n	nː	0.193
ʃ	s	0.192
ˈe	ˈœ	0.187
ˈe	ˈiː	0.187
ʃ	s_k	0.179
ˈiː	ˈøː	0.178
ʦ	t	0.167
ŋ	ŋ_ɡ̊	0.164
ˈoː	-	0.157
ˈi	-	0.156
ˈɒ	ˈɔ	0.154
b̥	-	0.153
ŋ	ɲ	0.147
l	l̥	0.147
t	t	0.146
n	ˈʊ_ʤ̊ː	0.146
k	ʰʧ	0.145
ˈɒ	ˈɛːa̯	0.128
ə	ɡ̊_ʊ	0.128
t	d̥	0.123
ʁ	ɹ_ʊ	0.122
ˈu	-	0.121
ˈu	ˈɪ	0.118
ʁ	-	0.118
ˈɒ	ˈɛ	0.114
n	ŋ	0.114
f	p	0.113
t	ɹ	0.111
t	j_ʊ	0.111
ˈi	ˈa	0.103
ˈiː	ˈɔːu̯	0.098
m	-	0.095
m	mː	0.084
f	v	0.081
ˈi	ˈiː	0.073
s	ʰt	0.066
