Galician	Galician	probability
θ_ʊ	ʦ	1.0
θ_#>	ʃ_#>	1.0
β_ʊ	ˈɛ_f	1.0
β_ɪ	f	1.0
β_ɐ	b_a	1.0
ˈɛ_l	l	1.0
ˈɑ	ˈa	1.0
ˈo_w	ˈa_w	1.0
ˈe_ɾ	e	1.0
ˈe_n	ˈɛ_n	1.0
ˈe_l	ˈe_l	1.0
ˈe_j	ˈa	1.0
ˈa_ɾ_#>	ˈe_#>	1.0
ʊ_#>	#>	1.0
ɾ_ʊ_#>	r_#>	1.0
ɾ_ɪ	e_r	1.0
ɾ_ɐ	r_a	1.0
ɾ_t	r_t	1.0
ɾ_n	r_n	1.0
ɾ_#>	#>	1.0
ɪ_#>	#>	1.0
ɣ_ʊ	ˈɛ_k	1.0
ɣ	ɡ	1.0
ɟ_ʊ	d_l	1.0
ɑ	ʥ_a	1.0
ɐ_s	e_s	1.0
ɐ_#>	#>	1.0
ɐ	a	1.0
ŋ_#>	n_#>	1.0
ð_ɐ	d_a	1.0
u	-	1.0
t	t	1.0
s_#>	#>	1.0
r	r	1.0
p	p	1.0
n	n	1.0
m_ɪ_#>	m_#>	1.0
m	m	1.0
k_ʊ_#>	k_#>	1.0
j_#>	#>	1.0
f	f	1.0
e_s	ʃ	1.0
d	d	1.0
a_β	a_v	1.0
<#_θ	<#_ʧ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_b	<#	1.0
<#_a	<#_a	1.0
<#	<#_ʒ	1.0
s	s	0.929
l	l	0.895
ˈɛ	ˈɛ	0.842
ˈi	ˈi	0.828
ŋ	ŋ	0.75
a	a	0.733
ˈu	ˈu	0.714
ˈa	ˈa	0.697
ʊ	r	0.667
ɡ	ɡ	0.667
ɟ	j	0.667
w	-	0.667
e	-	0.615
k	k	0.6
ʃ	ʒ	0.571
i	-	0.571
β	v	0.556
o	o	0.545
ɾ	r	0.512
ɲ	ɲ	0.5
ɲ	n	0.5
b	v	0.483
ð	t	0.462
o	-	0.455
b	b	0.448
β	-	0.444
ʧ	p_l	0.429
i	i	0.429
ˈe	ˈe	0.424
ˈo	ˈo	0.412
k	ʨ	0.4
ð	d	0.385
e	e	0.385
#>	e_#>	0.375
#>	a_#>	0.375
ˈɔ	ˈɔ	0.36
ˈɔ	w	0.36
ʊ	l	0.333
ɡ	k	0.333
ɟ	d_l	0.333
w	ˈɛ	0.333
j	-	0.333
θ	ʨ	0.286
θ	ʃ	0.286
ˈu	ˈo	0.286
ʧ	k_l	0.286
ʧ	f_l	0.286
ʃ	s	0.286
ˈɔ	ˈo	0.28
j	e	0.267
ŋ	n	0.25
#>	ˈe_#>	0.25
ˈe	ˈe_j	0.242
ˈa	ˈɛ	0.242
ˈe	j	0.212
j	ˈɛ	0.2
j	ˈe	0.2
ˈɛ	j_ˈɛ	0.158
ð	-	0.154
ˈo	ˈɔ	0.147
θ	ʦ	0.143
θ	ʒ	0.143
θ	-	0.143
ʃ	-	0.143
a	ˈa	0.133
a	e	0.133
ɾ	e	0.122
ˈe	ˈɛ	0.121
ˈo	ˈɔ_n	0.118
ˈo	w	0.118
l	-	0.105
ˈi	ˈe	0.103
ɾ	w_r	0.098
ˈo	w_ˈɛ	0.088
ɾ	-	0.073
s	z	0.071
ˈi	-	0.069
b	-	0.069
ˈa	-	0.061
ˈo	ˈo_w	0.059
ˈo	-	0.059
