Dutch	Dutch	probability
χ_ˈɪ	k_ˈɛ	1.0
χ_ə_n_#>	ˈiː_#>	1.0
χ_#>	#>	1.0
ˈʏ	ˈɛ	1.0
ˈɑu̯	-	1.0
ˈøː	ˈøː	1.0
ˈyː	ˈyː	1.0
ˈoː_ɾ	ˈɔa̯	1.0
ˈoː_v	ˈaʊ̯	1.0
ˈeː_n	ˈiː_n	1.0
ɾ_ˈʏ	r	1.0
ɾ_ə	ɐ	1.0
ɫ_ˈi	l	1.0
ɫ_d̥	lʲ	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ə_ɾ	ɐ	1.0
ə_ɫ	ə_l	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
w	-	1.0
v̥_#>	f_#>	1.0
v	f	1.0
t_ə	d	1.0
s_ɫ	s_l	1.0
p	p	1.0
n_t	n_t	1.0
n_d̥	nʲ	1.0
m	m	1.0
k_ə	ɡ_ə	1.0
j	j	1.0
i	aɪ̯	1.0
d_ˈɔ	tʰ_ˈœ	1.0
d_ə	ɾ	1.0
b	b	1.0
<#_χ	<#_ɡ	1.0
<#_ˈɑ	<#_ˈɔː	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_tʰ	1.0
<#_p	<#_pʰ	1.0
<#_n	<#_n	1.0
<#	<#_j	1.0
t	t	0.952
ɫ	l	0.946
z	s	0.889
ˈœy̯	ˈʏ	0.818
ʋ	v	0.806
s	s	0.769
n_d	n	0.667
d	d	0.667
k	k	0.654
ə	-	0.636
ˈɛi̯	ˈɪ	0.625
ˈaː	ˈɔː	0.524
d̥	ɾ	0.52
n	-	0.5
ˈɪ	ˈɪ	0.478
n	n	0.474
ɾ	ɐ	0.453
ˈɑ	ˈa	0.452
ˈi	ˈiː	0.438
ˈeː	ˈeː	0.421
χ	ç	0.419
ɾ	r	0.396
k	kʰ	0.346
n_d	nʲ	0.333
ˈɛ	ˈɛ	0.294
ˈɛ	-	0.294
χ	x	0.29
ˈɑ	-	0.29
ˈaː	-	0.286
ə	ə	0.273
ˈeː	-	0.263
ˈoː	-	0.259
ˈɛi̯	ˈiː	0.25
d̥	-	0.24
ˈɔ	ˈʏ	0.238
ˈɔ	ˈʊ	0.238
ˈɔ	ˈɔ	0.238
s	s_k	0.231
ˈoː	ˈɔa̯	0.222
d	tʰ	0.222
ˈɪ	ˈɛ	0.217
ˈi	ˈɛ	0.188
ˈoː	ˈuː	0.185
ˈoː	ˈoː	0.185
ˈœy̯	ˈyː	0.182
ˈɛ	ˈɔ	0.176
ˈu	ˈʊ	0.176
ˈu	ˈɔ	0.176
ˈu	-	0.176
ˈɪ	ˈʊ	0.174
d̥	t	0.16
ˈɔ	ˈœ	0.143
ˈɔ	-	0.143
ˈɪ	-	0.13
χ	-	0.129
ʋ	-	0.129
ˈɛi̯	ˈʏ	0.125
ˈi	ˈɪ	0.125
ˈi	ˈeː	0.125
ˈi	-	0.125
ˈɛ	ˈɛː	0.118
ˈɛ	ˈaɪ̯	0.118
ˈu	ˈɛ	0.118
ˈu	ˈøː	0.118
ˈu	ˈoː	0.118
ˈu	ˈeː	0.118
ˈeː	ˈɛ_ɾ	0.105
ˈeː	ˈɛ	0.105
ˈeː	ˈiː	0.105
χ	k	0.097
ˈaː	ˈiː	0.095
ˈaː	ˈeː	0.095
d̥	x_t	0.08
ˈoː	ˈʏ	0.074
ˈoː	ˈœ	0.074
z	ʃ	0.074
d	-	0.074
χ	ɪ_ç	0.065
ˈɑ	ˈʏ	0.065
ˈɑ	ˈʊ	0.065
ˈɑ	ˈœ	0.065
ˈɑ	ˈeː	0.065
ʋ	v_ˈʊ	0.065
ɾ	ɐ_x	0.057
ɾ	x	0.057
ɫ	ˈɛ_l	0.054
