Gothic	English	probability
a	-	0.619
a	ə	0.379
aː	-	1.0
b	b	0.913
b	tʰ	0.056
d	d	0.906
d	ɡ	0.094
e	-	1.0
f	f	0.808
f	v	0.192
h	h	0.556
h	-	0.213
h	ŋ	0.112
h	k	0.104
i	-	0.631
i	ˈuː	0.147
i	ɪ	0.123
i	ˈe	0.098
iː	-	0.946
iː	ə	0.054
j	-	0.546
j	j	0.364
j	ˈe	0.064
k	-	0.443
k	k	0.239
k	kʰ	0.194
k	ʧ	0.124
kʷ	kʰ	1.0
l	l	0.535
l	ɫ	0.465
lː	ɫ	1.0
m	m	0.895
m	-	0.105
n	n	0.81
n	-	0.19
nː	n	1.0
oː	ə	0.631
oː	-	0.369
p	p	1.0
r	ɹ	0.431
r	-	0.278
r	ə	0.272
s	s	0.595
s	-	0.316
s	ʃ	0.086
t	t	0.782
t	tʰ	0.147
t	d	0.063
u	-	0.649
u	ə	0.351
w	w	0.86
w	-	0.135
x	-	1.0
z	-	0.502
z	ʃ	0.498
ð	ð	0.739
ð	d	0.187
ð	-	0.074
ŋ	ŋ	0.768
ŋ	-	0.232
ɔː	-	1.0
ɡ	-	0.553
ɡ	ɡ	0.447
ɡʷ	-	1.0
ɡːʷ	-	1.0
ɣ	-	1.0
ʍ	w	0.945
ʍ	ˈiː	0.055
ˈa	ˈæ	0.216
ˈa	ˈɑː	0.186
ˈa	ˈeɪ̯	0.12
ˈa	ˈe	0.089
ˈa	ˈəʊ̯	0.075
ˈa	ˈɔː	0.065
ˈa	ˈɒ	0.064
ˈa	ˈuː	0.051
ˈeː	ˈɪ	0.442
ˈeː	ˈuː	0.18
ˈeː	ˈɐ	0.18
ˈeː	ˈe	0.1
ˈeː	ˈiː	0.097
ˈi	ˈɪ	0.435
ˈi	ˈaɪ̯	0.185
ˈi	ˈiː	0.112
ˈi	-	0.098
ˈi	ˈɐ	0.063
ˈiu̯	ˈiː	0.344
ˈiu̯	ˈaɪ̯	0.29
ˈiu̯	ˈɪ	0.175
ˈiu̯	-	0.141
ˈiː	ˈaɪ̯	0.618
ˈiː	ˈiː	0.214
ˈiː	ˈɪ	0.168
ˈoː	ˈuː	0.337
ˈoː	ˈɐ	0.218
ˈoː	ˈʊ	0.19
ˈoː	ˈaɪ̯	0.167
ˈoː	ˈiː	0.088
ˈu	ˈɐ	0.54
ˈu	ˈaʊ̯	0.153
ˈu	ˈʊ	0.088
ˈu	ˈuː	0.081
ˈu	ˈəʊ̯	0.073
ˈuː	ˈaʊ̯	0.56
ˈuː	ˈuː	0.336
ˈuː	ˈɐ	0.103
ˈɔ	ˈɜː	0.522
ˈɔ	ˈɔː	0.336
ˈɔ	ˈe	0.142
ˈɔː	ˈiː	0.261
ˈɔː	ˈɔː	0.226
ˈɔː	ˈaɪ̯	0.167
ˈɔː	ˈɪ	0.111
ˈɔː	ˈe	0.1
ˈɔː	j	0.07
ˈɔː	ˈɐ	0.065
ˈɛ	ˈɑː	0.439
ˈɛ	ˈæ	0.16
ˈɛ	ˈɜː	0.121
ˈɛ	ˈɛ	0.1
ˈɛ	ˈɪ	0.097
ˈɛː	ˈəʊ̯	0.66
ˈɛː	ˈe	0.105
ˈɛː	ˈɐ	0.075
ˈɛː	ɪ	0.075
β	v	0.837
β	f	0.101
β	-	0.062
θ	d	0.432
θ	θ	0.425
θ	ð	0.143
