Franco-Provençal	Occitan	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_w	<#_ɥ	1.0
<#_ð	<#_ʤ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʁ	<#_r	1.0
<#_ʃ	<#_k	1.0
<#_ʒ	<#_ʤ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈɑː	<#_ˈa	1.0
a_#>	ɔ_#>	1.0
b	β	1.0
d	ð	1.0
d_ʁ_ə	d_ɾ	1.0
e	e	1.0
f_#>	w_#>	1.0
i	i	1.0
i_#>	ɔ	1.0
j_ˈe	ˈɛ	1.0
j_ˈe_#>	ˈa_#>	1.0
j_ˈø	j_ˈɛ	1.0
k	k	1.0
k_#>	k_#>	1.0
l_#>	l_#>	1.0
m	m	1.0
p	p	1.0
s_#>	s_#>	1.0
s_ə	s	1.0
t_ʁ	t_ɾ	1.0
u	u	1.0
w_ˈa	ɥ_ˈɔ	1.0
w_ˈe	ˈa_w	1.0
w_ˈɛː	ˈu	1.0
z	z	1.0
ð_o	ʤ_e	1.0
ɔ	u	1.0
ə	e	1.0
ə_n	e_n	1.0
ə_v	a_β	1.0
ɛ	e	1.0
ɲ	ɲ	1.0
ʁ_ə	e	1.0
ʃ_#>	ʦ_#>	1.0
ʎ_#>	l_#>	1.0
ˈa	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ˈa_j	ˈa	1.0
ˈa_n	ˈa_n	1.0
ˈaː	ˈa	1.0
ˈaː_ð	ˈa_j	1.0
ˈe_#>	#>	1.0
ˈe_n	ˈi_n	1.0
ˈe_v	β	1.0
ˈi_#>	ˈi_#>	1.0
ˈĩ	ˈi	1.0
ˈĩ_#>	ˈi_#>	1.0
ˈo	ˈu	1.0
ˈɑː	ˈa	1.0
ˈɑ̃	ˈa	1.0
ˈɑ̃_#>	ˈa_#>	1.0
ˈɔ	ˈu	1.0
ˈɔ_n	ˈu_n	1.0
ˈɔ̃_#>	ˈu_#>	1.0
ˈɛ_t	ˈe_k	1.0
#>	n_#>	0.071
o_#>	i_#>	0.231
w	-	0.1
ˈe	-	0.1
ˈu	ˈɔ	0.231
ˈɛ̃_#>	ˈɛ_n	0.571
#>	ʧ_#>	0.082
#>	ɔ_#>	0.082
j	i	0.2
t	s_t	0.312
w	ˈy	0.2
ˈoː	ˈu	0.2
ˈɛ	-	0.2
<#	<#_a	0.3
a	a	0.733
o	u	0.583
s	-	0.333
ð	r	0.133
ð	ʤ	0.133
ð	ɾ	0.733
ʁ	ɾ	0.543
ʁ_#>	#>	0.733
ʃ	s	0.333
ʎ	l	0.3
ˈe	ˈa	0.133
ˈe	ˈɛ	0.533
ˈoː	ˈɔ_s	0.133
ˈoː	ˈa_l	0.133
ˈoː	w	0.133
ˈø	ˈɔ	0.333
ˈɛ	ˈɛ	0.533
ˈɛː	ˈɛ	0.143
n	-	0.364
ɡ	ŋ_ɡ	0.4
ˈoː	ˈɔ	0.4
ˈɛː	ˈe	0.524
ˈɛ̃	-	0.4
#>	s_#>	0.165
o	-	0.25
t	-	0.125
t	t	0.375
v	ɣ	0.25
v	β	0.75
w	ˈɔ	0.15
w	ˈe	0.15
w	ɥ	0.15
w	ˈu	0.25
ə_#>	ɾ_e	0.235
ə_#>	ɔ	0.765
ʁ	-	0.065
ˈi	ˈe	0.125
ˈi	j_ˈɛ	0.125
ˈi	ˈɛ	0.125
ˈi	ˈi	0.625
ˈu	ˈy	0.385
ˈu	ˈu	0.385
ˈɔ̃	ˈy	0.5
ˈɔ̃	ˈu_n	0.5
ˈɛː	ˈa	0.095
#>	k_#>	0.106
#>	t_#>	0.176
l	l	0.826
n	n	0.636
ɡ	ɣ	0.6
ˈɛ̃	ˈe	0.6
<#	<#_ˈa	0.7
a	-	0.267
l	-	0.087
l	lː	0.087
o	w	0.167
s	s	0.667
ʁ_#>	r_#>	0.267
ʃ	k	0.667
ʎ	ʎ	0.7
ˈe	j	0.067
ˈe	ˈi	0.167
ˈø	ˈu	0.667
ˈɛ	ˈe	0.267
#>	e_#>	0.118
j	-	0.8
t	n_t	0.188
ʁ	r	0.348
ˈɛː	ˈe_j	0.238
#>	ˈa_#>	0.059
o_#>	e_#>	0.769
ˈɛ̃_#>	ɲ_#>	0.429
