Danish	East Low German	probability
ˈʌˀ	ˈaʊ̯	1.0
ˈɛː	ˈɛː	1.0
ˈɔː	ˈɒː	1.0
ˈɔ	ˈʊ	1.0
ˈøː	ˈɔʏ̯	1.0
ˈø	ˈʏ	1.0
ˈyː	ˈae̯	1.0
ˈuː	ˈuː	1.0
ˈuˀ	ˈuː	1.0
ˈo	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈeˀ	ˈae̯	1.0
ʌ	æ	1.0
ʋ_#>	f_#>	1.0
ʁ	r	1.0
ɐˀ	æ	1.0
ɐ	æ	1.0
ŋˀ	ŋ	1.0
ŋ_ə	ŋ	1.0
ð̞ˠ_ə	t	1.0
w_ə	b_m	1.0
w_#>	f_#>	1.0
t_#>	#>	1.0
t	t	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
p	p	1.0
mˀ	m	1.0
m	m	1.0
lˀ	l	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ˈɛ	h	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
b̥_#>	p_#>	1.0
<#_ˈʌ	<#_ˈʊ	1.0
<#_n	<#_n	1.0
<#	v_<#	1.0
n	n	0.938
b̥	b	0.905
ˈe	ˈɪ	0.867
ð̞ˠ	t	0.818
ʋ	v	0.812
ˈoˀ	ˈaʊ̯	0.778
ˈɔˀ	ˈɒː	0.714
ˈiˀ	ˈiː	0.7
ˈa	ˈa	0.7
ʦʰ	d	0.65
ə	-	0.583
ɡ̊	ɡ	0.562
ˈɑ	ˈa	0.556
ˈɑˀ	ˈaː	0.5
ˈɑˀ	-	0.5
ˈœˀ	ˈaʊ̯	0.5
ˈœ	ˈʏ	0.5
w	ŋ	0.5
w	k	0.5
s	z	0.5
nˀ	n_d	0.5
nˀ	n	0.5
ˈu	ˈʊ	0.429
ˈɛ	ˈa	0.417
ə	n	0.375
ʦʰ	tʰ	0.35
ˈʌ	ˈaʊ̯	0.333
ˈyˀ	ˈyː	0.333
ˈyˀ	ˈiː	0.333
ˈyˀ	ˈae̯	0.333
s	ʃ	0.333
j	k	0.333
#>	ç_#>	0.308
ˈiˀ	ˈɪ	0.3
ˈa	ˈaː	0.3
ˈɔˀ	ˈaʊ̯	0.286
ˈu	ˈɔ	0.286
ˈu	v_ˈʊ	0.286
j	x	0.267
ˈɛ	-	0.25
ˈœˀ	ˈɔʏ̯	0.25
ˈœˀ	ˈoː	0.25
ˈœ	ˈɔʏ̯	0.25
ˈœ	ˈɔ	0.25
ɡ̊	j	0.25
ˈʌ	ˈɔ	0.222
ˈʌ	ˈɒː	0.222
ˈʌ	-	0.222
ˈɑ	ˈʏ	0.222
ˈɑ	-	0.222
ˈoˀ	ˈœː	0.222
#>	n_#>	0.205
ʋ	w	0.188
ɡ̊	ç	0.188
ð̞ˠ	d	0.182
ˈɛ	ˈɪ	0.167
ˈɛ	ˈɔ	0.167
s	s	0.167
#>	d_#>	0.154
ˈe	ˈɛ	0.133
j	ˈɪ	0.133
j	ˈɛ	0.133
j	-	0.133
#>	k_#>	0.103
#>	f_#>	0.103
b̥	p	0.095
#>	t_#>	0.077
n	-	0.062
#>	s_#>	0.051
