Bokmål Norwegian	West Frisian	probability
b	b	1.0
d	d	0.649
d	t	0.278
d	-	0.073
f	f	0.968
h	h	1.0
i	ɪ	0.666
i	ə	0.334
j	ɡ	0.207
j	h	0.181
j	-	0.166
j	j	0.129
j	k	0.108
j	ˈiə̯	0.106
j	χ	0.069
k	k	0.903
k	-	0.071
kʰ	k	1.0
kː	k	1.0
l	l	0.995
lː	l	0.72
lː	t	0.171
lː	r	0.109
m	m	0.944
m	f	0.056
mː	m	1.0
n	n	0.961
nː	n	0.961
p	p	1.0
pʰ	p	1.0
pː	p	1.0
s	s	0.876
s	ɕ	0.066
sː	s	1.0
t	t	0.981
tʰ	t	0.402
tʰ	d	0.32
tʰ	ʦ	0.163
tʰ	b	0.115
tː	t	0.537
tː	χ	0.463
ŋ	ŋ	0.485
ŋ	ɪ	0.439
ŋ	-	0.076
ŋː	ŋ	1.0
ɕ	ʦ	0.972
ə	ə	0.9
ə	-	0.074
ɡ	ɡ	0.559
ɡ	-	0.215
ɡ	ɣ	0.089
ɡ	j	0.07
ɡ	χ	0.068
ɡː	χ	0.467
ɡː	ɣ	0.421
ɡː	j	0.111
ɪ	ɪ	0.888
ɪ	ə	0.112
ɳ	n	0.824
ɳ	r	0.176
ɾ	r	0.79
ɾ	-	0.159
ʂ	s	1.0
ʃ	s	1.0
ʈ	t	1.0
ʈː	t	1.0
ʋ	v	0.477
ʋ	ʋ	0.273
ʋ	-	0.121
ʋ	ˈɪə̯	0.067
ʋ	f	0.063
ˈeː	ˈɪ	0.381
ˈeː	ˈeː	0.164
ˈeː	ˈɛ	0.134
ˈeː	ˈɪə̯	0.132
ˈeː	ˈi	0.08
ˈeː	ˈoə̯	0.073
ˈiː	ˈi	0.337
ˈiː	ˈɪ	0.214
ˈiː	ˈiː	0.125
ˈiː	j	0.116
ˈiː	ˈaː	0.085
ˈiː	ˈɔu̯	0.084
ˈoː	ˈiə̯	0.497
ˈoː	ˈoə̯	0.169
ˈoː	ˈɪə̯	0.151
ˈoː	ˈaː	0.082
ˈoː	ˈuə̯	0.078
ˈuː	ˈoə̯	0.371
ˈuː	ˈuə̯	0.338
ˈuː	ə	0.132
ˈuː	ˈoː	0.11
ˈyː	j	0.653
ˈyː	ˈiə̯	0.207
ˈyː	ˈiː	0.07
ˈyː	ˈɪə̯	0.07
ˈæ	ˈɪ	0.889
ˈæ	ˈɛ	0.111
ˈæɪ̯	ˈɛi̯	0.394
ˈæɪ̯	ˈiə̯	0.339
ˈæɪ̯	ˈi	0.144
ˈæɪ̯	ˈiː	0.123
ˈæː	j	0.556
ˈæː	ˈaː	0.28
ˈæː	ˈɛ	0.088
ˈæː	-	0.076
ˈøː	ˈɪə̯	0.58
ˈøː	ˈiə̯	0.19
ˈøː	ˈeː	0.124
ˈœ	ˈɪ	0.227
ˈœ	ˈiə̯	0.172
ˈœ	ˈoə̯	0.17
ˈœ	ˈɪə̯	0.17
ˈœ	-	0.098
ˈœ	ˈɔ	0.065
ˈœ	ˈɵ	0.065
ˈœʏ̯	ˈɪə̯	1.0
ˈɑ	ˈa	0.273
ˈɑ	ˈɔː	0.254
ˈɑ	ˈaː	0.147
ˈɑ	ˈɪə̯	0.101
ˈɑ	ˈɛ	0.086
ˈɑ	ˈiː	0.063
ˈɑː	ˈɛː	0.386
ˈɑː	ˈaː	0.273
ˈɑː	ˈa	0.241
ˈɔ	ˈoə̯	0.333
ˈɔ	ˈɔ	0.303
ˈɔ	ˈa	0.128
ˈɔ	ˈuː	0.128
ˈɔ	ˈyː	0.075
ˈɛ	ˈɪ	0.223
ˈɛ	ˈɛ	0.144
ˈɛ	-	0.134
ˈɛ	ˈa	0.111
ˈɛ	ˈaː	0.095
ˈɛ	ˈɛː	0.078
ˈɛ	ˈiː	0.077
ˈɛ	ˈøə̯	0.055
ˈɛː	ˈø	1.0
ˈɪ	ˈɪ	0.592
ˈɪ	ˈi	0.165
ˈɪ	ˈiː	0.12
ˈɪ	ˈɛ	0.076
ˈʉ	ˈu	0.321
ˈʉ	ˈuː	0.251
ˈʉ	ˈɔ	0.225
ˈʉ	j_ˈɔ	0.133
ˈʉ	ˈɪ	0.054
ˈʉː	ˈuː	0.286
ˈʉː	ˈoː	0.139
ˈʉː	-	0.115
ˈʉː	ˈuə̯	0.115
ˈʉː	ˈu	0.064
ˈʉː	ˈɔ	0.064
ˈʉː	ˈyː	0.062
ˈʉː	ˈɔː	0.06
ˈʉː	ˈiə̯	0.051
ˈʊ	ˈeː	0.401
ˈʊ	ˈy	0.401
ˈʊ	ʋ	0.198
ˈʏ	ˈɔ	0.301
ˈʏ	ˈɪ	0.26
ˈʏ	ˈɛː	0.22
ˈʏ	ˈyː	0.1
ˈʏ	ˈy	0.069
