Eastern Lombard	Emilian	probability
b	b	1.0
l	l	1.0
p	p	1.0
u	u	1.0
w	w	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʋ	v	1.0
a	-	0.061
d	d	0.971
k	ɡ	0.1
ˈa	ˈɛ_r	0.161
ˈe	ˈɛː	0.131
ˈe	ˈe	0.231
ˈo	ˈo	0.101
ˈo	ˈʌ	0.141
ˈu	ˈʌu̯_v	0.131
ˈy	ˈuː	0.771
ˈø	ˈɔ	0.071
ˈɔ	ˈo	0.401
f	v	0.142
f	f	0.842
ʤ	ʧ	0.332
ˈɔ	ˈɔ	0.462
ˈɛ	ˈæ	0.062
e	-	0.193
n	ŋ	0.253
o	u	0.493
ʤ	ʤ	0.073
ˈa	ˈa	0.153
ˈi	ˈa_j	0.103
ˈi	ˈiː	0.163
ˈø	ˈuː	0.23
ˈø	ˈo	0.353
e	i	0.054
j	-	0.064
s	θ	0.284
z	ð	0.594
ˈa	ˈa_ŋ	0.054
ˈu	ˈʌu̯	0.454
i	-	0.465
i	i	0.535
s	z	0.065
ʤ	ð	0.595
ʧ	t	0.175
ʧ	ʧ	0.825
ˈa	r_#>	0.165
j	j	0.936
t	d	0.06
ˈi	ˈe	0.246
ˈu	ˈɔː	0.166
ˈø	ˈɔː	0.346
ˈɛ	ˈaː	0.06
e	a	0.07
m	m	0.987
o	-	0.507
r	r	0.957
s	s	0.567
z	z	0.377
ˈi	e_r	0.127
ˈɔ	ˈɔː	0.137
ˈɛ	ˈɛ	0.457
e	e	0.648
n	n	0.728
ˈa	ˈɛ	0.158
ˈe	ˈiː	0.18
ˈe	ˈæ_ŋ	0.278
ˈi	ˈe_ŋ	0.258
ˈo	ˈɔː	0.688
ˈu	ˈʌ_ŋ	0.248
a	a	0.939
k	k	0.9
t	t	0.919
ˈa	ˈaː	0.239
ˈe	ˈa	0.129
ˈo	ˈɛ	0.069
ˈy	ˈo	0.229
ˈɛ	ˈa	0.39
