Saterland Frisian	Swiss German	probability
ˈœː	ˈøː	1.0
ˈøː	ˈuː	1.0
ˈyː	ˈy	1.0
ˈu	-	1.0
ˈoːu̯_n	ˈɒ_ŋ	1.0
ˈoːu̯_d	ˈo	1.0
ˈiːu̯	ˈæ	1.0
ˈiː_n	ˈi_n	1.0
ˈeːu̯	ˈæː	1.0
ˈeː_n	ˈæi̯	1.0
ˈaːu̯	-	1.0
ˈaːi̯	-	1.0
ɣ	ɡ̊	1.0
ə_l	l_ə	1.0
x_t	χ_t	1.0
w	-	1.0
v_ə	b̥_ə	1.0
s_t	ʃ_t	1.0
m	m	1.0
j_ˈʊ	ˈi	1.0
j_ˈuː	ˈyː	1.0
j_ə	ə	1.0
i	æ	1.0
h	h	1.0
r	r	0.972
l	l	0.915
b	b̥	0.913
f	v̥	0.911
ˈi	ˈiː	0.801
ə	ə	0.784
ˈɛː	-	0.782
ŋ	ŋ	0.753
ˈʊ	ˈu	0.748
v	ʋ	0.74
n	n	0.74
ˈɪ	ˈi	0.713
s_k	ʒ̊	0.694
j_ˈoː	ˈyː	0.632
ɪ	i	0.6
j	-	0.565
x	χː	0.523
s	z̥	0.513
z	z̥	0.5
z	s	0.5
d	t	0.478
x	ɡ̊ː	0.477
p	f	0.458
ˈa	ˈæ	0.453
ˈoːu̯	ˈuə̯	0.442
j	j	0.435
ˈɔ	-	0.406
ˈuː	ˈuː	0.403
ˈɛ	ˈɒː	0.4
ɪ	-	0.4
ˈiː	ˈɒː	0.396
d	d̥	0.396
t	ʦ	0.393
ˈɛɪ̯	-	0.379
ˈaː	ˈɒ	0.378
ˈɔː	ˈɒ	0.371
ˈaː	ˈæi̯	0.37
j_ˈoː	ˈiə̯	0.368
ˈeː	ˈæi̯	0.351
t	sː	0.349
k	χː	0.328
ˈɔː	ˈæ	0.316
s_k	ʃː	0.306
ˈɛɪ̯	ˈyə̯	0.301
ˈɔ	ˈɒ	0.301
p	fː	0.301
ˈɛ	ˈæ	0.3
ˈɛ	-	0.3
ˈeː	ˈøː	0.298
ˈa	-	0.298
k	k͡χ	0.294
ˈɔ	ˈo	0.293
s	ʒ̊	0.277
n	-	0.26
ˈoːu̯	ˈo	0.252
ˈaː	-	0.252
ˈa	ˈɒ	0.249
ˈoː	ˈoː	0.248
ˈoː	ˈau̯	0.248
ŋ	ŋ_ɡ̊	0.247
p	p͡f	0.242
ˈuː	-	0.241
k	χ	0.232
ˈɔː	ˈu	0.225
ˈɛː	ˈy	0.218
ˈiː	ˈæ	0.215
ˈoː	ˈɒ	0.214
ˈuː	ˈu	0.21
ˈoː	ˈeː	0.202
ˈeː	ˈeː	0.2
ˈi	-	0.199
ˈiː	ˈiː	0.195
ˈiː	-	0.195
ˈʊ	-	0.175
ˈɛɪ̯	ˈæi̯	0.174
t	t	0.172
ˈoːu̯	ˈɒ	0.153
ˈoːu̯	ˈoː	0.153
ˈeː	-	0.15
v	-	0.148
ˈɛɪ̯	ˈɒː	0.146
ˈuː	ˈo	0.146
k	-	0.146
ˈɪ	ˈy	0.144
ˈɪ	-	0.144
v	ʋ_ˈæ	0.111
f	-	0.089
ˈɔː	-	0.088
ˈoː	ˈɒː	0.088
b	-	0.087
ə	i	0.086
t	r_ʦ	0.086
ə	-	0.082
s	s	0.08
ˈʊ	ˈo	0.077
d	-	0.077
s	ɣ̊	0.076
s	ʃ	0.054
