Latin	Latin	probability
ˈɛ_t	j_ˈɛ	1.0
ˈɛ_k	ˈi	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈɔ_k	ˈy_j	1.0
ˈyː	ˈi	1.0
ˈu	-	1.0
ˈoe̯	ˈẽ_j	1.0
ˈo	w	1.0
ˈiː_r	ˈi_r	1.0
ˈiː_k	ˈi	1.0
ˈi	ˈi	1.0
ˈe	ˈɛ	1.0
ˈau̯_s	ˈo	1.0
ˈau̯	ˈɔ	1.0
ˈae̯	j	1.0
ˈa_ɫ	ˈa_w	1.0
ˈa_p	ˈa	1.0
ʊ̃ː_#>	#>	1.0
ʊ_s_#>	ʦ_#>	1.0
ɫ	l	1.0
ɪ_m	m	1.0
ɪ_k	ə	1.0
ɡʷ	-	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃ː	ə	1.0
ɛ̃	-	1.0
ɛ_r	r	1.0
ɛ_n	ə_n	1.0
ɛ_#>	#>	1.0
ŋ_k	j_n	1.0
uː	-	1.0
u	r	1.0
tː	t	1.0
tʰ	p_ˈe	1.0
t_ɛ̃ː	θ	1.0
sː	s	1.0
rː	r	1.0
r_ˈiː	r	1.0
r_ɛ	j_r	1.0
r_n	r	1.0
p_ɛ	v	1.0
oː_#>	#>	1.0
o	-	1.0
nː	-	1.0
n_ɛ	n_d	1.0
n_t	n_ʦ	1.0
n_ãː	ə	1.0
mː	m	1.0
m_ɛ̃ː_#>	m_#>	1.0
lʲː_ʊ̃ː_#>	l_#>	1.0
lʲː	l	1.0
lʲ_i	ʎ	1.0
lʲ	l	1.0
kː	ʧ	1.0
kʰ	f	1.0
k_ˈɔ	k_ˈɔ	1.0
k_ˈa	ʧ_ˈã	1.0
k_ɛ̃ː	j_s	1.0
k_t	j_t	1.0
k_i	ʦ	1.0
j	ʤ	1.0
i_ãː	ə	1.0
fː	f	1.0
f	f	1.0
eː	-	1.0
e	-	1.0
d_ʊ̃ː	t	1.0
d_ɛ̃ː	t	1.0
d_i	j	1.0
b_ɛ	v	1.0
b_ãː	b_ə	1.0
ãː_#>	#>	1.0
ãː	ə	1.0
aː_t	ə	1.0
au̯	e	1.0
ae̯	e	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈã	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_ʦ	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
r	r	0.949
s	s	0.947
m	m	0.941
ɛ	ə	0.857
b	b	0.818
n	n	0.784
p	p	0.76
iː	i	0.75
<#	<#_e	0.75
w	v	0.7
ˈuː	ˈy	0.688
ʊ_ɫ	ʎ	0.667
ŋ	ŋ	0.636
t	t	0.622
ʊ̃ː	ə	0.583
oː	-	0.556
kʷ	k	0.556
ˈoː	ˈũ	0.533
ɪ	-	0.529
ˈɛ	ˈɛ	0.526
a	a	0.524
ˈiː	ˈĩ	0.5
ˈiː	ˈi	0.5
t_ãː	ə	0.5
t_ãː	t_ə	0.5
n_ʊ̃ː	n	0.5
n_ʊ̃ː	j_n	0.5
k_ʊ̃ː_#>	j_#>	0.5
k_ʊ̃ː_#>	#>	0.5
i	j	0.5
i	-	0.5
ˈa	ˈa	0.472
ˈʊ	ˈu	0.471
ˈoː	ˈu	0.467
oː	u	0.444
kʷ	-	0.444
ˈaː	ˈe	0.441
ˈeː	ˈɔ	0.429
d	ʤ	0.417
d	-	0.417
ɔ	u	0.4
ɔ	-	0.4
ʊ	u	0.375
ʊ	-	0.375
ɡ	ɡ	0.36
ˈeː	ˈɔ_j	0.357
ʊ_ɫ	l	0.333
aː	ə	0.333
aː	w	0.333
aː	a	0.333
k	k	0.314
ˈuː	ˈỹ	0.312
ˈɔ	ˈũ	0.304
ˈʊ	ˈũ	0.294
t	-	0.267
ˈɛ	ˈẽ	0.263
k	ʧ	0.255
ˈɪ	ˈɛ	0.25
ˈɪ	ˈe	0.25
ˈa	ˈã	0.25
ʊ̃ː	n	0.25
ʊ	y	0.25
iː	ĩ	0.25
<#	<#_ʦ	0.25
ɡ	ʤ	0.24
a	ə	0.238
ˈʊ	ˈy	0.235
ɪ	ə	0.235
ɪ	j	0.235
ˈa	ˈɛ	0.222
ˈɔ	ˈɔ	0.217
ˈeː	-	0.214
ɡ	j	0.2
ɡ	-	0.2
ɔ	ũ	0.2
ˈɪ	ˈɔ_j	0.188
ˈɪ	ˈẽ	0.188
ŋ	j	0.182
ŋ	-	0.182
ʊ̃ː	l	0.167
w	ˈɛ_f	0.167
d	d	0.167
p	-	0.16
ˈaː	ˈã_j	0.147
ˈaː	ˈã	0.147
ˈaː	ˈa	0.147
ɛ	-	0.143
a	ã	0.143
n	ɲ	0.137
w	-	0.133
ˈɛ	ˈi	0.132
ˈɔ	ˈɛ	0.13
ˈɔ	w_ˈɛ	0.13
ˈɔ	w	0.13
ˈɪ	ˈɔ	0.125
k	-	0.118
a	ɔ	0.095
b	v	0.091
b	-	0.091
ˈɔ	ˈu	0.087
p	v	0.08
ˈɛ	j_ˈɛ	0.079
n	-	0.078
k	ʧ_j	0.078
t	ʦ	0.067
ˈaː	j	0.059
ˈaː	-	0.059
m	-	0.059
k	ʦ	0.059
k	ɡ	0.059
ˈa	-	0.056
s	-	0.053
