Kashubian	Polish	probability
ˈɛ_s	ˈɛ_ɕ	1.0
ˈɛ	ˈɛ	1.0
ˈə	ˈɨ	1.0
ˈɔ	ˈɔ	1.0
ˈu	ˈu	1.0
ˈõ	ˈɔ	1.0
ˈi	ˈi	1.0
ˈe	ˈɛ	1.0
ˈa_ŋ	ˈɛ_w̃	1.0
ˈa_t	ˈa_t	1.0
ˈa_#>	ˈa_#>	1.0
ʦ	ʦ	1.0
ʤ	ɡ	1.0
ʣ	ʥ	1.0
ʐ_ˈe	ʐ_ˈɛ	1.0
ʃ	ʂ	1.0
ɲ_#>	ɲ_#>	1.0
ɡ	ɡ	1.0
ɛ_#>	ɛ_#>	1.0
ɛ	ɛ	1.0
ɔ_#>	ɔ_#>	1.0
x	x	1.0
w_ˈɔ	w_ˈɔ	1.0
w	w	1.0
v	v	1.0
u̯ˈɛ_ʐ	ˈɔ_ʐ	1.0
u̯ɛ_#>	ɔ_#>	1.0
t_#>	t_#>	1.0
t	t	1.0
s_#>	s_#>	1.0
r	r	1.0
p_#>	p_#>	1.0
p	p	1.0
m_ə	ɛ_m	1.0
m	m	1.0
l_ˈe	l_ˈɛ	1.0
l_#>	l_#>	1.0
l	l	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɞ	j_ˈa	1.0
j	j	1.0
f_#>	f_#>	1.0
f	f	1.0
e	ɛ	1.0
d	d	1.0
b	b	1.0
a_ŋ	ɛ_ɲ	1.0
a_#>	a_#>	1.0
<#_ʧ	<#_ʈ͡ʂ	1.0
<#_ʦ	<#_ʨ	1.0
<#_ʣ	<#_ʥ	1.0
<#_ʒ	<#_ʐ	1.0
<#_ʃ	<#_ʂ	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_ʑ	1.0
<#_x	<#_x	1.0
<#_w_ˈʉ	<#_ˈu	1.0
<#_v	<#_v	1.0
<#_u̯ˈɛ	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
ʦ_#>	ʨ_#>	0.857
n	n	0.8
i_#>	ɨ_#>	0.75
ˈɞ	ˈa	0.714
z	z	0.714
u̯ˈɛ	ˈɔ	0.667
<#_s	<#_s	0.625
ˈa	ˈa	0.6
ʧ	ʈ͡ʂ	0.6
s	s	0.571
s	ɕ	0.429
ʧ	k	0.4
<#_s	<#_ɕ	0.375
u̯ˈɛ	ɔ	0.333
ˈɞ	ˈɛ	0.286
z	ʑ_ˈɔ	0.286
i_#>	i_#>	0.25
ˈa	ˈɛ	0.2
ˈa	-	0.2
n	ɛ	0.2
ʦ_#>	ʦ_#>	0.143
