West Frisian	Afrikaans	probability
b	b	0.936
b	-	0.063
d	d	0.947
d	-	0.059
d_ə	t	1.0
f	f	0.938
f	v	0.059
f_j	f	0.138
h	ɦ	0.948
h	-	0.057
j	-	0.665
j	j	0.106
j	t	0.068
j	ˈɪə̯	0.067
j	ˈʊə̯	0.058
j	ˈəɪ̯	0.057
j_ˈuə̯	ˈyː	1.0
j_ˈɔ	ˈə	1.0
j_ˈɪ	ˈi	0.517
k	k	0.706
k	-	0.291
k_ə	k	1.0
l	ɫ	0.951
l_j	ɫ	1.0
m	m	1.0
m_ə	m	1.0
n	n	0.884
n	-	0.059
n	ŋ	0.054
p	p	1.0
r	r	1.0
s	s	0.976
t	t	0.693
t	-	0.178
t	d	0.081
v	w	0.416
v	v	0.403
v	-	0.168
v_ə	f	1.0
z	s	0.803
z	-	0.13
ŋ	ŋ	0.916
ŋ	n	0.084
ɕ	s	1.0
ə	-	0.677
ə	ə	0.321
ə_n	ə	1.0
ɡ	χ	1.0
ɣ	χ	0.826
ɣ	-	0.149
ɪ	ə	1.0
ʋ	v	1.0
ʦ	k	0.484
ʦ	d	0.422
ʦ	t	0.073
ˈa	ˈa	0.641
ˈa	ˈɑː	0.12
ˈa	ˈa_r	0.105
ˈa	ˈɛ	0.069
ˈa	ˈɛː	0.059
ˈaː	ˈɑː	0.394
ˈaː	ˈɪə̯	0.286
ˈaː	ˈa	0.23
ˈaː	ˈʊə̯	0.071
ˈeː	ˈʊə̯	0.536
ˈeː	ˈɪə̯	0.354
ˈeː	ˈi	0.076
ˈi	ˈəɪ̯	0.473
ˈi	ˈə	0.35
ˈi	ˈɪə̯	0.158
ˈiə̯	ˈɑː	0.338
ˈiə̯	ˈi	0.247
ˈiə̯	ˈu	0.167
ˈiə̯	ˈɪə̯	0.163
ˈiə̯	ˈəɪ̯	0.056
ˈiː	ˈəɪ̯	0.561
ˈiː	ˈa	0.109
ˈiː	ˈœi̯	0.109
ˈiː	ˈɑː	0.109
ˈiː	ˈə	0.109
ˈoə̯	ˈʊə̯_r	0.309
ˈoə̯	ˈɪø̯	0.211
ˈoə̯	ˈɔ	0.156
ˈoə̯	ˈɔː	0.121
ˈoə̯	ˈʊə̯	0.095
ˈoə̯	ˈɑː	0.07
ˈoː	ˈɔ	0.392
ˈoː	ˈuːi̯	0.202
ˈu	ˈʊə̯	0.333
ˈu	ˈɔ	0.227
ˈuə̯	ˈu	0.584
ˈuə̯	ˈuː	0.148
ˈuə̯	ˈʊə̯	0.144
ˈuə̯	ˈa	0.086
ˈuː	ˈœɪ̯	0.442
ˈuː	ˈʊə̯	0.256
ˈuː	ˈɔ	0.152
ˈuː	-	0.129
ˈy	ˈɪø̯	1.0
ˈyː	ˈœɪ̯	0.683
ˈyː	ˈɔ	0.233
ˈø	ˈɑː	0.594
ˈø	ˈœ	0.392
ˈøə̯	ˈi	1.0
ˈɔ	ˈɔ	0.615
ˈɔ	ˈə	0.165
ˈɔ	ˈɛ	0.082
ˈɔ	-	0.07
ˈɔ	w	0.07
ˈɔu̯	ˈœu̯	0.758
ˈɔu̯	ˈi	0.105
ˈɔː	ˈa	0.538
ˈɔː	ˈœu̯	0.432
ˈɛ	ˈɛ	0.266
ˈɛ	ˈi	0.202
ˈɛ	ˈæː	0.176
ˈɛ	ˈæ	0.102
ˈɛ	ˈʊə̯	0.102
ˈɛ	ˈɑː	0.075
ˈɛ	ˈɪə̯	0.06
ˈɛ_j	ˈəɪ̯	0.517
ˈɛi̯	ˈɛ	0.285
ˈɛi̯	ˈa	0.163
ˈɛi̯	ˈɪ	0.163
ˈɛi̯	ˈɪə̯	0.163
ˈɛi̯	ˈɔː	0.117
ˈɛi̯	ˈəɪ̯	0.083
ˈɛː	ˈa	0.384
ˈɛː	ˈœ	0.253
ˈɛː	ˈɑː	0.253
ˈɛː	ˈəɪ̯	0.076
ˈɪ	ˈə	0.401
ˈɪ	ˈɛ	0.212
ˈɪ	ˈœ	0.081
ˈɪə̯	ˈʊə̯	0.396
ˈɪə̯	ˈɪə̯	0.162
ˈɪə̯	ˈʊə̯_t	0.12
ˈɪə̯	ˈa	0.104
ˈɪə̯	ˈi	0.089
ˈɪə̯	ˈɑː	0.069
ˈɪə̯	ˈoːi̯	0.051
ˈɵ	ˈu	0.267
χ	χ	0.875
χ	-	0.069
χ	ŋ	0.061
