Proto-Germanic	Icelandic	probability
a	ʏ	1.0
b	b̥	1.0
d	d̥	0.929
d	θ	0.071
e	ɪ	0.768
e	-	0.206
i	-	0.708
i	ʏ	0.102
i	ɪ	0.098
i	r	0.06
iː	i	0.809
iː	-	0.191
j	-	0.843
j	j	0.136
jː	ɡ̊ː	1.0
k	k	0.379
k	c	0.239
k	cʰ	0.17
k	kʰ	0.123
kʷ	kʰ	0.664
kʷ	c	0.336
kː	ʰc	0.821
kː	ʰk	0.179
l	l	0.715
l	l̥	0.255
lː	t_l̥	1.0
m	m	0.942
n	-	0.427
n	n	0.392
n	t_n̥	0.065
n	n̥	0.059
nː	nː	0.911
nː	ð	0.089
p	p	0.705
p	ʰp	0.213
p	v	0.082
pː	ʰp	0.786
pː	v	0.214
r	r	0.639
r	r̥	0.248
r	-	0.076
s	s	0.892
s	-	0.098
sː	sː	1.0
t	t	0.726
t	tʰ	0.174
t	ʰt	0.089
tː	t	0.682
tː	ʰt	0.318
u	ʏ	0.626
u	-	0.199
u	ˈœː	0.113
u	ɪ	0.062
w	v	0.637
w	-	0.201
w	ˈɛː	0.051
wː	ɡ̊ː	0.548
wː	ɡ̊	0.452
x	h	0.487
x	-	0.302
x	ç	0.159
xʷ	kʰ	0.52
xʷ	-	0.44
z	r̥	0.744
z	-	0.248
ð	ð	0.794
ð	-	0.141
ŋ	ŋ	0.891
ŋ	ɲ	0.109
ɑ	a	0.539
ɑ	ʏ	0.293
ɑ	-	0.14
ɑi̯	ˈu	1.0
ɑː	a	1.0
ɑ̃	-	1.0
ɔː	-	0.725
ɔː	ɪ	0.136
ɔː	a	0.099
ɔːu̯	a	1.0
ɔːː	ɪ	0.347
ɔːː	a	0.309
ɔːː	n̥	0.199
ɔːː	-	0.072
ɔːː	ʏ	0.072
ɔ̃ː	a	1.0
ɛː	ɪ	1.0
ɡ	ɡ̊	1.0
ɡʷ	ɟ̊	1.0
ɣ	ɡ̊	0.362
ɣ	ɣ	0.175
ɣ	-	0.153
ɣ	ɟ̊ː	0.122
ɣ	ɟ̊	0.111
ɣ	ɡ̊ː	0.077
ɸ	f	0.917
ˈe	j	0.436
ˈe	ˈɛ	0.183
ˈe	ˈiː_j	0.056
ˈe	ˈɛː	0.053
ˈe	ˈɔː	0.052
ˈeu̯	ˈoːu̯	0.496
ˈeu̯	j	0.319
ˈeu̯	ˈʏː	0.089
ˈeu̯	ˈiː	0.066
ˈeː	ˈɛː	1.0
ˈi	ˈɪ	0.318
ˈi	ˈi	0.251
ˈi	ˈiː	0.108
ˈi	ˈɪː	0.106
ˈi	ˈɛ	0.104
ˈi	ˈai̯	0.053
ˈiu̯	ˈiː	0.782
ˈiu̯	ˈi	0.168
ˈiː	ˈiː	0.952
ˈĩː	ˈɛ	1.0
ˈu	ˈʏ	0.253
ˈu	ˈɔ	0.225
ˈu	ˈu	0.155
ˈu	ˈʏː	0.09
ˈu	ˈɪ	0.089
ˈuː	ˈuː	0.721
ˈuː	ˈiː	0.147
ˈuː	ˈɛː	0.097
ˈɑ	ˈa	0.399
ˈɑ	ˈaː	0.161
ˈɑ	ˈɛ	0.088
ˈɑ	ˈɑu̯	0.072
ˈɑ	ˈœ	0.066
ˈɑi̯	ˈɛːi̯	0.354
ˈɑi̯	ˈɛi̯	0.121
ˈɑi̯	ˈaːu̯	0.115
ˈɑi̯	ˈɛ	0.105
ˈɑi̯	j	0.076
ˈɑi̯	ˈɪː	0.066
ˈɑu̯	ˈœːy̯	0.425
ˈɑu̯	ˈɛːi̯	0.174
ˈɑu̯	ˈeːi̯	0.119
ˈɑu̯	ˈa	0.081
ˈɑu̯	-	0.078
ˈɑu̯	ˈɑːu̯	0.078
ˈɔː	ˈoːu̯	0.55
ˈɔː	ˈaːi̯	0.257
ˈɔː	ˈai̯	0.105
ˈɔː	ˈʏː	0.058
ˈɛː	ˈɑːu̯	0.775
ˈɛː	ˈaːu̯	0.076
ˈɛː	ˈai̯	0.061
β	v	0.848
β	-	0.132
θ	θ	0.491
θ	ð	0.301
θ	-	0.208
