Proto-Germanic	Icelandic	probability
a	ʏ	0.468
b	b̥	1.0
d	d̥	0.94
d	θ	0.055
e	ɪ	0.309
e	a	0.309
i	-	0.68
i	ʏ	0.145
i	r	0.064
i	ɪ	0.051
i	ɛ	0.041
iː	-	0.309
iː	i	0.309
j	-	0.415
j	a	0.289
j	j	0.183
j	ɟ̊	0.054
j	ˈai̯	0.052
jː	ɡ̊	0.219
k	k	0.37
k	kʰ	0.229
k	c	0.165
k	cʰ	0.139
k	rː̥	0.042
k_s	k	1.0
kʷ	c	0.66
kʷ	kʰ	0.145
kː	ʰk	0.468
l	l	0.756
l	l̥	0.196
l	-	0.036
l	n	0.025
l_ɑ	l̥	0.591
l_ɑ	l	0.403
l_ɑ̃	l	0.922
l_ɑ̃	nː	0.039
l_ɔː	l	1.0
lː	t_l̥	1.0
m	m	0.914
m	n	0.048
m	p	0.041
n	n	0.552
n	-	0.371
n	ŋ	0.037
n	n̥	0.028
n	t_n̥	0.023
n_ɑ	n̥	1.0
n_ɑ̃	a	0.822
n_ɑ̃	n̥	0.171
n_θ	nː	1.0
nː	nː	0.891
nː	ð	0.059
p	p	0.569
p	ʰp	0.278
p	v	0.096
r	r	0.527
r	r̥	0.221
r	-	0.12
r	r_t	0.108
r	rː̥	0.025
r_u	ʏ	1.0
r_ɑ̃	r̥	1.0
s	s	0.813
s	-	0.153
s_ɑ̃	s	1.0
sː	sː	0.219
t	t	0.557
t	ʰt	0.206
t	tʰ	0.185
t	ð	0.026
t	s	0.026
u	ʏ	0.602
u	-	0.267
u	ˈœː	0.079
u	ɪ	0.049
w	v	0.432
w	-	0.35
w	ˈoːu̯	0.107
w	u	0.046
w	ˈou̯	0.035
w_ˈu	ˈɔ	1.0
wː	ɡ̊	0.468
x	h	0.537
x	-	0.276
x	ç	0.062
x	ɡ̊	0.054
x	k	0.036
x_l	l̥	1.0
x_r	r̥	1.0
xʷ	kʰ_v	0.474
xʷ	-	0.306
xʷ	ç	0.209
z	r̥	0.724
z	-	0.265
ð	ð	0.657
ð	-	0.184
ð	n	0.085
ð	d̥	0.065
ð_ɑ̃	ð	1.0
ŋ	ŋ	0.919
ŋ	ɲ	0.073
ŋ_k	ʰk	1.0
ɑ	ʏ	0.492
ɑ	-	0.421
ɑ	ɪ	0.027
ɑ	ɑu̯	0.026
ɑ	a	0.026
ɑ_l	l	1.0
ɑi̯	ˈu	0.468
ɑː	a	1.0
ɑ̃	-	0.934
ɑ̃	ˈɛː	0.042
ɑ̃	ˈɑːu̯	0.032
ɔː	-	0.806
ɔː	n̥	0.111
ɔː	a	0.074
ɔːu̯	a	1.0
ɔːː	a	0.431
ɔːː	ɪ	0.215
ɔːː	n̥	0.21
ɔːː	-	0.121
ɔ̃ː	a	0.871
ɔ̃ː	-	0.127
ɛː	ɪ	1.0
ɡ	ɡ̊	1.0
ɡʷ	ɟ̊	0.468
ɣ	ɡ̊	0.445
ɣ	ɟ̊	0.232
ɣ	ɣ	0.183
ɣ	-	0.125
ɸ	f	0.8
ɸ	v	0.086
ɸ	-	0.046
ɸ	p	0.04
ɸ	kʰ	0.034
ˈe	j	0.294
ˈe	ˈɛː	0.147
ˈe	ˈɛ	0.147
ˈe	j_ˈœ	0.121
ˈe	ˈɪ	0.076
ˈe_w	j	1.0
ˈeu̯	j_ˈoːu̯	0.472
ˈeu̯	j	0.152
ˈeu̯	ˈoːu̯	0.091
ˈeu̯	ˈiː	0.091
ˈeu̯	ˈɛː	0.091
ˈeu̯_x	j	1.0
ˈeː	ˈɛː	0.468
ˈi	ˈi	0.209
ˈi	ˈɪ	0.206
ˈi	ˈɪː	0.2
ˈi	ˈiː	0.191
ˈi	ˈɛ	0.101
ˈiu̯	ˈiː	0.53
ˈiu̯	ˈi	0.461
ˈiː	ˈiː	0.904
ˈiː	ˈɛː	0.085
ˈĩː	ˈɛ	0.468
ˈu	ˈʏ	0.269
ˈu	ˈɔ	0.195
ˈu	ˈu	0.152
ˈu	ˈɪ	0.101
ˈu	ˈʏː	0.072
ˈuː	ˈuː	0.651
ˈuː	ˈiː	0.317
ˈuː	ˈʏ	0.032
ˈɑ	ˈa	0.366
ˈɑ	ˈaː	0.227
ˈɑ	ˈɛ	0.079
ˈɑ	ˈœ	0.058
ˈɑ	ˈɑu̯	0.049
ˈɑ_x	ˈɑu̯	1.0
ˈɑi̯	ˈɛːi̯	0.224
ˈɑi̯	j	0.153
ˈɑi̯	ˈɛ	0.153
ˈɑi̯	ˈɛi̯	0.116
ˈɑi̯	ˈœː	0.068
ˈɑu̯	ˈœːy̯	0.533
ˈɑu̯	ˈɛːi̯	0.177
ˈɑu̯	ˈɑːu̯	0.097
ˈɑu̯	ˈeːi̯	0.051
ˈɑu̯	ˈœː	0.049
ˈɔː	ˈoːu̯	0.694
ˈɔː	ˈaːi̯	0.157
ˈɔː	ˈɔu̯	0.066
ˈɔː	ˈai̯	0.05
ˈɛː	ˈɑːu̯	0.616
ˈɛː	ˈɔ	0.215
ˈɛː	ˈɔː	0.126
β	v	0.803
β	-	0.122
β	f	0.061
θ	θ	0.653
θ	ð	0.168
θ	ð_ʏ	0.105
θ	-	0.059
θ_ɑ̃	ð	1.0
