Western Lombard	Western Lombard	probability
ˈɛ_#>	j_r_#>	1.0
ˈœ	ˈɛ	1.0
ˈyː_r	ˈiː_r	1.0
ˈy	ˈu	1.0
ˈoː	ˈa_w	1.0
ˈo	ˈu	1.0
ˈĩ	ˈi_n	1.0
ˈe	ˈeː	1.0
ˈa_l	ˈa_l	1.0
ʧ_#>	#>	1.0
ʃ	ˈiː_ʧ	1.0
ɲ	ɲ	1.0
y	-	1.0
w	-	1.0
t_#>	ʨ_#>	1.0
r_n	r_n	1.0
r_a	r_ə	1.0
p	p	1.0
n	n	1.0
m_#>	m_#>	1.0
m	m	1.0
k_r	k_r	1.0
ĩ	-	1.0
f_#>	f_#>	1.0
f	f	1.0
ẽ	v_ə	1.0
e_r	ə_r	1.0
a_#>	#>	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_ˈe	1.0
a	ə	0.965
r	r	0.944
t	t	0.931
v	v	0.923
d	d	0.889
b	b	0.882
l	l	0.857
<#_l	<#_l	0.857
ˈũ	ˈu_n	0.8
ɡ	ɡ	0.733
i	-	0.714
u	u	0.7
ʒ	ʃ	0.667
ˈiː	ˈiː	0.636
ˈu	ˈu	0.6
ˈi_#>	ˈiː_#>	0.6
ˈi	ˈiː_r	0.6
ʤ	-	0.6
ˈeː	ˈa_j	0.571
j	l	0.571
ʧ	ʧ	0.538
l_#>	l_#>	0.529
k	ʨ	0.512
s	s	0.509
ˈã	ˈa_w	0.5
z	ʒ	0.5
z	-	0.5
#>	n_#>	0.5
l_#>	#>	0.471
ˈɑː	ˈaː	0.458
ˈẽ	ˈɛ_n	0.429
ˈeː	-	0.429
ˈɔ	ˈɔ	0.417
ˈuː	ˈuː	0.417
ˈu	ˈuː	0.4
ˈi_#>	#>	0.4
ˈi	r	0.4
ˈa	ˈaː_r	0.4
ʤ	ʥ	0.4
k	k	0.372
ˈiː	-	0.364
ˈa	ˈa	0.36
s	ʃ	0.345
ˈɑː	ˈa	0.333
ˈøː	ˈɔ	0.333
ˈuː	ˈu	0.333
ʒ	ʥ	0.333
ˈɛ	ˈɛː	0.323
ˈɛ	ˈɛ	0.323
e	ə	0.316
ʧ	ʎ	0.308
ˈyː	ˈu	0.3
ˈyː	ˈi	0.3
u	o	0.3
ˈẽ	ˈɛ	0.286
ˈẽ	j_n	0.286
j	ʎ	0.286
i	i	0.286
e	-	0.263
ˈɔ	ˈɔː	0.25
ˈøː	j_ˈɛ	0.25
ˈøː	-	0.25
ˈuː	-	0.25
ˈã	ˈɔ_n	0.25
ˈã	ˈa_n	0.25
#>	r_#>	0.214
e	e	0.211
ˈyː	ˈiː	0.2
ˈyː	-	0.2
ˈũ	ˈu	0.2
ˈɛ	ˈe	0.194
ˈɔ	ˈo	0.167
ˈɔ	-	0.167
ˈøː	ˈɔː	0.167
ʧ	k_l	0.154
l	w	0.143
j	-	0.143
<#_l	<#_ʎ	0.143
#>	ə_s_#>	0.143
#>	ə_#>	0.143
ɡ	j	0.133
ɡ	-	0.133
ˈɑː	ˈa_w	0.125
ˈa	ˈaː	0.12
ˈa	-	0.12
b	v	0.118
d	-	0.111
e	r	0.105
e	i	0.105
ˈɛ	j	0.097
ˈɑː	ˈɔ	0.083
v	-	0.077
s	ʧ	0.073
s	ʦ	0.073
k	w	0.07
t	-	0.069
ˈɛ	-	0.065
r	-	0.056
