West Frisian	East Low German	probability
b	b	0.886
b	-	0.109
d	d	0.766
d	-	0.086
d	ɾ	0.082
d	t	0.054
f	f	1.0
h	h	1.0
j	-	0.591
j	j	0.131
j	ˈiː	0.099
j	ˈɔʏ̯	0.075
j	ˈoː	0.051
j_ə	n	1.0
j_ˈuə̯	ˈyː	1.0
j_ˈɔ	ˈɪ	0.49
k	k	0.563
k	kʰ	0.297
k	-	0.068
k	ç	0.058
l	l	0.935
l	-	0.063
l_j	l	1.0
l_ə	l	1.0
m	m	1.0
n	n	0.72
n	n_d	0.141
n	ŋ	0.06
n	-	0.048
p	p	0.843
p	b	0.154
r	r	0.5
r	æ	0.423
r	-	0.052
r	æ_t	0.029
s	s	0.429
s	ʃ	0.299
s	z	0.268
s_k	ʃ	1.0
t	t	0.678
t	d	0.143
t	tʰ	0.107
t	-	0.07
v	v	0.36
v	w	0.223
v	m	0.152
v	b	0.078
v	f	0.078
z	ŋ	0.322
z	s	0.181
z	z	0.181
z	-	0.12
ŋ	ŋ	0.777
ŋ	ç	0.11
ŋ	n	0.084
ŋ_ə	ŋ	1.0
ɕ	z	1.0
ə	-	0.593
ə	n	0.267
ə	ɪ	0.069
ə	æ	0.052
ə	ɾ	0.028
ə_l	l	1.0
ə_r	æ	1.0
ɡ	ɡ	0.619
ɡ	j	0.373
ɣ	ɡ	0.416
ɣ	ç	0.239
ɣ	k	0.155
ɣ	ɣ	0.1
ɪ	ɪ	0.49
ʋ	v	1.0
ʦ	kʰ	0.363
ʦ	tʰ	0.275
ʦ_j	d	1.0
ˈa	ˈa	0.634
ˈa	ˈɛ	0.122
ˈa	ˈɒː	0.106
ˈa	ˈɪ	0.07
ˈa	ˈaː	0.057
ˈaː	ˈa	0.267
ˈaː	ˈɒː	0.246
ˈaː	ˈae̯	0.209
ˈaː	ˈœ	0.105
ˈaː	ˈaː	0.079
ˈeː	ˈeː	0.297
ˈeː	ˈae̯	0.181
ˈeː	ˈaʊ̯	0.181
ˈeː	ˈøː	0.181
ˈi	ˈiː	0.509
ˈi	ˈɪ	0.253
ˈi	ˈae̯	0.116
ˈi	ˈɛː	0.116
ˈiə̯	ˈae̯	0.326
ˈiə̯	ˈɒː	0.214
ˈiə̯	ˈɔʏ̯	0.138
ˈiə̯	ˈoː	0.096
ˈiə̯	ˈiː	0.07
ˈiː	ˈiː	0.649
ˈiː	ˈae̯	0.126
ˈiː	ˈɛɪ̯	0.068
ˈiː	ˈɛː	0.068
ˈiː	ˈɪ	0.068
ˈoə̯	ˈuː_æ	0.295
ˈoə̯	ˈɔ	0.125
ˈoə̯	ˈɛː	0.095
ˈoə̯	ˈuː	0.093
ˈoə̯	ˈɒː	0.093
ˈoː	ˈaʊ̯	0.594
ˈoː	ˈuː	0.392
ˈu	ˈʊ	0.594
ˈu	ˈɒː	0.392
ˈuə̯	ˈaʊ̯	0.743
ˈuə̯	ɾ	0.126
ˈuə̯	ˈœː	0.126
ˈuː	ˈuː	0.581
ˈuː	ˈʊ	0.225
ˈuː	ˈøː	0.088
ˈuː	-	0.055
ˈuː	ˈaʊ̯	0.053
ˈy	ˈɔ	1.0
ˈyː	ˈuː	0.239
ˈyː	ˈʊ	0.239
ˈyː	ˈyː	0.155
ˈø	ˈʏ	0.574
ˈø	ˈɒː	0.281
ˈøə̯	ˈʏ	0.24
ˈɔ	ˈʊ	0.341
ˈɔ	ˈɔ	0.261
ˈɔ	ˈɪ	0.138
ˈɔ	ˈɛ	0.121
ˈɔ	ˈœ	0.064
ˈɔu̯	ˈɔ	0.426
ˈɔu̯	ˈiː	0.102
ˈɔː	ˈa	0.398
ˈɔː	ˈɔ	0.223
ˈɔː	ˈœː	0.194
ˈɔː	l	0.136
ˈɛ	ˈiː	0.403
ˈɛ	ˈaʊ̯	0.162
ˈɛ	ˈɒː	0.113
ˈɛ	ˈɪ	0.113
ˈɛ	-	0.079
ˈɛ_r	ˈaː	0.49
ˈɛi̯	ˈɛ	0.323
ˈɛi̯	ˈɪ	0.245
ˈɛi̯	ˈɒː	0.13
ˈɛi̯	ˈa	0.113
ˈɛi̯	ˈœ	0.113
ˈɛː	ˈaː	0.334
ˈɛː	ˈa	0.253
ˈɛː	ˈʏ	0.253
ˈɛː	ˈae̯	0.1
ˈɪ	ˈɪ	0.474
ˈɪ	ˈae̯	0.137
ˈɪ	ˈɛ	0.137
ˈɪ	ˈʏ	0.11
ˈɪ	ˈa	0.05
ˈɪ_r	æ	1.0
ˈɪə̯	ˈaʊ̯	0.416
ˈɪə̯	ˈae̯	0.173
ˈɪə̯	ˈoː	0.089
ˈɪə̯	ˈaː	0.068
ˈɪə̯	ˈuː	0.068
ˈɵ	ˈɔʏ̯	0.49
χ	ç	0.566
χ	x	0.422
