West Frisian	East Low German	probability
b	b	0.935
b	-	0.065
d	d	0.774
d	ɾ	0.145
d	t	0.056
d̥	t	0.637
d̥	d	0.303
d̥	l_t	0.059
f	f	1.0
h	h	1.0
j	-	0.483
j	ç	0.105
j	ˈiː	0.071
j	j	0.065
j	ˈoː	0.063
j	ˈɔʏ̯	0.063
j	ˈɛː	0.062
k	k	0.543
k	-	0.23
k	kʰ	0.22
l	l	0.988
m	m	0.947
m	-	0.053
n	n	0.889
n	ŋ	0.06
p	p	0.878
p	pʰ	0.074
r	r	0.406
r	æ	0.396
r	-	0.103
r	ɾ_æ	0.08
s	ʃ	0.414
s	z	0.309
s	s	0.267
t	t	0.727
t	tʰ	0.131
t	d	0.124
v	w	0.376
v	m	0.225
v	v	0.219
v	-	0.136
z	ŋ	0.58
z	-	0.29
z	s	0.109
ŋ	ŋ	0.715
ŋ	ç	0.219
ŋ	n	0.066
ɕ	z	1.0
ə	-	0.867
ə	ɾ	0.082
ɡ	j	0.519
ɡ	ɡ	0.481
ɣ	ɡ	0.378
ɣ	ç	0.251
ɣ	k	0.203
ɣ	ŋ	0.124
ɪ	ɪ	0.616
ɪ	ae̯	0.384
ʋ	v	1.0
ʦ	kʰ	0.378
ʦ	d	0.265
ʦ	t	0.196
ʦ	tʰ	0.161
ˈa	ˈa	0.649
ˈa	ˈɒː	0.155
ˈa	ˈɛ	0.113
ˈaː	ˈɛː	0.295
ˈaː	ˈae̯	0.239
ˈaː	ˈaː	0.151
ˈaː	ˈa	0.147
ˈaː	ˈɒː	0.136
ˈeː	ˈøː	0.514
ˈeː	ˈae̯	0.246
ˈeː	ˈeː	0.122
ˈeː	ˈaʊ̯	0.118
ˈi	ˈiː	0.519
ˈi	ˈɪ	0.337
ˈi	ˈae̯	0.066
ˈiə̯	ˈae̯	0.344
ˈiə̯	ˈɔʏ̯	0.187
ˈiə̯	ˈɒː	0.161
ˈiə̯	ˈoː	0.127
ˈiə̯	ˈiː	0.09
ˈiː	ˈiː	0.357
ˈiː	ˈɪ	0.278
ˈiː	ˈɛː	0.218
ˈiː	ˈae̯	0.089
ˈiː	ˈɛɪ̯	0.058
ˈoə̯	ˈuː	0.323
ˈoə̯	ˈɒː	0.262
ˈoə̯	ˈœː	0.229
ˈoə̯	ˈœ	0.05
ˈoə̯	ˈɛː	0.05
ˈoː	ˈuː	0.648
ˈoː	ˈaʊ̯	0.352
ˈu	ˈʊ	0.908
ˈu	ˈʏ	0.064
ˈuə̯	ˈaʊ̯	0.743
ˈuə̯	ˈuː	0.168
ˈuə̯	ˈœː	0.052
ˈuː	ˈuː	0.493
ˈuː	ˈʊ	0.227
ˈuː	ˈɒː	0.106
ˈuː	ˈɔʏ̯	0.064
ˈuː	ˈaʊ̯	0.063
ˈu̯o	ˈɔʏ̯	1.0
ˈy	ˈɔ	0.831
ˈy	ˈʏ	0.169
ˈyː	ˈʊ	0.381
ˈyː	ˈyː	0.337
ˈyː	ˈœː	0.175
ˈyː	ˈuː	0.106
ˈø	ˈɒː	0.5
ˈø	ˈʏ	0.5
ˈøə̯	ˈʏ	1.0
ˈɔ	ˈʊ	0.448
ˈɔ	ˈɛ	0.138
ˈɔ	ˈɔ	0.111
ˈɔ	ˈuː	0.081
ˈɔ	-	0.072
ˈɔ	ˈɪ	0.061
ˈɔ	ˈɒː	0.059
ˈɔu̯	ˈiː	0.63
ˈɔu̯	ˈuː	0.281
ˈɔu̯	ˈɔ	0.089
ˈɔː	ˈa	0.633
ˈɔː	ˈɔ	0.218
ˈɔː	ˈœː	0.105
ˈɛ	ˈiː	0.52
ˈɛ	ˈaː	0.113
ˈɛ	ˈɛ	0.108
ˈɛ	-	0.097
ˈɛi̯	ˈɛ	0.368
ˈɛi̯	ˈɪ	0.315
ˈɛi̯	ˈœ	0.125
ˈɛi̯	ˈɒː	0.081
ˈɛi̯	ˈaɪ̯	0.07
ˈɛː	ˈʏ	0.274
ˈɛː	ˈoː	0.263
ˈɛː	ˈaː	0.203
ˈɛː	ˈae̯	0.181
ˈɛː	ˈa	0.079
ˈɪ	ˈɪ	0.356
ˈɪ	ˈɛ	0.137
ˈɪ	-	0.121
ˈɪ	æ	0.121
ˈɪ	ˈʏ	0.099
ˈɪə̯	ˈaʊ̯	0.279
ˈɪə̯	ˈae̯	0.193
ˈɪə̯	ˈɒː	0.108
ˈɪə̯	ˈoː	0.105
ˈɪə̯	ˈeː	0.09
ˈɪə̯	ˈaː	0.079
ˈɪə̯	ˈa	0.059
χ	x	0.506
χ	ç	0.444
