Eastphalian	Gothic	probability
b	b	0.836
b	t	0.073
d	θ	0.465
d	d	0.457
d	ð	0.055
f	f	0.922
h	h	1.0
j	ɡ	0.724
j	j	0.276
k	k	0.967
l	l	0.938
m	m	0.732
m	β	0.1
m	a_n	0.069
m	-	0.066
n	n	0.876
n	-	0.056
n	u_n	0.052
p	p	0.843
p	β	0.157
r	r	0.97
s	s	1.0
t	t	0.756
t	θ	0.167
v	w	0.739
v	β	0.117
v	ʍ	0.095
w	w	1.0
x	h	0.772
x	x	0.209
z	s	1.0
ç	ɣ	0.333
ç	h	0.248
ç	ɡ	0.224
ç	x	0.196
ŋ	ŋ	0.623
ŋ	h	0.222
ŋ	ɣ	0.155
ɐ	r	0.568
ɐ	a_r	0.185
ɐ	-	0.081
ɐ	oː	0.063
ɐ	a	0.052
ɐ	ˈuː	0.051
ə	oː	0.264
ə	-	0.166
ə	a	0.166
ə	i	0.157
ə	ɡ_oː	0.081
ə	iː	0.06
ə	u	0.053
ə	ɔː	0.053
ɡ	ɣ	1.0
ɣ	ɡ	0.702
ɣ	ɣ	0.173
ɣ	-	0.124
ɪ	ˈi	0.663
ɪ	a	0.337
ʃ	s	0.941
ˈa	ˈa	0.932
ˈa	ˈɛ	0.068
ˈaʊ̯	ˈoː	0.892
ˈaʊ̯	ˈa	0.108
ˈeo̯	ˈɔː	0.429
ˈeo̯	ˈɔ	0.308
ˈeo̯	ˈiu̯	0.209
ˈeo̯	ˈa	0.055
ˈeː	ˈi	0.518
ˈeː	ˈɛ	0.281
ˈeː	ˈa	0.138
ˈeː	ˈiu̯	0.063
ˈiː	ˈiː	0.697
ˈiː	ˈi	0.219
ˈiː	ˈiu̯	0.051
ˈoː	ˈɔ	0.312
ˈoː	ˈɔː	0.28
ˈoː	ˈi	0.264
ˈoː	ˈu	0.144
ˈuː	ˈu	0.486
ˈuː	ˈuː	0.484
ˈyː	ˈoː	1.0
ˈøː	ˈɔː	0.74
ˈøː	j	0.26
ˈœ	nː	0.41
ˈœ	ˈɛː	0.269
ˈœ	ˈa	0.233
ˈœ	ˈɔ	0.087
ˈɒː	ˈa	0.513
ˈɒː	ˈeː	0.487
ˈɔ	ˈu	0.344
ˈɔ	ˈa	0.324
ˈɔ	ˈɔ	0.166
ˈɔ	ˈɔː	0.166
ˈɔʏ̯	ˈoː	0.845
ˈɔʏ̯	ˈɔː	0.155
ˈɛ	ˈi	0.64
ˈɛ	nː	0.188
ˈɛ	ˈa	0.089
ˈɛ	ˈɛ	0.083
ˈɛɪ̯	ˈiu̯	0.318
ˈɛɪ̯	ˈɛː	0.3
ˈɛɪ̯	ˈɛ	0.212
ˈɛɪ̯	ˈa	0.082
ˈɛː	ˈɛ	0.529
ˈɛː	ˈi	0.191
ˈɛː	ˈa	0.169
ˈɛː	ˈu	0.111
ˈɪ	ˈi	0.697
ˈɪ	ˈiː	0.099
ˈɪ	ˈɛː	0.082
ˈɪ	ˈa	0.069
ˈɪ	k_ˈi	0.052
ˈʊ	ˈu	0.761
ˈʊ	ˈuː	0.149
ˈʊ	ˈoː	0.053
ˈʏ	ˈi	0.662
ˈʏ	ˈu	0.177
ˈʏ	ˈiu̯	0.161
