Eastphalian	Gothic	probability
b	b	0.747
b	p	0.168
b	β	0.078
d	d	0.452
d	θ	0.437
d	ð	0.06
d	t	0.046
f	f	0.806
f	f_s	0.126
f	b	0.064
h	h	1.0
j	j	0.53
j	ɡ	0.461
k	k	0.874
k	h	0.112
l	l	0.661
l	lː	0.099
l	l_s	0.091
l	h_l	0.089
l	θ	0.045
m	m	0.6
m	m_s	0.183
m	a_n	0.135
m	β	0.078
n	n	0.849
n	u_n	0.068
n	nː	0.038
n	-	0.034
n	n_u	0.034
n_ə	n	1.0
p	p	0.805
p	β	0.161
r	r	1.0
s	s	1.0
t	t	0.77
t	θ_s	0.06
t	θ	0.06
t	-	0.04
t	ð	0.039
v	w	0.655
v	ʍ	0.12
v	β	0.104
v	f	0.069
v	-	0.053
w	w	1.0
x	h	0.733
x	x	0.122
x	ɡ	0.118
z	s	1.0
ç	ɡ	0.37
ç	x	0.137
ç	ɣ	0.137
ç	h	0.127
ŋ	ŋ_ɡ	0.559
ŋ	h	0.236
ŋ	ŋ	0.179
ɐ	r	0.508
ɐ	a_r	0.226
ɐ	-	0.084
ɐ	a	0.073
ɐ	oː	0.068
ə	oː	0.341
ə	a	0.247
ə	-	0.147
ə	ɔː	0.077
ə	i	0.07
ɣ	ɡ	0.728
ɣ	-	0.193
ɣ	ɣ	0.067
ɪ	ˈi	0.226
ɪ	a	0.226
ʃ	s_k	0.506
ʃ	k_s	0.219
ʃ	z	0.096
ʃ	k	0.051
ʃ	-	0.047
ˈa	ˈa	0.904
ˈa	ˈɛ	0.091
ˈaʊ̯	ˈoː	0.811
ˈaʊ̯	ˈa	0.155
ˈaː	ˈeː	1.0
ˈeo̯	ˈɔː	0.506
ˈeo̯	ˈɔ	0.375
ˈeo̯	ˈa	0.092
ˈeː	ˈi	0.331
ˈeː	ˈɛ	0.289
ˈeː	ˈiu̯	0.219
ˈeː	ˈa	0.103
ˈiː	ˈiː	0.582
ˈiː	ˈi	0.206
ˈiː	ˈiu̯	0.102
ˈiː	ˈeː	0.079
ˈoː	ˈu	0.457
ˈoː	ˈɔ	0.302
ˈoː	ˈɔː	0.229
ˈuː	ˈuː	0.536
ˈuː	ˈu	0.441
ˈyː	ˈoː	1.0
ˈøː	ˈɔː	0.509
ˈœ	nː	0.488
ˈœ	ˈɛː	0.145
ˈœ	ˈa	0.145
ˈɒː	ˈa	0.484
ˈɒː	ˈeː	0.473
ˈɔ	ˈa	0.4
ˈɔ	ˈu	0.348
ˈɔ	ˈɔ	0.118
ˈɔ	ˈɔː	0.083
ˈɔʏ̯	ˈɔː	1.0
ˈɛ	ˈi	0.766
ˈɛ	ˈa	0.118
ˈɛ	ˈɛ	0.086
ˈɛɪ̯	ˈɛː	0.347
ˈɛɪ̯	ˈiu̯	0.269
ˈɛɪ̯	ˈɛ	0.151
ˈɛɪ̯	w	0.1
ˈɛɪ̯	ˈiː	0.1
ˈɛː	ˈi	0.255
ˈɛː	ˈa	0.149
ˈɛː	ˈɛ	0.149
ˈɛː	ˈu	0.087
ˈɪ	ˈi	0.716
ˈɪ	ˈiː	0.142
ˈɪ	ˈɛː	0.107
ˈɪ	ˈa	0.041
ˈʊ	ˈu	0.802
ˈʊ	ˈuː	0.126
ˈʊ	ˈoː	0.071
ˈʏ	j	0.292
ˈʏ	ˈiu̯	0.292
ˈʏ	ˈu	0.067
