Gascon	Megleno-Romanian	probability
h	f	1.0
i	i	1.0
m	m	1.0
p	p	1.0
ɡ	ɡ	1.0
ɣ	k	1.0
ʦ	ʦ	1.0
ˈi	ˈi	1.0
ˈɔ	ˈo	1.0
t	l	0.21
t	t	0.381
ɾ	-	0.171
ɾ	r	0.821
ʒ	z	0.961
ˈa	ˈɔ_j	0.061
ˈe	e̯ˈa	0.21
d	d	0.902
e	u	0.382
l	-	0.142
n	n	0.812
r	r	0.882
s	s	0.612
ɔ	u	0.062
ˈy	ˈu	0.802
β	r	0.612
a	ə	0.3
b	b	0.283
e	i	0.553
j	p	0.223
j	-	0.413
k	k	0.683
l	r	0.073
t	t_i	0.193
w	w	0.303
ɔ	ə	0.763
ˈu	ˈo	0.113
ˈu	o̯ˈa	0.153
j	t	0.364
ʃ	ʃ	0.834
ʎ	-	0.254
ˈa	ˈa	0.544
ˈu	ˈu	0.734
e	ə	0.065
k	r_#>	0.065
s	ʧ	0.055
ŋ	ŋ	0.065
ŋ	n_i	0.185
ˈɛ	ˈa	0.605
k	ʦ	0.056
s	ʦ	0.216
ʃ	<#_w	0.166
ˈa	ˈɔ	0.356
ˈe	ˈi	0.346
a	-	0.7
b	v	0.717
k	i_#>	0.177
l	ʎ	0.187
t	t_r	0.117
w	-	0.697
ɔ	-	0.117
ʎ	k_ʎ	0.627
ˈɛ	ˈo	0.067
d	z	0.098
l	l	0.598
n	n_t	0.188
s	-	0.078
ŋ	n_ə	0.148
ŋ	n	0.558
ɔ	n_ə	0.058
ˈy	ˈo	0.198
ˈɛ	ˈe	0.328
β	-	0.18
β	b	0.208
r	r_n	0.089
t	ʦ	0.099
ʎ	ʎ_u	0.119
ˈe	ˈo	0.079
ˈe	ˈe	0.29
