Elfdalian	Elfdalian	probability
ˈʉ̃ːə̯	-	1.0
ˈɪ̃ː	ˈeː_ɑ	1.0
ˈɪː_ɣ	ˈɪ_ç	1.0
ˈɛ_ɡː	ˈɔɪ̯	1.0
ˈɔ̃ː	-	1.0
ˈɔ	ˈa	1.0
ˈɑːu̯	ˈaʊ̯	1.0
ˈɑːi̯	ˈaɪ̯	1.0
ˈœ	ˈɪ	1.0
ˈyːœ̯	ˈiː	1.0
ˈyœ̯	-	1.0
ˈiːe̯	ˈeː	1.0
ʨ	-	1.0
ʥː	k	1.0
ʥ	ɡ	1.0
ʏ	ˈɪ_ʋ	1.0
ɽ_#>	l_#>	1.0
ɽ	l	1.0
ɪ	-	1.0
ɣ_ɛ	ɣ	1.0
ɣ_ɑ	ə	1.0
ɣ	ɡ̊	1.0
ɡː_ɑ	ə	1.0
ɡː_#>	k_#>	1.0
ɡ	ɡ	1.0
ɛ_r	ɑ	1.0
ɛ_n	ə	1.0
ɔ̃	eː	1.0
ɑ̃	-	1.0
ɑ_#>	#>	1.0
ɑ	ə	1.0
w	ʋ	1.0
v_ɔ	ʋ_ə	1.0
sː	n_s	1.0
s_k_#>	ʃ_#>	1.0
s_k	ʃ	1.0
s_j	s	1.0
s_#>	s_#>	1.0
rː	ɑ	1.0
r_ɑ	ɑ	1.0
pʰ	b	1.0
p_#>	f_#>	1.0
p	f	1.0
nː_#>	n_#>	1.0
nː	n	1.0
n_d	n	1.0
n_#>	#>	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l̥	ʃ_l	1.0
lː	l	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
j_ˈʉːə̯	ˈiː	1.0
f	f	1.0
d_#>	d̥_#>	1.0
d	d	1.0
b	b	1.0
a	ə	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
ˈɪ	ˈɪ	0.889
ŋ_ɡ	ŋ	0.8
ɔ	ə	0.714
ð	d̥	0.714
tʰ	d	0.688
ˈʉə̯	ˈaː	0.667
s	ʃ	0.667
<#	<#_h	0.64
ˈʏː	ˈaɪ̯	0.6
ˈʏ	ˈɪ	0.6
ˈæː	-	0.6
ˈʉːə̯	ˈuː	0.571
t	s	0.556
r	ɾ	0.511
ˈʉ	ˈʊ	0.5
ˈɛː	ˈeː	0.5
ˈɛː	-	0.5
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ˈɑː	ˈɔː	0.5
ˈɑː	ˈa	0.5
ˈɑ	ˈa	0.5
ˈæ	ˈɛː	0.5
ˈæ	ˈɛ	0.5
ˈo	ˈa	0.5
ˈo	-	0.5
ʉ	ɪ	0.5
ʉ	-	0.5
v	b̥	0.455
ˈʉː	-	0.429
ˈɪː	ˈaɪ̯	0.429
k	x	0.417
j	-	0.417
ˈʏː	-	0.4
ˈʏ	-	0.4
ˈæː	ˈeː	0.4
ˈoː	ˈoː	0.375
ˈoː	-	0.375
t	t	0.37
v	f	0.364
r	ɑ	0.356
ˈʉə̯	-	0.333
ˈɔː	ˈɔː	0.333
ˈœː	ˈɔː	0.333
ˈœː	ˈoː	0.333
ˈœː	-	0.333
tː	ʦ	0.333
tː	ç_t	0.333
tː	s	0.333
s	s	0.333
k	ç	0.333
j	ˈɛ	0.333
tʰ	ʦ	0.312
#>	ə_#>	0.3
#>	d̥_#>	0.3
ˈʉː	ˈɔ	0.286
ˈʉː	ˈeː	0.286
ˈɪː	ˈiː	0.286
ˈɪː	-	0.286
ˈɑ	ˈɔː	0.286
ɔ	-	0.286
ð	d	0.286
ˈʉ	ˈɔ	0.278
ˈoː	h	0.25
k	k	0.25
j	ˈɪ	0.25
ˈɔː	ˈoː	0.222
ˈɔː	ˈa_l	0.222
ˈɔː	-	0.222
ˈʉːə̯	ˈiː	0.214
ˈʉːə̯	-	0.214
ˈɑ	ˈaː	0.214
ŋ_ɡ	ç	0.2
<#	<#_ʋ	0.2
#>	n_#>	0.2
#>	f_#>	0.2
v	-	0.182
ˈʉ	ˈɪ	0.111
ˈʉ	-	0.111
ˈɪ	ˈaɪ̯	0.111
<#	<#_ˈa	0.08
<#	<#_j	0.08
t	-	0.074
r	d_ɑ	0.067
r	-	0.067
