Belarusian	Čakavian	probability
b	b	1.0
d	d	1.0
j	j	1.0
k	k	1.0
kʲ	k	1.0
lʲ	l	1.0
mʲ	m	1.0
n	n	1.0
pʲ	p	1.0
s	s	1.0
sʲ	s	1.0
t	t	1.0
u	uː	1.0
v	ʋ	1.0
vʲ	ʋ	1.0
w	-	1.0
z	z	1.0
zʲ	z	1.0
ɣ	ɡ	1.0
ʂ	ʃ	1.0
ʐ	ʒ	1.0
ʣʲ	d	1.0
ʦ	ʦ	1.0
ˈu	ûː	1.0
ˈɛ	-	1.0
ˈɵ	-	1.0
a	-	0.061
e	a	0.561
p	-	0.101
x	x	0.491
ɫ	-	0.191
ˈo	-	0.121
a	o	0.482
ˈo	ôː	0.292
m	n	0.113
r	r	0.883
ˈa	â	0.743
ˈe	îː	0.263
ˈi	t_i	0.413
a	e	0.154
nʲ	n	0.934
ʦʲ	t	0.924
ˈo	â	0.064
ˈo	ǎː	0.104
ˈæ	êː	0.684
æ	eː	0.315
æ	e	0.685
ʧ	c	0.335
ʧ	ʧ	0.665
ˈɨ	îː	0.175
ˈɨ	î	0.825
nʲ	ɲ	0.066
ʦʲ	t_i	0.076
ˈæ	â	0.316
a	a	0.157
m	m	0.887
r	r̩̂	0.117
ˈa	a	0.257
ˈe	î	0.47
ˈi	i	0.587
a	aː	0.068
ˈe	ê	0.088
e	e	0.439
p	p	0.899
x	k	0.509
ɫ	l	0.809
ˈe	-	0.179
ˈo	ô	0.419
