Hoisanese	Hoisanese	probability
ᵑɡ_e	ɤ	1.0
ᵑɡ	ʐ	1.0
ᵐb	m	1.0
ʦʰ	ʈ͡ʂʰ	1.0
ʦ	ʈ͡ʂ	1.0
ŋ	ŋ	1.0
³²	⁵¹	1.0
²²	³⁵	1.0
²	²¹⁴	1.0
w_ɔ	a	1.0
w_³³	w_⁵⁵	1.0
w_²²	w_³⁵	1.0
w	w	1.0
v	x_w	1.0
u_j	y	1.0
t̚_⁵⁵	⁵⁵	1.0
t̚	-	1.0
t	ʦ	1.0
s	ʂ	1.0
pʰ	pʰ	1.0
p	p	1.0
n	n	1.0
m̩	-	1.0
m	n	1.0
l	l	1.0
k̚_⁵⁵	³⁵	1.0
kʰ	-	1.0
j_ɛ	ɤ	1.0
j_³³	j_⁵¹	1.0
h_w	kʰ	1.0
e_n	i_ŋ	1.0
e_j	i	1.0
a_w	ɑ_w	1.0
a_t̚	a	1.0
a_j	i	1.0
<#_ⁿd	<#_n	1.0
<#_ᵑɡ	<#	1.0
<#_ᵐb	<#_w	1.0
<#_j_i	<#_i	1.0
<#	<#_t	1.0
#>	⁵¹_#>	1.0
⁵⁵	²¹⁴	0.871
f	f	0.818
³³	⁵⁵	0.811
²¹	²¹⁴	0.75
ɬ	ɕ	0.714
j_a	ɑ	0.714
j	j	0.684
a	a	0.682
k̚_³²	⁵¹	0.6
tʰ	ʨʰ	0.571
k̚	j	0.571
k	k	0.556
ɔ	ɑ	0.467
k	ʨ	0.444
ɵ	ʊ	0.429
tʰ	ʦʰ	0.429
k̚	-	0.429
e	j_ɛ	0.429
k̚_³²	w_⁵¹	0.4
u	u	0.381
h	x	0.353
h	tʰ	0.353
ɔ	a	0.333
ɵ	u	0.286
ɬ	s	0.286
j_a	i	0.286
e	o	0.286
e	e	0.286
i	-	0.273
²¹	-	0.25
u	ɥ_ɛ	0.238
ɔ	ɔ	0.2
u	ə	0.19
³³	⁵¹	0.189
i	ə	0.182
i	o	0.182
i	j_o	0.182
i	i	0.182
f	kʰ	0.182
h	ʨʰ	0.176
j	ɻ	0.158
j	-	0.158
ɵ	o	0.143
ɵ	-	0.143
a	ɤ	0.136
h	kʰ	0.118
u	z̩	0.095
u	-	0.095
a	ɑ	0.091
a	e	0.091
⁵⁵	⁵⁵	0.065
⁵⁵	-	0.065
