Standard Croatian	Slovenian	probability
ʨ	ʧ	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʎ	l	1.0
ʋ_j	ʋ	1.0
ʋ	ʋ	1.0
ʃ	-	1.0
ɲ	n	1.0
ɡ	ɡ	1.0
z	z	1.0
x	x	1.0
t_a	t_a	1.0
t	t	1.0
s	s	1.0
r̩ː	ə	1.0
r̩	ə	1.0
p	p	1.0
o_̂	oː_̀	1.0
n	n	1.0
m	m	1.0
l_j	l	1.0
l	l	1.0
j_eː	eː	1.0
iː	iː	1.0
eː_̌	̀	1.0
e_̌	ɛ	1.0
e_̂	̀	1.0
d	d	1.0
b	b	1.0
aː	aː	1.0
a_̂	aː_̀	1.0
a_o	ə_w	1.0
a_n	ə_n	1.0
a_k	ə_k	1.0
k	k	0.936
r	r	0.906
̌	̀	0.838
ʒ	ʒ	0.826
oː	oː	0.809
̂	́	0.725
j	eː	0.667
eː	eː	0.636
i	i	0.598
a	a	0.478
a	ə	0.468
u	ɔː	0.433
i	iː	0.341
o	ɔ	0.337
j	-	0.333
uː	uː	0.322
uː	oː	0.322
u	oː	0.312
e	ɛː	0.273
e	ɛ	0.259
u	-	0.254
e	eː	0.238
o	oː	0.225
oː	ɔ	0.191
o	ɔː	0.186
o	o	0.183
eː	eː_́	0.176
ʒ	ʒ̊	0.174
uː	ɔː	0.165
̌	-	0.162
̂	-	0.143
eː	e	0.137
̂	̀	0.132
uː	-	0.107
e	eː_̀	0.098
r	r_j	0.094
uː	oː_́	0.084
e	e	0.082
o	w	0.07
k	x	0.064
i	eː	0.06
a	ɛ	0.054
eː	ə	0.051
e	-	0.051
