Sichuanese	Sichuanese	probability
⁵⁵	⁵⁵	1.0
ʨ	k	1.0
ɥ	w	1.0
ɚ	nˡ	1.0
ə_w	a_w	1.0
ɕ	s	1.0
z	j	1.0
y	y	1.0
x	h	1.0
w_ə	u	1.0
v	-	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
p	p	1.0
nʲ	nˡ	1.0
n_²¹³	ŋ_²¹³	1.0
n_a	nˡ_a	1.0
m	m	1.0
kʰ	kʰ	1.0
k	k	1.0
e	-	1.0
a_n	ŋ	1.0
<#_x	<#	1.0
<#_n	<#_l̃	1.0
⁵³	³³	0.875
n	ŋ	0.862
w	w	0.857
ʦʰ	ʦʰ	0.8
z̩	i	0.667
f	p	0.667
j	j	0.65
ʨʰ	kʰ	0.6
ə	w	0.6
²¹	⁵³	0.592
ʦ	ʦ	0.556
pʰ	pʰ	0.5
pʰ	p	0.5
a_w	o	0.5
a_w	e_w	0.5
u	o_w	0.455
ʦ	t	0.444
²¹³	²⁴²	0.421
²¹³	²¹³	0.421
o	ø	0.417
ʨʰ	ʦʰ	0.4
ə	-	0.4
a	a	0.378
ɛ	e	0.364
ŋ	ŋ	0.35
j	-	0.35
z̩	-	0.333
o	-	0.333
f	h	0.333
a	o	0.324
ŋ	ɥ_ŋ	0.3
ɛ	ɔ	0.273
u	ø_ɥ_ʔ	0.273
u	u	0.273
ŋ	w_ŋ	0.25
o	o	0.25
i	i	0.25
²¹	ʔ_²⁴	0.204
ʦʰ	t	0.2
i	ɛ_j	0.188
i	ɛ	0.188
i	j	0.188
i	a	0.188
ɛ	ɑ_ʔ	0.182
ɛ	j_ʔ	0.182
²¹³	j_²⁴²	0.158
w	-	0.143
⁵³	²⁴²	0.125
a	ɑ	0.108
²¹	²⁴	0.102
ŋ	-	0.1
a	w_ɔ	0.081
n	o_ŋ	0.069
n	a_ŋ	0.069
²¹	ʔ_⁵	0.061
a	w_ɑ	0.054
a	u	0.054
