Cantonese	Cantonese	probability
ʧ	ʈ͡ʂ	1.0
ʊ_k̚	u	1.0
ɵ_ɥ	y	1.0
ɵ	w	1.0
ɪ	i	1.0
ɛː	ɤ	1.0
ɔː_j	a_j	1.0
ɐ_t̚	u	1.0
ɐ_j	i	1.0
œː	ɑ	1.0
ŋ̍	-	1.0
¹³	²¹⁴	1.0
³⁵	²¹⁴	1.0
³³	⁵¹	1.0
²¹	³⁵	1.0
²²	⁵¹	1.0
²	⁵¹	1.0
uː	-	1.0
u	-	1.0
t̚_²	⁵¹	1.0
tʰ	tʰ	1.0
t	t	1.0
pʰ	pʰ	1.0
p	p	1.0
o_w	u	1.0
o	ɑ	1.0
n	n	1.0
l	l	1.0
k̚_³	⁵¹	1.0
kʷʰ	-	1.0
kʰ	-	1.0
j_yː	y	1.0
e_j	i	1.0
aː_t̚	a	1.0
<#_ɔː	<#_a	1.0
<#_w_ɐ	<#_y	1.0
<#_j	<#	1.0
<#	<#_w	1.0
⁵⁵	⁵⁵	0.946
aː	a	0.889
ŋ	ŋ	0.875
w	w	0.818
ʊ	ʊ	0.778
f	f	0.692
³	⁵⁵	0.667
yː	ɛ	0.667
<#_m	<#_w	0.667
k	ʨ	0.636
ʧʰ	ʈ͡ʂʰ	0.6
s	ʂ	0.6
ʦ	ʦ	0.556
m	m	0.545
ɔː	ɑ	0.5
k̚	j	0.5
k̚	-	0.5
h	x	0.5
e	i	0.5
e	e	0.5
m	n	0.455
ʦʰ	ʈ͡ʂʰ	0.444
ʦ	ʈ͡ʂ	0.444
j	j	0.429
ʧʰ	ʨʰ_ɥ	0.4
ɐ	o	0.381
k	k	0.364
⁵	⁵⁵	0.333
⁵	³⁵	0.333
⁵	-	0.333
ʦʰ	ʦʰ	0.333
³	²¹⁴	0.333
yː	w_a	0.333
iː	ʐ̩	0.333
<#_m	<#	0.333
j	ɤ	0.286
h	kʰ	0.286
s	ɕ	0.267
ɔː	ɔ	0.25
ɐ	ə	0.238
ɐ	i	0.238
ʦʰ	ʨʰ	0.222
ʊ	-	0.222
iː	j_ɑ	0.222
h	ʨʰ	0.214
w	x_w	0.182
iː	ɻ	0.167
iː	j_ɛ	0.167
f	x_w	0.154
f	kʰ	0.154
ɐ	-	0.143
j	ɥ	0.143
j	-	0.143
s	s	0.133
ɔː	a	0.125
ɔː	-	0.125
ŋ	-	0.125
iː	z̩	0.111
aː	ɤ	0.111
⁵⁵	-	0.054
