Lengadocian	Lengadocian	probability
β_ɔ	b	1.0
ˈɛ_ʧ_#>	i_#>	1.0
ˈɛ_ʦ	i	1.0
ˈɛ_ʀ	ɛ_ʁ	1.0
ˈɛ_s	ɛ	1.0
ˈɛ_n	ɑ̃	1.0
ˈɛ_l	o	1.0
ˈɛ_#>	j_e_#>	1.0
ˈɔ_s	o	1.0
ˈɔ_k	ø	1.0
ˈy_ɲ	w_ɛ̃	1.0
ˈu_ʦ	w	1.0
ˈu_ɔ	ø	1.0
ˈu_t	u	1.0
ˈu_s	u	1.0
ˈu_n	ɔ̃	1.0
ˈu_#>	ɔ̃_#>	1.0
ˈi_w	y	1.0
ˈi_#>	i_ʁ_#>	1.0
ˈa_ʦ	ɛ	1.0
ˈa_ʀ	ɛ_ʁ	1.0
ˈa_ŋ	ɑ̃	1.0
ˈa_z	e	1.0
ˈa_n	ɑ̃	1.0
ˈa_l	o	1.0
ˈa_j	ɛ	1.0
ˈa_#>	e_#>	1.0
ʧ_#>	#>	1.0
ʎ	j	1.0
ʀ_t	ʁ	1.0
ʀ	ʁ	1.0
ɾ	ʁ	1.0
ɲ_ɔ	ɲ	1.0
ɲ	-	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ŋ	-	1.0
ð	-	1.0
w_ɾ	v	1.0
t_ɔ_#>	t_#>	1.0
s_p	p	1.0
s_k	k	1.0
s_#>	#>	1.0
nː	m	1.0
n_ɔ_#>	n_#>	1.0
n_#>	#>	1.0
mː	m	1.0
m_#>	#>	1.0
lː	l	1.0
l_ɔ_#>	l_#>	1.0
l_s	ø	1.0
l_#>	#>	1.0
k_#>	#>	1.0
j_ˈɛ	i	1.0
j_#>	a_#>	1.0
f	f	1.0
e_ʀ	ɛ_ʁ	1.0
d	d	1.0
a_n	ɑ̃	1.0
<#_ˈa	<#_a	1.0
<#_ʀ	<#_ʁ	1.0
<#_ɥ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_a	<#	1.0
m	m	0.933
s	s	0.917
l	l	0.906
p	p	0.882
ʤ	ʒ	0.857
ˈy	y	0.786
ˈi	i	0.778
e_#>	#>	0.758
β	v	0.714
ˈa_w	o	0.714
z	z	0.714
ɥ	ɥ	0.667
w	-	0.667
t	t	0.652
a	a	0.636
b	v	0.583
i	-	0.571
ˈɔ	ɔ	0.556
ɣ	ɡ	0.5
ɣ	-	0.5
w_#>	f_#>	0.5
w_#>	#>	0.5
n	n	0.5
k	ʃ	0.5
k	k	0.5
e	-	0.471
j	a	0.462
ˈu	u	0.455
ˈe	w	0.441
u	u	0.438
i	i	0.429
b	b	0.417
e	ə	0.412
j	-	0.385
t	-	0.348
ˈɛ	j	0.333
ˈɔ	œ	0.333
ɥ	-	0.333
w	ɔ	0.333
#>	a_#>	0.333
u	ɔ	0.312
n	-	0.3
ˈe	ɛ	0.294
ˈa_w	ɔ	0.286
z	-	0.286
ˈɛ	ɛ	0.278
#>	ʁ_#>	0.278
ˈa	ɛ	0.267
ˈa	a	0.267
u	-	0.25
ˈa	ɛ̃	0.244
e_#>	ʁ_#>	0.242
ˈi	ɛ̃	0.222
ˈy	ɥ	0.214
n	ɔ̃	0.2
ˈu	œ_ʁ	0.182
ˈɛ	j_ɛ	0.167
#>	ɛ̃_#>	0.167
j	j	0.154
ˈe	-	0.147
β	b	0.143
β	-	0.143
ʤ	-	0.143
ˈu	ɔ̃	0.136
ˈu	ɔ	0.136
a	ɛ	0.136
a	-	0.136
ˈa	e	0.133
ˈe	w_a	0.118
p	-	0.118
e	w_a	0.118
ˈɛ	i	0.111
ˈɛ	-	0.111
ˈɔ	-	0.111
#>	ɔ̃_#>	0.111
#>	e_#>	0.111
l	j	0.094
ˈu	œ	0.091
a	ə	0.091
s	-	0.083
m	-	0.067
