Gascon	Gascon	probability
ˈɛ_t	ˈe_l	1.0
ˈɛ_s	ˈe	1.0
ˈɛ_j	ˈa	1.0
ˈɔ_s	ˈoː	1.0
ˈy_β	ˈy	1.0
ˈu_ŋ	ˈɔ̃	1.0
ˈu_n	ˈɔ̃	1.0
ˈo	ˈu	1.0
ˈi_ŋ	ˈĩ	1.0
ˈe_ʎ	ʎ	1.0
ˈe_ŋ	ˈɛ̃	1.0
ˈe_n	ˈɛ̃	1.0
ˈe_k	ˈɛ_t	1.0
ˈe_j	ˈɛː	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_w	ˈoː	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_m	ˈɑ̃	1.0
ʦ_#>	#>	1.0
ʤ	ð	1.0
ɾ_ˈe	ʁ_ˈɛː	1.0
ɾ_e	ʁ	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ŋ	n	1.0
z_ˈa_w_t_e_s_#>	#>	1.0
w_ˈe	w	1.0
w_#>	f_#>	1.0
t_#>	#>	1.0
t	t	1.0
p_#>	#>	1.0
p	p	1.0
nː	-	1.0
n_h	ɛ̃	1.0
mː	m	1.0
m_i	m	1.0
lː	l	1.0
k_ˈa	ʃ	1.0
k_#>	#>	1.0
j_r	ð_ə	1.0
h	f	1.0
f	f	1.0
e_s	e	1.0
e_r	ɛ_ʁ	1.0
d	d	1.0
a_ɾ	a_ð	1.0
a_s	ɑː	1.0
a_n	ɑ̃	1.0
<#_ˈa	<#_ˈɑː	1.0
<#_ʒ	<#_ð	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a_r	<#_ʁ	1.0
m	m	0.875
l	l	0.87
r	ʁ	0.867
ʎ	ʎ	0.833
ʦ	ʃ	0.8
s	s	0.775
ʒ	ʒ	0.75
z	z	0.75
a	a	0.727
ð	-	0.714
ˈa_#>	ˈa_#>	0.7
ʃ	s	0.667
ɾ	ʁ	0.667
<#_a	<#_a	0.667
ɔ	a	0.63
k	k	0.622
ɣ	ɡ	0.6
b	v	0.576
j	-	0.571
ɲ	ɲ	0.556
n	n	0.538
β	v	0.529
ˈi	ˈi	0.5
i	i	0.5
i	-	0.5
ɲ	ˈɛ̃	0.444
ˈa	ˈa	0.442
j	ˈe	0.429
b	b	0.424
ˈe	ˈɛː	0.409
ɣ	-	0.4
w	w	0.4
k	ʃ	0.378
ˈy	ˈu	0.375
ˈy	w	0.375
u	o	0.375
#>	ʁ_#>	0.364
ˈɔ	ˈoː	0.333
ʃ	-	0.333
e	ə	0.333
<#_a	<#	0.333
ˈɛ	ˈɛ	0.3
ˈa_#>	#>	0.3
ð	ð	0.286
w	-	0.28
a	-	0.273
ˈɔ	w	0.267
ˈɔ	-	0.267
ɔ	ə	0.259
ˈu	ˈɔ	0.25
ˈu	ˈo	0.25
ʒ	ð	0.25
z	-	0.25
u	ɔ	0.25
u	-	0.25
w	l	0.24
β	b	0.235
ɾ	ð	0.233
#>	ə_#>	0.227
#>	a_#>	0.227
ˈi	-	0.214
ˈɛ	ˈɛː	0.2
ˈɛ	ˈe	0.2
ˈɛ	j_ˈe	0.2
ʦ	ʦ	0.2
ˈa	ˈaː	0.186
ˈe	ˈɛ	0.182
ˈe	ˈi	0.182
#>	o_#>	0.182
ˈi	ˈe	0.179
e	-	0.179
ˈu	w	0.167
ʎ	-	0.167
n	ˈɛ̃	0.154
n	ˈĩ	0.154
n	-	0.154
e	o	0.154
ˈa	-	0.14
ˈe	ˈe	0.136
ˈɔ	ˈo	0.133
r	ʁ_n	0.133
l	ʎ	0.13
e	ʁ_o	0.128
ˈy	ˈo	0.125
ˈy	-	0.125
ˈu	ˈø	0.125
ˈu	ˈu	0.125
u	ˈo	0.125
s	-	0.125
m	-	0.125
β	ʁ	0.118
β	-	0.118
ˈi	ˈe_n	0.107
ˈɛ	ˈi	0.1
ɾ	-	0.1
s	ʃ	0.1
ˈe	-	0.091
ˈu	-	0.083
w	ˈaː	0.08
e	ʁ_ə	0.077
e	e	0.077
ɔ	i	0.074
ˈa	ˈe	0.07
ˈa	j_ˈe	0.07
e	ʁ	0.051
