Neapolitan	Friulian	probability
b	b	1.0
bː	b	1.0
d	d	1.0
e	-	1.0
f	f	1.0
kː	c	1.0
l	l	1.0
m	m	1.0
mː	m	1.0
nː	n	1.0
r	r	1.0
sː	-	1.0
tː	t	1.0
ŋ	ŋ	1.0
ʃː	s	1.0
ʤː	-	1.0
j	j	0.571
k	ɡ	0.091
p	v	0.121
u	u	0.531
v	v	0.81
ɾ	r	0.631
ˈe	ˈe	0.771
ˈɛ	ˈiː	0.061
ˈɛ	ˈɛ	0.711
t	t	0.562
ɲː	ɲ	0.642
ʤ	-	0.542
ˈu	ˈuː	0.12
ˈɔ	ˈa_w	0.152
a	e	0.143
j	l	0.263
u	o	0.423
ə	-	0.3
ˈe	ˈɛ	0.093
ˈu	ˈo	0.293
ˈɔ	ˈuː	0.163
ˈɛ	j_ˈɛ	0.103
k	c	0.444
s	s	0.864
w	w	0.64
ɾ	-	0.264
ˈa	ˈaː	0.254
ˈa	ˈa	0.724
ˈo	ˈɔ	0.244
a	a	0.785
i	-	0.255
i	i	0.745
ɡ	-	0.405
ɡ	ɡ	0.595
ɾ	d	0.075
ˈi	ˈeː	0.05
ˈi	ˈi	0.545
ˈɛ	ˈe	0.095
s	z	0.136
v	b	0.166
w	-	0.36
ˈe	ˈeː	0.136
ˈi	ˈiː	0.136
ˈɔ	ˈɔ	0.156
j	-	0.167
k	k	0.317
n	n	0.897
ʃ	ʧ	0.597
ˈu	ˈu	0.437
n	ɲ	0.08
t	d	0.438
ə	i	0.208
ɲː	ŋ	0.358
ʤ	ʤ	0.458
ˈo	ˈo	0.628
ˈu	ˈoː	0.068
ˈɔ	ˈi	0.078
k	p	0.099
p	p	0.879
ə	e	0.469
ʃ	s	0.399
ˈi	ˈe	0.269
ˈo	ˈoː	0.129
ˈɔ	ˈa	0.139
ˈɔ	w_ˈa	0.19
