Old Prussian	Czech	probability
w	v	1.0
u_s	x	1.0
t	t	1.0
oːu̯	iː	1.0
n_t	c	1.0
n_a	n	1.0
l_i	l	1.0
l	l	1.0
k_t	ʦ	1.0
k	k	1.0
j	iː	1.0
i_l	l̩	1.0
eː	ɲ	1.0
e_r	r̝	1.0
b	b	1.0
aːu̯	u	1.0
aː	ɛ_n	1.0
au̯	-	1.0
ai̯	j_ɛ	1.0
r	r	0.839
u	-	0.823
z	z	0.822
m	m	0.821
i	-	0.805
v	v	0.789
d	d	0.682
s	-	0.66
e	ɛ	0.599
iː	j	0.562
p	p	0.54
ɡ	ɦ	0.516
n	-	0.507
ɡ	ʒ	0.484
p	-	0.46
iː	-	0.438
o	a	0.43
a	o	0.375
a	ɛ	0.373
o	-	0.328
d	d̥	0.318
e	-	0.312
n	n	0.277
o	o	0.242
s	s	0.241
v	-	0.211
i	a	0.195
m	-	0.179
z	ɦ	0.178
u	ɪ	0.177
n	d	0.167
r	r̝̊	0.161
a	-	0.133
s	x	0.099
e	o	0.089
a	uː	0.062
a	iː	0.058
