English	English	probability
ˈɪ_n	ˈi_n	1.0
ˈɜː	ˈɔ_r	1.0
ˈɒ	ˈa	1.0
ˈɐ_n	n	1.0
ˈæ	ˈa	1.0
ʧ	k_iː	1.0
ʃ	s_k	1.0
əʊ̯	ɡ	1.0
ŋ	ŋ	1.0
ð	θ	1.0
z	s_u	1.0
t	t	1.0
s_t	s_t	1.0
s	s	1.0
p	p	1.0
n	n	1.0
l	l	1.0
kʰ_ˈɐ	kʷ	1.0
k	k	1.0
j	j	1.0
h	h	1.0
b	b	1.0
<#_θ	<#_θ	1.0
<#_ɡ	<#_ɡ	1.0
<#_tʰ	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_d	<#_d	1.0
<#	<#_h	1.0
#>	s_#>	0.969
w	w	0.895
f	f	0.882
ɹ	r	0.875
m	m	0.875
ˈɐ	ˈu	0.75
ɫ	l	0.706
ˈɪ	ˈi	0.647
ˈəʊ̯	ˈɛː	0.636
ˈuː	-	0.625
θ	θ	0.6
ˈʊ	ˈu	0.6
ˈeɪ̯	ˈa	0.5
ˈaʊ̯	ˈuː	0.5
d	θ	0.5
ˈɔː	ˈa	0.429
ˈɑː	ˈa	0.429
ˈaɪ̯	ˈi	0.429
v	f	0.429
d	d	0.417
θ	θ_u	0.4
ˈʊ	ˈoː	0.4
ˈuː	ˈoː	0.375
ˈaʊ̯	ˈu	0.375
ˈaɪ̯	ˈiː	0.357
ˈɔː	ˈɔː	0.286
ˈɔː	ˈɔ_r	0.286
ˈɑː	ˈɛ_r	0.286
ˈɑː	ˈa_r	0.286
ˈe	ˈa	0.286
ə	r	0.286
ə	a_r	0.286
v	β_a	0.286
v	β	0.286
ˈiː	ˈiu̯	0.267
ˈɐ	ˈoː	0.25
ˈeɪ̯	ˈi_ɡ	0.25
ˈeɪ̯	ˈa_h	0.25
ˈe	ˈɔ	0.214
ˈe	ˈi	0.214
ˈaɪ̯	h	0.214
ˈiː	ˈɔː	0.2
ˈiː	ˈiː_s	0.2
ˈiː	ˈi	0.2
ə	-	0.19
ˈəʊ̯	ˈu	0.182
ˈəʊ̯	ˈa	0.182
ɫ	lː	0.176
ˈe	ˈɔː	0.143
ˈe	-	0.143
ə	a	0.143
ˈiː	ˈeː	0.133
ˈaʊ̯	ɡʷː	0.125
ɹ	-	0.125
m	m_ˈeː	0.125
ˈɪ	ˈɔː_s	0.118
ˈɪ	ˈiu̯	0.118
ˈɪ	ˈeː	0.118
ɫ	ɡ_l	0.118
f	l_b	0.118
w	ʍ	0.105
ə	oː	0.095
d	t	0.083
