Limburgish	Dutch	probability
#>	#>	0.801
#>	n_#>	0.176
<#	<#	1.0
b	b	0.952
b	-	0.055
d	d	0.963
f	f	1.0
j	-	0.462
j	t	0.229
j	j	0.156
j	ə	0.136
j_#>	#>	0.521
k	k	0.917
k	χ	0.078
k_#>	#>	1.0
l	ɫ	1.0
m	m	1.0
n	n	1.0
p	p	1.0
s	s	0.961
t	t	0.979
v	v	1.0
w	ˈɑu̯	0.272
x	χ	0.559
x	χ_t	0.375
x	k	0.061
x_#>	#>	0.521
z	z	1.0
ŋ	ŋ	1.0
ə	ə	0.828
ə	-	0.156
ə_k	k	1.0
ə_m	m	1.0
ɡ	χ	0.521
ɣ	χ	1.0
ɦ	ɦ	0.988
ɪ	ɪ	1.0
ɪː	ˈɪ	0.521
ʀ	ɾ	0.987
ʃ	s_χ	1.0
ʦ	s	0.521
ˈaː	ˈɑ	0.559
ˈaː	ˈaː	0.384
ˈaː	ˈɛ	0.062
ˈaː_j	ˈɑu̯	1.0
ˈeː	ˈeː	0.44
ˈeː	ˈi	0.282
ˈeː	ˈɛ	0.119
ˈeː	ˈɪ	0.086
ˈeː	ˈaː	0.065
ˈi	ˈi	0.261
ˈi	ˈaː	0.205
ˈi	ˈɪ	0.205
ˈi	ˈeː	0.144
ˈi	w	0.085
ˈi	ˈɛi̯	0.083
ˈiː	ˈɛi̯	0.763
ˈiː	ˈi	0.228
ˈoː	ˈu	0.538
ˈoː	ˈoː	0.457
ˈu	ˈoː	1.0
ˈuː	ˈœy̯	0.886
ˈuː	ˈoː	0.095
ˈv	v	0.521
ˈyː	ˈoː	0.514
ˈyː	ˈyː	0.173
ˈyː	ˈœy̯	0.15
ˈyː	-	0.074
ˈæ	ˈɑ	0.488
ˈæ	ˈɛ	0.28
ˈæ	ˈaː	0.182
ˈæː	ˈɛ	0.699
ˈæː	ˈɑ	0.297
ˈøː	ˈu	0.782
ˈøː	ˈoː	0.128
ˈøː	ˈyː	0.05
ˈœ	ˈʏ	0.425
ˈœ	ˈɛ	0.28
ˈœ	ˈoː	0.193
ˈœ	ˈɔ	0.056
ˈœi̯	ˈœy̯	0.641
ˈœi̯	w	0.159
ˈœi̯	ˈoː	0.15
ˈœː	ˈɔ	0.521
ˈɑ	ˈɑ	0.915
ˈɑ	ˈɑu̯	0.084
ˈɑː	ˈɑ	1.0
ˈɒː	ˈaː	0.921
ˈɒː	ˈøː	0.081
ˈɔ	ˈɔ	0.841
ˈɔ	ˈu	0.149
ˈɔu̯	ˈoː	0.236
ˈɔu̯	ˈɑu̯	0.236
ˈɔː	ˈoː	0.62
ˈɔː	ˈɔ	0.249
ˈɔː	-	0.093
ˈɛ	ˈɛ	0.466
ˈɛ	ˈɪ	0.257
ˈɛ	ˈɛi̯	0.151
ˈɛi̯	ˈi	1.0
ˈɛː	ˈeː	0.605
ˈɛː	ˈɛ	0.191
ˈɛː	ˈɛi̯	0.181
ˈɛːi̯	ˈɛi̯	0.699
ˈɛːi̯	ˈeː	0.165
ˈɪ	ˈɪ	0.579
ˈɪ	ˈɛ	0.292
ˈɪ	ˈʏ	0.1
ˈɪː	ˈɪ	0.898
ˈɪː	ˈɛ	0.097
ˈʊ	ˈɔ	1.0
ˈʊː	ˈoː	0.377
ˈʊː	ˈɔ	0.339
ˈʊː	ˈu	0.227
ˈʊː	ˈaː	0.052
ˈʏ	ˈʏ	0.66
ˈʏ	ˈɛ	0.179
ˈʏː	ˈɔ	0.27
ˈʏː	ˈi	0.235
ˈʏː	ˈʏ	0.235
β	ʋ	0.951
