Faroese	Saterland Frisian	probability
a	ə	0.743
a	-	0.162
a	j_ə	0.057
a	ˈoː	0.034
a_ɹ	r	1.0
b̥	b	0.944
b̥	-	0.06
d̥	d	0.812
d̥	d_ə	0.123
d̥	-	0.062
d̥_ʊ	d	1.0
f	f	0.93
f	-	0.069
h	h	0.945
h	k	0.059
j	-	0.374
j	ˈɔː	0.262
j	ɣ	0.136
j	t	0.089
j	ˈiː	0.073
k	k	1.0
kʰ	k	0.85
kʰ	-	0.13
kʰ_v	v	1.0
l	l	0.974
l	-	0.039
l_ʊ	l	1.0
l̥	l	1.0
l̥_ʊ	l	1.0
m	m	0.905
m	-	0.056
m	w	0.055
m_ʊ	m	1.0
n	n	0.982
n	-	0.038
n_ʊ	n	1.0
nː	n	0.833
nː	-	0.167
n̥	r	0.558
n̥	ə_n	0.266
n̥	n	0.135
p	p	1.0
p_ʊ	p	1.0
r	r	0.508
s	s	0.956
s	z	0.047
sː	s	0.508
t	t	0.629
t	-	0.285
t	d	0.08
tʰ	t	0.637
tʰ	d	0.351
tː	p	0.335
tː	d	0.335
v	v	0.548
v	-	0.245
v	w	0.072
v	f	0.041
v	b	0.04
v_ʊ	f	0.644
v_ʊ	x	0.248
w	-	0.257
w	ˈoː	0.257
w	ˈaːi̯	0.257
w	a	0.103
w	ə	0.069
w_ɪ	ˈuː	1.0
ŋ	ŋ	0.903
ŋ	-	0.084
ŋ_ɡ̊	n	0.508
ə	-	0.067
ɛ	ə	0.258
ɡ̊	-	0.54
ɡ̊	ɣ	0.403
ɡ̊	k	0.057
ɡ̊_a	ə	1.0
ɡ̊_ʊ	ə	0.517
ɡ̊_ʊ	x	0.45
ɪ	ə	0.582
ɪ	-	0.413
ɪ_ɹ	r	1.0
ɲ	ŋ	0.508
ɹ	-	0.633
ɹ	r	0.357
ɹ_a	r	1.0
ɹ_ʊ	ˈuː	1.0
ɹː	x	0.508
ʃ	s	0.568
ʃ	s_k	0.354
ʈ	t	1.0
ʊ	-	0.676
ʊ	ə	0.153
ʊ	ə_n	0.057
ʊ	ɪ	0.051
ʊ̯ˈiː	ˈiː	1.0
ʎ	ɣ	1.0
ʤ̊	-	0.601
ʤ̊	j	0.253
ʤ̊	x	0.124
ʧ	k	0.385
ʧ	ɣ	0.195
ʧʰ	j	0.263
ʧʰ	d	0.234
ʧʰ	s	0.164
ʧʰ	v	0.156
ʧː	ɣ	1.0
ʰk	k	0.258
ʰkː	ŋ_k	0.468
ʰkː	k	0.105
ʰp	p	0.488
ʰp	p_ə	0.327
ʰt	t	0.646
ʰt	t_ə	0.334
ʰtː	x	0.538
ʰtː	x_t	0.432
ʰʧ	k	1.0
ˈa	ˈɔː	0.141
ˈa	ˈoː	0.123
ˈa	ˈaː	0.12
ˈa	ˈoːu̯	0.109
ˈa	ˈɔ	0.091
ˈai̯	ˈeː	0.53
ˈai̯	ˈɛ	0.265
ˈai̯	ˈaː	0.168
ˈaːi̯	ˈeː	1.0
ˈeə̯	ˈeː	0.067
ˈeː	ˈi	0.484
ˈeː	ˈeː	0.13
ˈeː	ˈa	0.099
ˈeː	ˈaːi̯	0.099
ˈeː	ˈeːu̯	0.091
ˈiː	ˈɪ	0.349
ˈiː	ˈuː	0.137
ˈiː	ˈiːu̯	0.131
ˈiː	ˈiː	0.131
ˈiː	ˈɔː	0.131
ˈoː	ˈoːu̯	0.225
ˈoː	ˈɛɪ̯	0.225
ˈuː	j	0.594
ˈuː	ˈuː	0.137
ˈuː	ˈɔ	0.126
ˈøː	ˈɛɪ̯	0.746
ˈøː	ˈa	0.14
ˈøː	ˈoː	0.069
ˈœ	-	0.245
ˈœ	ˈoːu̯	0.158
ˈœ	ˈɔ	0.143
ˈœ	ˈʊ	0.084
ˈœ	r	0.084
ˈɔ	ˈɔː	0.216
ˈɔ	ˈoːu̯	0.151
ˈɔ	ˈuː	0.151
ˈɔ	ˈoː	0.114
ˈɔ	ˈœː	0.092
ˈɔːi̯	ˈoː	0.594
ˈɔːi̯	ˈeː	0.392
ˈɔːu̯	ˈoːu̯	0.31
ˈɔːu̯	-	0.264
ˈɔːu̯	ˈɛɪ̯	0.23
ˈɔːu̯	ˈoː	0.099
ˈɔːu̯	a	0.074
ˈɔːu̯_w	ˈoːu̯	1.0
ˈɔ̯aː	ˈoː	0.31
ˈɔ̯aː	ˈoːu̯	0.224
ˈɔ̯aː	ˈiː	0.17
ˈɔ̯aː	ˈeː	0.099
ˈɔ̯aː	ˈɛ	0.076
ˈɛ	ˈɔː	0.224
ˈɛ	ˈɪ	0.17
ˈɛ	ˈa	0.129
ˈɛ	ˈɔːɪ̯	0.129
ˈɛ	ˈeː	0.099
ˈɛːa̯	-	0.282
ˈɛːa̯	ˈɛ	0.184
ˈɛːa̯	ˈɔː	0.157
ˈɛːa̯	ˈɛɪ̯	0.078
ˈɛːa̯	ˈi	0.078
ˈɛːi̯	ˈoː	0.935
ˈɛːi̯	ˈɛɪ̯	0.062
ˈɪ	ˈɪ	0.319
ˈɪ	ˈiː	0.201
ˈɪ	ˈɛː	0.149
ˈɪ	ˈʊ	0.104
ˈɪ	ˈoːu̯	0.086
ˈʉːu̯	ˈuː	0.829
ˈʉːu̯	ˈɛɪ̯	0.078
ˈʉːu̯	ˈoː	0.078
ˈʊ	ˈuː	0.338
ˈʊ	ˈʊ	0.301
ˈʊ	ˈɔ	0.077
ˈʊ	ˈɛː	0.077
ˈʊ	ˈu	0.077
ˈʊ_ʤ̊	j	1.0
ˈʊ̯iː	ˈi	0.33
ˈʊ̯iː	ˈiː	0.213
ˈʊ̯iː	k_ˈi	0.167
ˈʊ̯iː	j	0.145
ˈʊ̯iː	ˈaːu̯	0.08
ˈʏ	j	0.401
ˈʏ	ˈʊ	0.269
ˈʏ	ˈu	0.137
