Bellunese	Bellunese	probability
ˈu	ˈu	1.0
ˈa	ˈa	1.0
ʧ	k_ɾ	1.0
ʤ	ɡ_ɾ	1.0
ŋ_k	m	1.0
z_e	k_ɛ	1.0
w	-	1.0
v_e	β	1.0
u	u	1.0
t_#>	t_ɛ_#>	1.0
p	p	1.0
m	m	1.0
k_o	k_ɔ	1.0
k	k	1.0
j_ˈe	ˈɛ	1.0
i	i	1.0
e_r	ɛ_ɾ	1.0
b	b	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_ð	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
a	a	0.937
t	t	0.92
s	s	0.914
f	f	0.9
r	ɾ	0.817
ˈi	ˈi	0.81
n	n	0.783
ɲ	nː	0.75
ð	ɡ	0.714
ˈɔ	ˈɔ	0.7
ŋ	n	0.667
ɡ	k	0.636
θ	k	0.6
ˈɛ	ˈe	0.583
<#	<#_i	0.583
l	l	0.571
v	b	0.538
o	u	0.538
#>	ɛ_#>	0.531
e	i	0.522
z	z	0.5
z	k	0.5
j	ɾ	0.5
ˈe	ˈi	0.485
d	d	0.478
ˈo	ˈɔ	0.432
#>	u_#>	0.427
<#	<#_a	0.417
ˈe	ˈɛ	0.364
ɡ	-	0.364
ˈɛ	ˈɛ	0.333
j	ʣ	0.333
ˈo	ˈu	0.324
ˈɔ	ˈu	0.3
ð	-	0.286
l	ɖː	0.286
v	β	0.269
θ	ʦ	0.267
d	t	0.261
ɲ	ɲ	0.25
ˈo	ˈo	0.243
n	nː	0.217
e	ɛ	0.217
d	ð	0.174
j	ɡ	0.167
ˈe	ˈe	0.152
ŋ	m	0.152
l	ɾ	0.143
r	r	0.141
θ	-	0.133
e	e	0.13
o	ɛ	0.128
ŋ	ŋ	0.121
v	p	0.115
o	o	0.103
o	-	0.103
f	-	0.1
ˈi	ɛ	0.095
ˈi	-	0.095
e	-	0.087
d	-	0.087
s	u	0.086
ˈɛ	ˈɛ_ɣ	0.083
t	-	0.08
v	-	0.077
o	ɔ	0.077
a	-	0.063
ŋ	nː	0.061
o	u_z	0.051
