Swiss German	East Low German	probability
fː	p	1.0
j	j	1.0
kː	k	1.0
lː	l	1.0
mː	m	1.0
nː	n	1.0
rː	ˈoː	1.0
æ	ae̯	1.0
ʃː	ʃ	1.0
ˈei̯	ˈiː	1.0
h	h	0.901
i	n	0.161
sː	t	0.931
tː	ɾ	0.761
ə	n	0.671
ˈiə̯	ˈiː	0.561
ˈoː	ˈœː	0.11
ˈoː	ˈuː	0.161
ˈyː	ˈae̯	0.361
ˈæ	ˈa	0.131
ˈɒ	ˈa	0.61
ˈɒː	ˈa	0.1
f	f	0.82
ɡ̊	ç	0.272
ʦ	tʰ	0.612
ˈau̯	ˈuː	0.162
ˈe	ˈɛ	0.482
ˈiː	ˈiː	0.742
ˈo	ˈʊ	0.082
ˈuː	ˈuː	0.882
ˈy	ˈʏ	0.562
ˈyː	ˈɛː	0.092
ˈyː	ˈaɪ̯	0.112
ˈæi̯	ˈɪ	0.152
ˈæː	ˈɛ	0.122
ˈæː	ˈaː	0.242
ˈø	ˈa	0.2
ˈø	ˈʏ	0.342
ˈøː	ˈøː	0.292
ˈøː	ˈɔʏ̯	0.572
ˈɒ	ˈɛː	0.092
χ	kʰ	0.412
b̥	b	0.683
m	-	0.053
p	f	0.283
p͡f	p	0.863
ɡ̊	j	0.193
ˈeː	ˈaɪ̯	0.243
ˈeː	ˈeː	0.473
ˈiə̯	ˈɪ	0.333
ˈo	ˈɔ	0.343
ˈu	ˈuː	0.063
ˈu	ˈɔ	0.133
ˈuə̯	ˈaʊ̯	0.913
ˈy	ˈae̯	0.103
ˈyː	ˈiː	0.073
ˈyː	ˈɔʏ̯	0.073
ˈæː	ˈɛɪ̯	0.203
ˈø	ˈœ	0.103
χ	k	0.33
k	k	0.744
ŋ	n	0.224
ɡ̊	ŋ	0.134
ʃ	ʃ	0.804
ˈeː	ˈae̯	0.284
ˈi	ˈɛː	0.064
ˈi	ˈɪ	0.794
ˈiː	ˈae̯	0.104
ˈo	ˈɒː	0.164
ˈyə̯	ˈɔʏ̯	0.824
ˈæ	ˈiː	0.214
ˈæː	ˈɛː	0.284
ˈø	ˈœː	0.354
ˈøi̯	ˈae̯	0.194
χ	x	0.094
χ	ç	0.164
b̥	f	0.215
d̥	-	0.185
r	-	0.095
r	æ	0.545
t	d	0.405
ɡ̊	ɡ	0.235
ʋ	v	0.845
ˈæ	ˈaː	0.055
ˈɒː	ˈɒː	0.475
f	p	0.126
k	kʰ	0.256
r	r	0.36
s	z	0.616
t	t	0.586
ŋ	ŋ	0.776
ɡ̊ː	ŋ	0.126
ɡ̊ː	k	0.236
ʃ	s	0.196
ʋ	w	0.096
ˈiə̯	ˈae̯	0.106
ˈiː	ˈʏ	0.076
ˈo	ˈuː	0.386
ˈu	ˈoː	0.056
ˈu	ˈʏ	0.136
ˈyə̯	ˈaʊ̯	0.176
ˈæ	ˈɛ	0.376
ˈøi̯	ˈʊ	0.06
ˈøi̯	ˈɔʏ̯	0.366
ˈøː	ˈyː	0.136
ˈɒ	ˈɒː	0.066
ˈɒ	ˈaː	0.116
ˈɒː	ˈaː	0.176
l	l	0.997
m	m	0.947
p	p	0.717
p͡f	pʰ	0.137
ə	-	0.17
ˈau̯	ˈoː	0.157
ˈe	ˈɛː	0.137
ˈoː	ˈaʊ̯	0.287
ˈu	ˈœ	0.097
ˈu	ˈʊ	0.467
ˈuə̯	ˈɔʏ̯	0.087
ˈɒ	ˈaʊ̯	0.07
ˈɒː	ˈoː	0.237
b̥	m	0.078
d̥	d	0.778
ɡ̊ː	ç	0.638
ʦ	t	0.388
ˈau̯	ˈaʊ̯	0.608
ˈe	ˈɪ	0.38
ˈiː	ˈɪ	0.078
ˈoː	ˈʊ	0.08
ˈoː	ˈɒː	0.318
ˈuː	ˈʊ	0.088
ˈy	ˈɛ	0.128
ˈyː	ˈyː	0.28
ˈæi̯	ˈae̯	0.848
ˈøi̯	ˈiː	0.38
h	-	0.099
i	ɪ	0.839
n	n	0.99
s	s	0.339
sː	-	0.069
tː	t	0.239
ə	ɾ	0.159
ʋ	-	0.059
ˈi	ˈiː	0.099
ˈy	ˈœː	0.169
ˈæ	ˈɪ	0.069
ˈæː	ˈae̯	0.149
