American English	Old West Norse	probability
ˈɝ	r	1.0
ʧ	cː	1.0
ʤ	ɡː	1.0
ɾ	-	1.0
ɹ_ə	ɾ	1.0
ɪ	i	1.0
ɡ	ɡ	1.0
ə_n	n	1.0
ə	-	1.0
z	-	1.0
tʰ	tʰ	1.0
t_i	ɑː	1.0
t	t	1.0
pʰ	pʰ	1.0
oʊ̯	-	1.0
j	-	1.0
f	f	1.0
b	b	1.0
ɹ	r	0.948
p	p	0.931
h	h	0.916
m	m	0.912
s	s	0.891
l	l	0.802
v	v	0.788
ˈɑ	ˈɑ	0.776
ŋ	ŋ	0.768
θ	θ	0.73
kʰ	kʰ	0.701
n	n	0.662
k	k	0.6
ˈaʊ̯	ˈuː	0.573
ɫ	l	0.569
d	d	0.567
ˈʌ	ˈu	0.564
ˈɔ	ˈo	0.556
ð	ð	0.523
ˈoʊ̯	ˈɛi̯	0.517
ʃ	s_k	0.507
ˈʊ	ˈu	0.5
ˈʊ	ˈoː	0.5
i	ɑ	0.5
i	-	0.5
ʃ	s_c	0.493
ˈɪ	ˈi	0.481
ð	ð_i	0.477
ˈæ	ˈɑ	0.46
ˈeɪ̯	ˈɑ	0.428
ˈʌɪ̯	ˈiː	0.42
ˈaɪ̯	ˈiː	0.375
ʔ	t_r̥	0.364
ˈu	-	0.34
ˈɛə̯	ˈɑ	0.333
ˈɛə̯	ˈa	0.333
ˈɛə̯	-	0.333
d	ð	0.333
ˈu	ˈɑː	0.322
w	v	0.313
ɫ	lː	0.305
ˈæ	ˈɛ	0.302
k	kː	0.301
kʰ	cʰ	0.299
ˈaɪ̯	ˈi	0.298
ˈʌɪ̯	ˈɑː	0.29
ˈʌɪ̯	ˈeː	0.29
ɚ	r̥ː	0.286
ˈaʊ̯	ˈu	0.282
w	x_w	0.273
ˈɛ	-	0.271
θ	ð	0.27
ɚ	r̥	0.25
w	ˈo	0.244
ʔ	t	0.242
ˈæ	ˈɑ_l	0.238
ˈɛ	ˈe	0.233
ŋ	kː	0.232
ˈɑ	-	0.224
ˈɔ	ˈɑ	0.222
ˈɔ	ˈy	0.222
ˈu	ˈoː	0.214
v	v_ɑ	0.212
ˈeɪ̯	ˈe_ɣ	0.207
n	nː	0.206
ˈʌ	-	0.199
l	j	0.198
ˈoʊ̯	-	0.193
ɚ	r	0.187
ˈi	ˈɑː	0.186
ˈɪ	ˈy	0.185
w	-	0.17
ʔ	tː_r̥	0.151
ʔ	t_ɑ	0.151
ˈeɪ̯	ˈɑ_ɣ	0.15
ˈɪ	ˈe	0.148
ˈoʊ̯	ˈɑː	0.147
ˈʌ	ˈo	0.146
ˈi	ˈøy̯	0.146
ˈaʊ̯	ˈyː_r̥	0.145
ˈi	ˈøː	0.144
ˈeɪ̯	ˈɑː	0.144
ɚ	r_ɑ	0.144
ˈoʊ̯	ˈɑ	0.143
ˈɛ	ˈɛ	0.138
ɚ	i_r̥	0.133
ɫ	ˈɔ_l	0.126
ˈaɪ̯	ˈuː	0.125
ˈu	ˈɔː	0.124
ˈɛ	ˈɑu̯	0.112
ˈi	ˈeː	0.109
ˈaɪ̯	ɣ	0.107
k	ɑ	0.099
ˈi	ˈyː	0.098
ˈɪ	j	0.095
ˈaɪ̯	ˈuː_ɣ	0.094
ˈi	ˈɑu̯	0.093
ʔ	tː	0.091
ˈʌ	ˈoː	0.09
ˈɪ	-	0.09
m	-	0.088
h	ç	0.084
ˈi	ˈɑ	0.079
ˈɛ	ˈɑː	0.072
ˈɛ	j_ˈɔ	0.072
ˈi	j_ˈoː	0.071
ˈeɪ̯	ʝː	0.071
n	u	0.07
p	pː	0.069
s	s_j	0.058
d	ð_r̥	0.054
n	-	0.053
ɹ	-	0.052
ˈɛ	ˈɒu̯	0.051
ˈɛ	j	0.051
s	sː	0.051
