Scots	Scots	probability
θ	θ	1.0
ˈʌu̯	ˈʌu̯	1.0
ˈʌ	ˈʌ	1.0
ˈɪ_r	ˈɪ_r	1.0
ˈɪ	ˈɪ	1.0
ˈɛ	ˈɛ	1.0
ˈəi̯	ˈəi̯	1.0
ˈɑː	ˈɑː	1.0
ˈø	ˈø	1.0
ˈuː	ˈuː	1.0
ˈu	ˈu	1.0
ˈoː	-	1.0
ˈo	ˈo	1.0
ˈiː	ˈiː	1.0
ˈi	ˈi	1.0
ˈeː	ˈeː	1.0
ˈe	ˈe	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʍ	ʍ	1.0
ʃ	ʃ	1.0
ɡ	ɡ	1.0
ə	ə	1.0
ŋ	ŋ	1.0
ð	ð	1.0
ç	ç	1.0
z	z	1.0
x	x	1.0
w	w	1.0
v	v	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
r	r	1.0
pʰ	pʰ	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
i	i	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
