Gothic	Gothic	probability
β	v	1.0
ˈɛː_w	ˈeː	1.0
ˈɛː_n	ˈãː	1.0
ˈuː	-	1.0
ˈiː_n	ˈɑ̃i̯	1.0
ˈiː	ˈai̯	1.0
ˈiu̯_n	ˈoĩ̯	1.0
ˈa_ŋ	ˈɛ̃ː	1.0
ˈa_r	ˈɑ	1.0
ˈa_n	ˈɑ_n	1.0
ʍ	v	1.0
ɣ	-	1.0
ɡʷː	ˈoi̯	1.0
ɡʷ	-	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	d̥	1.0
x	-	1.0
w	v	1.0
u	-	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_n	ɐ_n	1.0
oː_θ	ɑ	1.0
oː	-	1.0
nː	n	1.0
n_θ	n	1.0
n_u	ˈõː	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʷ	-	1.0
j_a	ə	1.0
iː_s_#>	#>	1.0
i	-	1.0
f_s	b̥	1.0
f	f	1.0
e	-	1.0
d_u	d̥	1.0
d	d̥	1.0
aː	ə	1.0
a_r	æ̆	1.0
a_n	ə	1.0
a_#>	#>	1.0
<#_θ	<#_d̥	1.0
<#_t	<#_ʦ	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_h	<#	1.0
θ	d̥	0.818
ˈoː	ˈuː	0.75
ˈɔ	ˈɔ	0.714
n	n	0.714
<#_d	<#_d̥	0.714
h	h	0.684
b	b̥	0.667
ˈi	ˈi	0.656
ˈiu̯	ˈiː	0.625
ˈeː	ˈɑː	0.6
a	-	0.6
ˈɛː	ˈaː	0.571
p	f	0.571
k	ʃ	0.571
ɡ	ɡ̊	0.5
t_s	t	0.5
t_s	s	0.5
j	j	0.5
j	-	0.5
ˈɛː	-	0.429
ˈɔː	-	0.429
r	ʀ	0.429
p	v̥	0.429
k	-	0.429
s	ʃ	0.421
ˈu	ˈu	0.412
ˈeː	ˈoː	0.4
a	æ̆	0.4
ˈɛ	ˈæ	0.375
ˈɛ	-	0.375
ˈiu̯	-	0.375
ɡ	-	0.357
r	ɐ	0.333
b	p	0.333
ˈa	ˈɑ	0.308
ˈa	ˈa	0.308
t	z̥	0.308
t	d̥	0.308
ˈu	ˈo	0.294
ˈu	-	0.294
ˈɔː	ˈaː	0.286
ˈɔ	ˈoː	0.286
<#_d	<#_t	0.286
ˈɛ	ˈɛ	0.25
ˈoː	ˈu	0.25
t	ʦ	0.231
s	s	0.211
ˈi	-	0.188
θ	t	0.182
s	t	0.158
h	x	0.158
h	-	0.158
ˈa	ˈe	0.154
t	s	0.154
ˈɔː	ˈẽː	0.143
ˈɔː	oː	0.143
ɡ	ɣ̊	0.143
r	æ̆	0.143
n	ə	0.143
n	-	0.143
ˈa	ˈɑː	0.115
ˈa	-	0.115
s	ˈæː	0.105
s	ɐ	0.105
r	-	0.095
ˈi	ˈɛ	0.094
ˈi	ˈɛː	0.062
