French	Campidanese	probability
#>	#>	0.526
#>	a_#>	0.217
#>	i_#>	0.187
<#	<#	0.982
a	a	0.246
a	ˈa	0.183
a	-	0.119
a	e	0.096
a	ʒ_i	0.074
a	u	0.062
a_#>	#>	1.0
b	b	0.822
b	-	0.097
b	β	0.073
d	d	0.68
d	-	0.114
d	s	0.114
d	ʤ	0.089
e	r_i	0.205
e	ˈa	0.143
e	a	0.132
e	i	0.129
e	i_s	0.122
e	ˈa_i	0.09
e	ð_a	0.06
e	-	0.052
f	f	0.852
f	-	0.076
f	β_u	0.069
i	ˈi	0.431
i	u	0.14
i	i	0.076
i	ˈe_z	0.07
i	ˈe	0.066
i	j	0.058
j	ˈe	0.46
j	j	0.186
j	ʣ_a	0.086
j	e	0.067
j	u	0.067
j	ˈo	0.067
j	ˈa	0.06
j_#>	#>	0.515
k	k	0.856
k	k_u	0.054
l	l	0.702
l	r	0.139
l	ɖ	0.105
m	m	0.793
m	m_ˈa	0.141
m	-	0.051
n	n	0.949
n	-	0.051
o	ɖ_u	0.283
o	ˈo	0.283
o	ˈa_l	0.187
o	s_u	0.088
o	ˈa	0.085
p	p	0.893
p	p_ˈa	0.104
s	s	0.57
s	ʧ	0.101
s	s_u	0.087
s	-	0.058
s_a	s	0.515
t	t	0.403
t	s_t	0.243
t	t_ˈa	0.129
t	t_e	0.109
t	ʃ	0.061
u	ˈu	0.414
u	u	0.256
u	ˈo	0.213
u	o	0.077
v	b	0.62
v	-	0.196
v	β	0.107
w	ˈe	0.305
w	ˈi	0.226
w	ˈi_ð	0.178
w	ˈu	0.09
w	-	0.09
w	ˈe_z	0.055
w	ˈo	0.052
y	ˈu	0.703
y	ˈi	0.126
y	ˈu_β	0.126
z	ʒ	1.0
ø	u	0.446
ø	ɣ_u	0.319
ø	ˈo	0.125
ø	o_z	0.098
œ	ˈo	0.886
œ	ˈu	0.085
ɑ̃	ˈa_n	0.266
ɑ̃	a	0.176
ɑ̃	t_u	0.176
ɑ̃	ŋ	0.133
ɑ̃	ˈe_n	0.133
ɑ̃	u	0.098
ɔ	ˈo	0.675
ɔ	o	0.21
ɔ	ˈu	0.06
ɔ	w	0.059
ɔ̃	n_i	0.506
ɔ̃	i	0.181
ɔ̃	ŋ	0.158
ɔ̃	ˈo_n	0.067
ə	e	0.533
ə	ˈe	0.226
ə	ˈi	0.11
ə	a	0.106
ɛ	ˈa	0.426
ɛ	ˈe	0.262
ɛ	ˈi	0.176
ɛ	-	0.084
ɛ_j	i	0.515
ɛ_l	l	1.0
ɛ̃	n_u	0.465
ɛ̃	n	0.152
ɛ̃	ˈa_n	0.132
ɛ̃	n_t	0.121
ɛ̃	ˈi_n	0.061
ɡ	ɡ	0.536
ɡ	ɣ	0.331
ɡ	b	0.113
ɥ	ˈo_t	0.24
ɥ	ˈo	0.196
ɥ	-	0.123
ɥ	t	0.095
ɥ	ʦ	0.094
ɥ	ˈu_β	0.075
ɥ	ˈu	0.065
ɲ	n_ʤ	1.0
ʁ	r	0.749
ʁ	r_u	0.113
ʃ	k	0.942
ʃ	p	0.062
ʒ	b	0.37
ʒ	d	0.22
ʒ	ʒ	0.153
ʒ	-	0.109
ʒ	ɣ	0.085
